formula,dte,mode,prec_fit,jacc_fit,prec_holdout,jacc_holdout
max_gob,d2_21,top10,0.5652727272727266,0.40687652513855693,0.6030063291139245,0.44423574842878677
max_gob,d2_21,5up5dn,0.5583636363636357,0.40008053740674027,0.5944620253164563,0.4351915045325323
tot_gobK2,d2_21,5up5dn,0.5510909090909082,0.39259416678639847,0.5772151898734177,0.4166323381466717
tot_gob,d2_21,5up5dn,0.5509090909090902,0.3921229920906249,0.5742088607594942,0.41380798247421446
max_gob,d2_30,top10,0.5494545454545452,0.3900923437821826,0.5753164556962029,0.41483228755194484
max_gob,d3_21,top10,0.547454545454545,0.3894799941591382,0.5832278481012672,0.42437749125202573
tot_gob,d2_21,top10,0.5454545454545452,0.38746418090774914,0.5742088607594938,0.41412712587321665
tot_gobK2,d2_21,top10,0.544545454545454,0.3866442224942081,0.5778481012658229,0.4180737020694208
max_gob,d3_21,5up5dn,0.5430909090909085,0.38440986820665973,0.576424050632912,0.4178660391895687
max_gob,d2_30,5up5dn,0.541636363636363,0.3827252270511483,0.5670886075949372,0.40693841454731194
tot_gob,d2_30,top10,0.5398181818181818,0.38031715087301887,0.55,0.3900228303383552
tot_gob,d3_21,5up5dn,0.5390909090909087,0.3804283201553116,0.5648734177215189,0.40539773527953005
tot_gobK2,d3_21,5up5dn,0.5387272727272722,0.3799627399838491,0.5662974683544302,0.4065635567171311
tot_gobK2,d2_30,top10,0.5378181818181818,0.3785031419467105,0.5547468354430384,0.39436350325659414
tot_gob,d2_30,5up5dn,0.5369090909090903,0.377655706553821,0.5493670886075949,0.3887920169100364
tot_gobK2,d3_21,top10,0.535454545454545,0.37756173635289847,0.5621835443037976,0.4032829204222297
tot_gobK2,d2_30,5up5dn,0.535454545454545,0.37615797671384515,0.5533227848101269,0.3925912808544973
tot_gob,d3_21,top10,0.5334545454545448,0.3756368638397908,0.5601265822784812,0.4014441737258877
max_gob,d3_30,top10,0.5300000000000002,0.3718860395007309,0.5504746835443046,0.3916851277703839
max_gob,d2_45,top10,0.5274545454545458,0.36899351313226886,0.5352848101265832,0.3757093536272605
max_gob,d3_30,5up5dn,0.5243636363636365,0.36637962297264276,0.5425632911392408,0.3838850789939765
tot_gobK2,d3_30,top10,0.5241818181818183,0.3660545625997353,0.5314873417721522,0.3722923001773865
tot_gob,d3_30,top10,0.523818181818182,0.365531680846907,0.5291139240506331,0.37021581275534515
max_gob,d2_45,5up5dn,0.5225454545454545,0.3646163988621065,0.5332278481012667,0.3737467571933314
tot_gobK2,d3_30,5up5dn,0.5221818181818183,0.3635662220632673,0.5368670886075955,0.3776539270070542
tot_gob,d3_30,5up5dn,0.5221818181818182,0.3636335136546229,0.5346518987341777,0.375593970437604
tot_gobK2,d2_45,top10,0.5198181818181816,0.36191755066086606,0.524050632911393,0.3641761486837805
tot_gob,d2_45,5up5dn,0.5190909090909094,0.36057758343854596,0.5226265822784812,0.3629307706234361
net_gob,d2_21,top10,0.5183636363636369,0.3649573247842313,0.5756329113924051,0.4184487684299082
tot_gob,d2_45,top10,0.5181818181818177,0.3600019054029748,0.5183544303797469,0.3589640837590731
tot_gobK2,d2_45,5up5dn,0.5170909090909097,0.3591369385219651,0.5259493670886081,0.36612393769876955
max_gob,d1_21,top10,0.5152727272727267,0.3591319730399379,0.5212025316455695,0.36079575157199895
max_gob,d1_21,5up5dn,0.5132727272727269,0.3575634761773231,0.5178797468354429,0.3578800195234832
net_gob,d2_21,5up5dn,0.5129090909090909,0.35985279567041434,0.5624999999999998,0.4053936633650647
tot_gobK2,d2_60,5up5dn,0.5100000000000003,0.35297587657987345,0.5025316455696208,0.34424339466688647
max_gob,d2_60,top10,0.5100000000000002,0.35281067558016627,0.5049050632911395,0.34764851403881275
tot_gob,d2_60,5up5dn,0.5087272727272732,0.35191764860214086,0.49731012658227897,0.3393882271860676
tot_gob,d2_60,top10,0.5085454545454546,0.35160980730499464,0.49066455696202527,0.3337317253174819
max_gob,d3_45,top10,0.5078181818181822,0.3519364428610138,0.5066455696202534,0.34941298860205844
tot_gobK2,d2_60,top10,0.5070909090909091,0.3502591043443842,0.4969936708860763,0.33936953707964207
tot_gob_h,d2_21,5up5dn,0.506909090909091,0.3517966911282418,0.5023734177215199,0.34639305379645147
max_gob,d2_60,5up5dn,0.5058181818181826,0.3495861995214657,0.5066455696202534,0.3489503968792286
tot_gob_h,d1_21,5up5dn,0.5058181818181822,0.3501895786922528,0.4895569620253171,0.3333265565062014
tot_gobK2,d1_21,5up5dn,0.5058181818181814,0.35076514457178676,0.5112341772151896,0.3514137690556846
max_gob,wexp20_d1,top10,0.5054545454545452,0.35005985742687107,0.5026898734177211,0.3435487108883771
tot_gob,d1_21,5up5dn,0.5054545454545449,0.3500470599232207,0.5083860759493669,0.3488394270826085
net_gob,d2_30,top10,0.5050909090909097,0.3519932806662328,0.5474683544303792,0.39271448664941194
max_gob,d3_45,5up5dn,0.5050909090909095,0.3492326701037649,0.5012658227848106,0.3443725469739988
tot_gobK2,d3_45,top10,0.5047272727272731,0.34816737332780107,0.5023734177215192,0.3442183023809978
tot_gobK2,d1_21,top10,0.5045454545454542,0.3492778521162986,0.49889240506329063,0.33956537504050044
