formula,dte,excl,prec_fit,jacc_fit,n_fit,prec_holdout,jacc_holdout,n_holdout
tot_gob,d2_60,excl7,0.5085454545454546,0.35160980730499464,550,0.49066455696202527,0.3337317253174819,632
tot_gob,d1_30,excl7,0.5052727272727271,0.34812708525486463,550,0.48734177215189844,0.3294876588893819,632
tot_gob,d0_30,excl7,0.5052727272727271,0.34812708525486463,550,0.48734177215189844,0.3294876588893819,632
tot_gob,d1_45,excl7,0.4961818181818181,0.33978740807617824,550,0.46677215189873433,0.311018675607725,632
tot_gob,d0_60,excl7,0.49200000000000044,0.3360325080054889,550,0.45047468354430414,0.2973348350854041,632
tot_gob,d1_60,excl7,0.49200000000000044,0.3360325080054889,550,0.45047468354430414,0.2973348350854041,632
tot_gob,d1_90,excl7,0.4769090909090918,0.3230064542518807,550,0.42848101265822913,0.27867254624906457,632
net_gob,d1_30,excl7,0.4725454545454548,0.3222971137128189,550,0.48734177215189856,0.33381819416252406,632
net_gob,d0_30,excl7,0.4725454545454548,0.3222971137128189,550,0.48734177215189856,0.33381819416252406,632
tot_gob,d5_60,excl7,0.4616363636363653,0.3129181498052879,550,0.42863924050633034,0.2800282585915703,632
net_gob,d2_60,excl7,0.45418181818181796,0.30853571343439107,550,0.47848101265822707,0.33090444260815993,632
net_gob,d1_45,excl7,0.448545454545455,0.3008722340610885,550,0.4625000000000003,0.31226348394804776,632
net_gob,d0_60,excl7,0.44072727272727324,0.2948762314396994,550,0.445094936708861,0.2981775287542038,632
net_gob,d1_60,excl7,0.44072727272727324,0.2948762314396994,550,0.445094936708861,0.2981775287542038,632
tot_gob,all,excl7,0.4318181818181842,0.28518124618603136,550,0.37579113924050805,0.2368947273557438,632
tot_gob,d1_inf,excl7,0.4318181818181842,0.28518124618603136,550,0.37579113924050805,0.2368947273557438,632
tot_gob,d2_inf,excl7,0.4252727272727297,0.2821537284681112,550,0.3674050632911409,0.23046699055952705,632
net_gob,d1_90,excl7,0.42036363636363694,0.27854768382632183,550,0.4196202531645575,0.2770376561427633,632
net_gob,d5_60,excl7,0.39963636363636335,0.2666112593976374,550,0.3960443037974684,0.2627457411118798,632
tot_gob,d5_inf,excl7,0.3889090909090919,0.2555787262429541,550,0.3096518987341784,0.18778260056990898,632
tot_gob,monthly_d1,excl7,0.3734545454545454,0.24568015903788504,550,0.2759493670886081,0.16591306913445136,632
tot_gob,monthly,excl7,0.3734545454545454,0.24568015903788504,550,0.2759493670886081,0.16591306913445136,632
net_gob,all,excl7,0.3707272727272725,0.24175106798945814,550,0.35411392405063385,0.2250076880801009,632
net_gob,d1_inf,excl7,0.3707272727272725,0.24175106798945814,550,0.35411392405063385,0.2250076880801009,632
net_gob,d2_inf,excl7,0.357454545454545,0.2344992459459107,550,0.35000000000000014,0.22509461449555304,632
net_gob,d5_inf,excl7,0.3118181818181808,0.20432351352559677,550,0.2677215189873417,0.1644520258777425,632
net_gob,monthly_d1,excl7,0.28927272727272635,0.1910128286824041,550,0.2028481012658224,0.1204599325508923,632
net_gob,monthly,excl7,0.28927272727272635,0.1910128286824041,550,0.2028481012658224,0.1204599325508923,632
tot_oi,d0_30,excl7,0.20472727272727154,0.1218813041104076,550,0.1303797468354432,0.0727203106425787,632
tot_oi,d1_30,excl7,0.20472727272727154,0.1218813041104076,550,0.1303797468354432,0.0727203106425787,632
tot_oi,d1_45,excl7,0.2012727272727262,0.1194305780219106,550,0.12151898734177212,0.06762199383417633,632
tot_oi,d1_60,excl7,0.19581818181818075,0.11585434689149986,550,0.12357594936708867,0.06876162079311007,632
