spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
ex1|mqspot|negnz_nearflip,35.0,-15.0,0.060218978102189784,0.11861313868613138,0.4142335766423358,0.864963503649635,548,35.0,-10.0,0.0490506329113924,0.11234177215189874,0.4319620253164557,0.870253164556962,632
ex1|cspot|negnz_nearflip,35.0,-15.0,0.058394160583941604,0.11678832116788321,0.4124087591240876,0.8667883211678832,548,35.0,-10.0,0.0490506329113924,0.11392405063291139,0.43354430379746833,0.8718354430379747,632
ex1|mqspot|upflip_near,40.0,0.0,0.18795620437956204,0.1989051094890511,0.4032846715328467,0.8631386861313869,548,30.0,10.0,0.23417721518987342,0.23575949367088608,0.48575949367088606,0.8765822784810127,632
all|cspot|g5_upflip_near,40.0,0.0,0.1478102189781022,0.18248175182481752,0.3795620437956204,0.7901459854014599,548,25.0,10.0,0.2231012658227848,0.25,0.5015822784810127,0.8259493670886076,632
all|mqspot|upflip_near,40.0,0.0,0.15328467153284672,0.18065693430656934,0.38686131386861317,0.7937956204379562,548,30.0,10.0,0.2231012658227848,0.24525316455696203,0.495253164556962,0.8227848101265823,632
ex1|cspot|upflip_near,40.0,0.0,0.19160583941605838,0.20255474452554745,0.395985401459854,0.8540145985401459,548,30.0,10.0,0.2310126582278481,0.23417721518987342,0.4873417721518987,0.8670886075949367,632
ex1|cspot|g5_flipneg_near,40.0,0.0,0.17335766423357665,0.18613138686131386,0.39233576642335766,0.8412408759124088,548,30.0,10.0,0.21518987341772153,0.22784810126582278,0.4889240506329114,0.8623417721518988,632
all|cspot|flipneg_near,40.0,0.0,0.14233576642335766,0.18065693430656934,0.3795620437956204,0.7937956204379562,548,30.0,10.0,0.21677215189873417,0.24367088607594936,0.4936708860759494,0.8354430379746836,632
all|cspot|negnz_nearflip,40.0,-15.0,0.060218978102189784,0.11678832116788321,0.38503649635036497,0.8759124087591241,548,35.0,-12.5,0.0379746835443038,0.10126582278481013,0.4050632911392405,0.8813291139240507,632
all|mqspot|flipneg_near,40.0,0.0,0.1478102189781022,0.177007299270073,0.39233576642335766,0.7937956204379562,548,25.0,10.0,0.21677215189873417,0.24050632911392406,0.5031645569620253,0.8465189873417721,632
all|cspot|upflip_near,40.0,0.0,0.1478102189781022,0.18248175182481752,0.3795620437956204,0.7901459854014599,548,25.0,10.0,0.2231012658227848,0.25,0.5015822784810127,0.8259493670886076,632
ex1|mqspot|g5_flipneg_near,40.0,0.0,0.17335766423357665,0.18795620437956204,0.39963503649635035,0.8540145985401459,548,30.0,10.0,0.21518987341772153,0.2231012658227848,0.49050632911392406,0.8623417721518988,632
ex1|mqspot|flipneg_near,40.0,0.0,0.17335766423357665,0.18795620437956204,0.39963503649635035,0.8540145985401459,548,30.0,10.0,0.21518987341772153,0.2231012658227848,0.49050632911392406,0.8623417721518988,632
ex1|cspot|flipneg_near,40.0,0.0,0.17335766423357665,0.18613138686131386,0.39233576642335766,0.8412408759124088,548,30.0,10.0,0.21518987341772153,0.22784810126582278,0.4889240506329114,0.8623417721518988,632
ex1|cspot|g5_upflip_near,40.0,0.0,0.19160583941605838,0.20255474452554745,0.395985401459854,0.8540145985401459,548,30.0,10.0,0.2310126582278481,0.23417721518987342,0.4873417721518987,0.8670886075949367,632
ex1|mqspot|g5_upflip_near,40.0,0.0,0.18795620437956204,0.1989051094890511,0.4032846715328467,0.8631386861313869,548,30.0,10.0,0.23417721518987342,0.23575949367088608,0.48575949367088606,0.8765822784810127,632
all|cspot|g5_flipneg_near,40.0,0.0,0.14233576642335766,0.18065693430656934,0.3795620437956204,0.7937956204379562,548,30.0,10.0,0.21677215189873417,0.24367088607594936,0.4936708860759494,0.8354430379746836,632
all|mqspot|g5_upflip_near,40.0,0.0,0.15328467153284672,0.18065693430656934,0.38686131386861317,0.7937956204379562,548,30.0,10.0,0.2231012658227848,0.24525316455696203,0.495253164556962,0.8227848101265823,632
all|mqspot|g5_flipneg_near,40.0,0.0,0.1478102189781022,0.177007299270073,0.39233576642335766,0.7937956204379562,548,25.0,10.0,0.21677215189873417,0.24050632911392406,0.5031645569620253,0.8465189873417721,632
all|mqspot|negnz_nearflip,40.0,-15.0,0.060218978102189784,0.11678832116788321,0.38686131386861317,0.8740875912408759,548,35.0,-12.5,0.0379746835443038,0.10126582278481013,0.40822784810126583,0.8813291139240507,632
all|mqspot|upflip_maxswing,55.0,0.0,0.19708029197080293,0.22445255474452555,0.34124087591240876,0.7737226277372263,548,40.0,0.0,0.2563291139240506,0.2737341772151899,0.43354430379746833,0.7911392405063291,632
all|cspot|upflip_maxswing,55.0,0.0,0.19708029197080293,0.22445255474452555,0.34124087591240876,0.7737226277372263,548,40.0,0.0,0.2563291139240506,0.2737341772151899,0.43354430379746833,0.7911392405063291,632
ex1|cspot|upflip_maxswing,55.0,0.0,0.2354014598540146,0.2518248175182482,0.36313868613138683,0.7992700729927007,548,35.0,0.0,0.31170886075949367,0.314873417721519,0.4588607594936709,0.8338607594936709,632
ex1|mqspot|upflip_maxswing,55.0,0.0,0.2354014598540146,0.2518248175182482,0.36313868613138683,0.7992700729927007,548,35.0,0.0,0.31170886075949367,0.314873417721519,0.4588607594936709,0.8338607594936709,632
