eod_date,kind,strike,dist,mod25,reldist,our_rank
2021-10-06,FP,4425.0,71.35009765625,True,0.01638857033907093,
2021-10-06,FP,4200.0,-153.64990234375,True,0.03529220442393266,
2021-10-06,FP,4375.0,21.35009765625,True,0.0049039537250701315,
2021-10-06,FP,4250.0,-103.64990234375,True,0.023807587809931863,
2021-10-06,FN,4550.0,196.35009765625,True,0.04510009288787842,26.0
2021-10-06,FN,4525.0,171.35009765625,True,0.039357781410217285,24.0
2021-10-06,FN,4175.0,-178.64990234375,True,0.0410345196723938,25.0
2021-10-06,FN,4340.0,-13.64990234375,False,0.0031352639198303223,13.0
2021-10-06,FN,4150.0,-203.64990234375,True,0.04677683115005493,22.0
2021-10-06,FN,4600.0,246.35009765625,True,0.056584715843200684,67.0
2021-10-06,FN,4475.0,121.35009765625,True,0.02787315845489502,12.0
2021-10-08,FP,4390.0,-4.919921875,False,0.0011194565458433337,
2021-10-08,FP,4200.0,-194.919921875,True,0.044351188494884175,
2021-10-08,FP,4425.0,30.080078125,True,0.006844283550032637,
2021-10-08,FP,4395.0,0.080078125,False,1.82206107104399e-05,
2021-10-08,FP,4375.0,-19.919921875,True,0.004532488015504432,
2021-10-08,FP,4380.0,-14.919921875,False,0.0033948108589506587,
2021-10-08,FN,4225.0,-169.919921875,True,0.03866279125213623,29.0
2021-10-08,FN,4550.0,155.080078125,True,0.03528618812561035,22.0
2021-10-08,FN,4525.0,130.080078125,True,0.029597878456115723,19.0
2021-10-08,FN,4240.0,-154.919921875,False,0.03524976968765259,54.0
2021-10-08,FN,4340.0,-54.919921875,False,0.012496232986450195,21.0
2021-10-08,FN,4250.0,-144.919921875,True,0.032974421977996826,13.0
2021-10-11,FP,4325.0,-44.39990234375,True,0.010161556125804383,
2021-10-11,FP,4375.0,5.60009765625,True,0.0012816628785217166,
2021-10-11,FN,4225.0,-144.39990234375,True,0.03304797410964966,22.0
2021-10-11,FN,4525.0,155.60009765625,True,0.03561127185821533,28.0
2021-10-12,FP,4200.0,-144.580078125,True,0.03327826292187874,
2021-10-12,FP,4425.0,80.419921875,True,0.018510401564449275,
2021-10-12,FP,4380.0,35.419921875,False,0.00815266866718356,
2021-10-12,FP,4375.0,30.419921875,True,0.007001809456376407,
2021-10-12,FN,4225.0,-119.580078125,True,0.02752399444580078,16.0
2021-10-12,FN,4275.0,-69.580078125,True,0.016015350818634033,11.0
2021-10-12,FN,4340.0,-4.580078125,False,0.001054227352142334,12.0
2021-10-12,FN,4475.0,130.419921875,True,0.030019044876098633,17.0
2021-10-13,FP,4425.0,63.169921875,True,0.014482435295176455,
2021-10-13,FP,4365.0,3.169921875,False,0.000726741257275787,
2021-10-13,FP,4370.0,8.169921875,False,0.0018730490937675093,
2021-10-13,FP,4375.0,13.169921875,True,0.0030193569302592316,
2021-10-13,FP,4380.0,18.169921875,False,0.004165664766750954,
2021-10-13,FP,4350.0,-11.830078125,True,0.00271218225219938,
2021-10-13,FN,4385.0,23.169921875,False,0.0053119659423828125,34.0
