level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,2,9999,m25,none,none,549,0.7468123861566485,0.7522768670309654,0.0,632,0.8971518987341772,0.9018987341772152,0.0
cr,2,9999,m25,b30,none,549,0.7468123861566485,0.7522768670309654,0.0,632,0.8971518987341772,0.9018987341772152,0.0
cr,2,9999,m50,none,none,549,0.7449908925318761,0.7504553734061931,0.0,632,0.8971518987341772,0.9018987341772152,0.0
cr,2,9999,m50,b30,none,549,0.7449908925318761,0.7504553734061931,0.0,632,0.8971518987341772,0.9018987341772152,0.0
cr,2,9999,m25,b20,none,549,0.7340619307832422,0.7395264116575592,0.0,632,0.8987341772151899,0.9050632911392406,0.0
cr,2,9999,m50,b20,none,549,0.73224043715847,0.7377049180327869,0.0,632,0.8987341772151899,0.9050632911392406,0.0
cr,2,9999,m25,none,ge,549,0.7176684881602914,0.7231329690346083,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,9999,m25,b30,ge,549,0.7176684881602914,0.7231329690346083,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,365,m25,none,none,549,0.7158469945355191,0.7213114754098361,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,365,m25,b30,none,549,0.7158469945355191,0.7213114754098361,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,9999,m50,none,ge,549,0.7158469945355191,0.7213114754098361,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,9999,m50,b30,ge,549,0.7158469945355191,0.7213114754098361,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,365,m50,none,none,549,0.7140255009107468,0.7194899817850637,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,365,m50,b30,none,549,0.7140255009107468,0.7194899817850637,0.0,632,0.8829113924050633,0.8876582278481012,0.0
cr,2,365,m25,b20,none,549,0.7067395264116576,0.7122040072859745,0.0,632,0.8829113924050633,0.8892405063291139,0.0
cr,2,9999,m100,none,none,549,0.7067395264116576,0.7085610200364298,0.0,632,0.8243670886075949,0.8259493670886076,0.0
cr,2,9999,m100,b30,none,549,0.7067395264116576,0.7085610200364298,0.0,632,0.8243670886075949,0.8259493670886076,0.0
cr,2,365,m50,b20,none,549,0.7049180327868853,0.7103825136612022,0.0,632,0.8829113924050633,0.8892405063291139,0.0
