cap,dte1,r2_fit,r2_fit_ex2021,r2_holdout,ratio_med_fit,ratio_med_fit_ex21,ratio_med_hold,ratio_iqr_hold
30,excl,0.7420314711300819,0.7708578991320179,0.8721368622248249,1.1870778807184634,1.2062351055418463,1.1838379466180697,0.47124561329275005
30,incl,0.5942089446474625,0.6387905138199359,0.3778780249973638,1.1421565650306995,1.1567683070240156,1.1360052492939348,0.5488388663157413
45,excl,0.7888193088642513,0.8269034654122971,0.9262535104575932,1.0818699037458979,1.098628407822247,1.1088335834917802,0.3202459126688669
45,incl,0.6272695987256927,0.6819677720208798,0.41432326835707134,1.0479914224544782,1.0625293963670448,1.0762023864455519,0.38878524827718874
60,excl,0.8051064240192716,0.8506518978593923,0.952331908543306,1.0438406831650893,1.057046218397536,1.0765638257486776,0.24623796834596068
60,incl,0.6372025978526221,0.7004186266016008,0.4321513010564795,1.0150026041095561,1.0322398156148287,1.0487017992552161,0.30808345355256783
75,excl,0.8120774201758376,0.8636473249844239,0.9670823941769424,1.0209934528142162,1.033267642953216,1.0557902475360437,0.2073904400934109
75,incl,0.6408324226049755,0.7099900102833658,0.44106577391480917,0.9910516152718596,1.0068643003367455,1.0309181747568643,0.26395291849678126
90,excl,0.8142182744784284,0.8710383099389936,0.9740880281009054,1.0058846847896967,1.0196851711194563,1.0427858676846167,0.18100758718034715
90,incl,0.6401452206310367,0.7151466322386958,0.44454236712281137,0.9755855933044474,0.9921969168439884,1.0203549191201522,0.23551314398051948
120,excl,0.8164909753578501,0.8773472702120393,0.9812773571851862,0.9874999192882319,1.001327617233569,1.0267881355834314,0.14960123383853097
120,incl,0.6386406480171203,0.7178289402518188,0.44687574518067885,0.9580228771524777,0.9771045164366481,1.0081825745050084,0.20070322784525385
150,excl,0.8146032407713086,0.8784960093770706,0.9849924165057159,0.9798068037601568,0.9933407033319948,1.0161415770519029,0.13366672181255157
150,incl,0.6350266176302237,0.7175144176795347,0.44729727600294555,0.9501741565948052,0.969493831466289,0.9980673189852134,0.18257007523217794
180,excl,0.8135501141831661,0.8790492172348698,0.9866369654427457,0.9735003620519393,0.987487821654853,1.0092504761429844,0.12492599103357793
180,incl,0.6331921065945267,0.7173083729329932,0.44731210668728905,0.9444536114564344,0.9636498571266564,0.9913030236773033,0.1716726478742352
252,excl,0.810569604834304,0.8784674115613879,0.9881291266034874,0.9666017375657165,0.9796676425220926,1.0030799796457703,0.11218865177526871
252,incl,0.6283866749729515,0.7150879953358402,0.44673719593628836,0.934713248475664,0.9547179404774273,0.9860938665504003,0.1566391286497727
365,excl,0.8063745686130992,0.8761892536430118,0.9889176478428455,0.9567952669452784,0.9690218272802444,0.9947951224406497,0.10254096097731391
365,incl,0.6229121284558883,0.7116344234013359,0.4457407416734669,0.9235245602534479,0.9454295708297179,0.9785588175804134,0.14066665728554661
500,excl,0.8048948333592929,0.8757034782048558,0.9889504010592209,0.9527176247561189,0.9656558189966356,0.9921461065461588,0.09999175280983796
500,incl,0.6210386153034475,0.7108286907553307,0.4454388319795869,0.9213127058536178,0.9425763530014697,0.9765880091315203,0.13749137522027943
9999,excl,0.8038374941383392,0.8749784717272052,0.9889550987117264,0.9509910425673024,0.963162239491128,0.9909351551468271,0.09900218808729344
9999,incl,0.6198306519743104,0.709957495132902,0.44529148557768905,0.9191198219705446,0.940028916708466,0.9758169780610304,0.13624931067754997
