spec,prec_fit,jacc_fit,prec_holdout,jacc_holdout
net_fittedW(fitper),0.3418181818181812,0.2241435465119677,0.3172468354430381,0.20011620165071786
net_fittedW(all),0.3521818181818177,0.2312866235931252,0.3329113924050634,0.2120068401811947
tot_fittedW(fitper),0.41618181818182065,0.2751724795828374,0.35348101265822945,0.21989055705303703
tot_fittedW(all),0.42345454545454797,0.28067308492864423,0.36566455696202704,0.22923264054421733
tot_uniform_d1_90,0.4769090909090918,0.3230064542518807,0.42848101265822913,0.27867254624906457
