dte,spacing,unit,prec_fit,jacc_fit,prec_holdout,jacc_holdout
d2_60,0,pts,0.5085454545454546,0.35160980730499464,0.49066455696202527,0.3337317253174819
d2_60,0,bp_of_spot,0.5085454545454546,0.35160980730499464,0.49066455696202527,0.3337317253174819
d2_60,5,pts,0.5085454545454546,0.35160980730499464,0.49066455696202527,0.3337317253174819
d2_60,5,bp_of_spot,0.5085454545454546,0.35160980730499464,0.49066455696202527,0.3337317253174819
d2_60,10,bp_of_spot,0.5085454545454546,0.35160980730499464,0.44066455696202567,0.2910832800257009
d1_30,0,bp_of_spot,0.5052727272727271,0.34812708525486463,0.48734177215189844,0.3294876588893819
d1_30,5,pts,0.5052727272727271,0.34812708525486463,0.48734177215189844,0.3294876588893819
d1_30,5,bp_of_spot,0.5052727272727271,0.34812708525486463,0.48734177215189844,0.3294876588893819
d1_30,10,bp_of_spot,0.5052727272727271,0.34812708525486463,0.4825949367088615,0.3273142756991761
d1_30,0,pts,0.5052727272727271,0.34812708525486463,0.48734177215189844,0.3294876588893819
d1_30,10,pts,0.48872727272727273,0.3332612707366442,0.47927215189873484,0.3244165570531327
d1_30,20,bp_of_spot,0.48872727272727273,0.3332612707366442,0.42974683544303843,0.28338681194987786
d1_30,15,bp_of_spot,0.48872727272727273,0.3332612707366442,0.47294303797468396,0.31863580836936856
d2_60,20,bp_of_spot,0.46763636363636535,0.3167241528837372,0.3941455696202543,0.2533550767203823
d2_60,10,pts,0.46763636363636535,0.3167241528837372,0.43813291139240546,0.28903931898136753
d2_60,15,bp_of_spot,0.46763636363636535,0.3167241528837372,0.42753164556962114,0.27994255304357446
d1_30,25,bp_of_spot,0.4378181818181822,0.2954149245382017,0.410126582278482,0.2674328943384867
d2_60,25,bp_of_spot,0.42727272727272847,0.2871600035827462,0.37863924050633047,0.24124307280267038
d1_30,15,pts,0.4247272727272736,0.28386784338656074,0.4218354430379751,0.27741418724513345
d2_60,15,pts,0.4180000000000014,0.27961976604250827,0.38876582278481125,0.24941837268056072
d1_30,20,pts,0.39636363636363686,0.26356593854905197,0.38971518987341847,0.2527337798407085
d2_60,20,pts,0.39109090909090966,0.26087891453075873,0.36107594936708975,0.2289794306489059
d1_30,25,pts,0.3749090909090906,0.24885354567876405,0.35949367088607675,0.2304597651339528
d2_60,25,pts,0.37090909090909085,0.24720948110900282,0.3299050632911405,0.20651637506332393
