level,hi,grid,band,year,exact
cr,365,any,none,2021,0.6515151515151515
cr,365,any,none,2022,0.7569721115537849
cr,365,any,none,2023,0.8577586206896551
cr,365,any,none,2024,0.9076305220883534
cr,365,any,none,2025,0.848
cr,365,any,none,2026,0.9548872180451128
ps,365,any,none,2021,0.5454545454545454
ps,365,any,none,2022,0.649402390438247
ps,365,any,none,2023,0.8275862068965517
ps,365,any,none,2024,0.8192771084337349
ps,365,any,none,2025,0.832
ps,365,any,none,2026,0.9398496240601504
cr,365,any,b15,2021,0.6515151515151515
cr,365,any,b15,2022,0.6972111553784861
cr,365,any,b15,2023,0.8577586206896551
cr,365,any,b15,2024,0.9036144578313253
cr,365,any,b15,2025,0.836
cr,365,any,b15,2026,0.9548872180451128
ps,365,any,b15,2021,0.5606060606060606
ps,365,any,b15,2022,0.701195219123506
ps,365,any,b15,2023,0.8318965517241379
ps,365,any,b15,2024,0.8192771084337349
ps,365,any,b15,2025,0.832
ps,365,any,b15,2026,0.9398496240601504
cr,365,any,b20,2021,0.6515151515151515
cr,365,any,b20,2022,0.7410358565737052
cr,365,any,b20,2023,0.8577586206896551
cr,365,any,b20,2024,0.9076305220883534
cr,365,any,b20,2025,0.852
cr,365,any,b20,2026,0.9548872180451128
ps,365,any,b20,2021,0.5757575757575758
ps,365,any,b20,2022,0.701195219123506
ps,365,any,b20,2023,0.8318965517241379
ps,365,any,b20,2024,0.8192771084337349
ps,365,any,b20,2025,0.832
ps,365,any,b20,2026,0.9398496240601504
cr,365,m25,none,2021,0.696969696969697
cr,365,m25,none,2022,0.6414342629482072
cr,365,m25,none,2023,0.8017241379310345
cr,365,m25,none,2024,0.8955823293172691
cr,365,m25,none,2025,0.832
cr,365,m25,none,2026,0.9548872180451128
ps,365,m25,none,2021,0.5606060606060606
ps,365,m25,none,2022,0.649402390438247
ps,365,m25,none,2023,0.8275862068965517
ps,365,m25,none,2024,0.8152610441767069
ps,365,m25,none,2025,0.832
ps,365,m25,none,2026,0.9398496240601504
cr,365,m25,b15,2021,0.696969696969697
cr,365,m25,b15,2022,0.5737051792828686
cr,365,m25,b15,2023,0.8017241379310345
cr,365,m25,b15,2024,0.891566265060241
cr,365,m25,b15,2025,0.824
cr,365,m25,b15,2026,0.9548872180451128
ps,365,m25,b15,2021,0.5757575757575758
ps,365,m25,b15,2022,0.701195219123506
ps,365,m25,b15,2023,0.8318965517241379
ps,365,m25,b15,2024,0.8152610441767069
ps,365,m25,b15,2025,0.832
ps,365,m25,b15,2026,0.9398496240601504
cr,365,m25,b20,2021,0.696969696969697
cr,365,m25,b20,2022,0.6215139442231076
cr,365,m25,b20,2023,0.8017241379310345
cr,365,m25,b20,2024,0.8955823293172691
cr,365,m25,b20,2025,0.832
cr,365,m25,b20,2026,0.9548872180451128
ps,365,m25,b20,2021,0.5909090909090909
ps,365,m25,b20,2022,0.701195219123506
ps,365,m25,b20,2023,0.8318965517241379
ps,365,m25,b20,2024,0.8152610441767069
ps,365,m25,b20,2025,0.832
ps,365,m25,b20,2026,0.9398496240601504
cr,9999,any,none,2021,0.6515151515151515
cr,9999,any,none,2022,0.8127490039840638
cr,9999,any,none,2023,0.853448275862069
cr,9999,any,none,2024,0.9036144578313253
cr,9999,any,none,2025,0.876
cr,9999,any,none,2026,0.9774436090225563
ps,9999,any,none,2021,0.5303030303030303
ps,9999,any,none,2022,0.649402390438247
ps,9999,any,none,2023,0.8232758620689655
ps,9999,any,none,2024,0.8674698795180723
ps,9999,any,none,2025,0.824
ps,9999,any,none,2026,0.9473684210526315
cr,9999,any,b15,2021,0.6515151515151515
cr,9999,any,b15,2022,0.7051792828685259
cr,9999,any,b15,2023,0.8577586206896551
cr,9999,any,b15,2024,0.9076305220883534
cr,9999,any,b15,2025,0.844
cr,9999,any,b15,2026,0.9774436090225563
ps,9999,any,b15,2021,0.5303030303030303
ps,9999,any,b15,2022,0.7051792828685259
ps,9999,any,b15,2023,0.8318965517241379
ps,9999,any,b15,2024,0.8755020080321285
ps,9999,any,b15,2025,0.828
ps,9999,any,b15,2026,0.9473684210526315
cr,9999,any,b20,2021,0.6515151515151515
cr,9999,any,b20,2022,0.7888446215139442
cr,9999,any,b20,2023,0.853448275862069
cr,9999,any,b20,2024,0.9076305220883534
cr,9999,any,b20,2025,0.888
cr,9999,any,b20,2026,0.9774436090225563
ps,9999,any,b20,2021,0.5454545454545454
ps,9999,any,b20,2022,0.7051792828685259
ps,9999,any,b20,2023,0.8318965517241379
ps,9999,any,b20,2024,0.8714859437751004
ps,9999,any,b20,2025,0.824
ps,9999,any,b20,2026,0.9473684210526315
cr,9999,m25,none,2021,0.696969696969697
cr,9999,m25,none,2022,0.701195219123506
cr,9999,m25,none,2023,0.8103448275862069
cr,9999,m25,none,2024,0.8835341365461847
cr,9999,m25,none,2025,0.868
cr,9999,m25,none,2026,0.9774436090225563
ps,9999,m25,none,2021,0.5454545454545454
ps,9999,m25,none,2022,0.649402390438247
ps,9999,m25,none,2023,0.8232758620689655
ps,9999,m25,none,2024,0.8594377510040161
ps,9999,m25,none,2025,0.824
ps,9999,m25,none,2026,0.9473684210526315
cr,9999,m25,b15,2021,0.696969696969697
cr,9999,m25,b15,2022,0.5856573705179283
cr,9999,m25,b15,2023,0.8146551724137931
cr,9999,m25,b15,2024,0.8875502008032129
cr,9999,m25,b15,2025,0.832
cr,9999,m25,b15,2026,0.9774436090225563
ps,9999,m25,b15,2021,0.5454545454545454
ps,9999,m25,b15,2022,0.7051792828685259
ps,9999,m25,b15,2023,0.8318965517241379
ps,9999,m25,b15,2024,0.8674698795180723
ps,9999,m25,b15,2025,0.828
ps,9999,m25,b15,2026,0.9473684210526315
cr,9999,m25,b20,2021,0.696969696969697
cr,9999,m25,b20,2022,0.6733067729083665
cr,9999,m25,b20,2023,0.8103448275862069
cr,9999,m25,b20,2024,0.8875502008032129
cr,9999,m25,b20,2025,0.868
cr,9999,m25,b20,2026,0.9774436090225563
ps,9999,m25,b20,2021,0.5606060606060606
ps,9999,m25,b20,2022,0.7051792828685259
ps,9999,m25,b20,2023,0.8318965517241379
ps,9999,m25,b20,2024,0.8634538152610441
ps,9999,m25,b20,2025,0.824
ps,9999,m25,b20,2026,0.9473684210526315
