day,ratio_med,r2
2021-09-27,0.46861983055694556,0.37152272763529315
2021-09-28,0.6218636070068324,0.0821823338265466
2021-09-29,0.5732975352211298,0.08599730936849492
2021-09-30,0.619860959605272,-0.5429036130831095
2021-10-01,0.5809825748301063,0.4593434372125015
2021-10-04,0.5321173214586117,-0.5537729243847034
2021-10-05,0.5118741860716521,0.07942934088071385
2021-10-06,0.6798348830312119,0.5845786192559095
2021-10-08,0.5515153722367121,-0.11007537085054975
2021-10-11,0.530017659553293,0.21978305904262363
2021-10-12,0.5596583255722064,-0.03944598411725542
2021-10-13,0.5026636709123616,-0.09317210055967529
2021-10-14,0.10974559125976631,-0.00806704210295095
2021-10-15,0.4357157451107195,-5.6669707761676955
2021-10-18,0.41476533322726294,-5.668200250189453
2021-10-19,0.2088386412292978,-11.92913129217161
2021-10-20,0.5510111675843141,-2.67295948487758
2021-10-21,0.5350672337259451,-2.0543839822720575
2021-10-22,0.5806437238262223,-0.4661739851455753
2021-10-25,0.5215512506324038,-1.1707549458597457
2021-10-26,0.5451849975895244,-1.340604076885962
2021-10-27,0.5443279560167897,-0.6513149958347342
2021-10-28,0.407805842835408,-2.1541062204753185
2021-10-29,0.5173081240958054,-1.1143848208780462
2021-11-01,0.5091774309623914,-1.248645036664307
2021-11-02,0.5531844539890957,-2.238811506099579
2021-11-03,0.5818621226497702,-1.9365397829721491
2021-11-04,0.6415168378597925,-2.9484597818133875
2021-11-05,0.7302828473359168,-1.6182784897908609
2021-11-09,0.694104562469221,-2.273504684235107
2021-11-10,0.6616311346833724,-0.5163567677282859
2021-11-11,0.6160034884079744,-0.610241421419228
2021-11-12,0.6019629368608821,0.1820991431054202
2021-11-15,0.6289961897944031,0.3316303196725332
2021-11-16,0.5016369245776777,-2.349348205609804
2021-11-17,0.4265057664424244,-1.9808267897425997
2021-11-18,0.3372310972001068,-6.545141111370948
2021-11-19,0.5745170485557075,-0.912158778623561
2021-11-22,0.5357453877174023,-2.278628023191609
2021-11-23,0.4412142500367548,-0.5900136403309235
2021-11-24,0.48711746797923583,-0.5412698663122801
2021-11-26,0.5700629758399499,0.2129828553765405
2021-11-29,0.532926084425226,0.05444887295709855
2021-11-30,0.5986412487208093,0.4117225296744612
2021-12-01,0.5043177166859582,-0.25935646026952375
2021-12-02,0.5518732418232948,0.1993435145900716
2021-12-03,0.5935939592369097,0.4053028931655741
2021-12-06,0.6521840264196814,0.5661981838249992
2021-12-07,0.6463183060826937,0.12901167801147506
2021-12-08,0.5931301507494481,-0.3974709426645784
2021-12-09,0.511830432733755,-0.3769724917291082
2021-12-10,0.6744034461418493,0.3614258804814896
2021-12-13,0.5119250774670913,-0.8172967017313013
2021-12-14,0.27280828062784956,-0.6121673520728381
2021-12-15,0.2241479274156408,-9.427863670726941
