level,slice,method,band,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr0,d1,maxcg,none,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d1,maxcg,b02,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d1,maxcg,b05,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d01,maxcg,none,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d01,maxcg,b02,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d01,maxcg,b05,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
cr0,d1,maxnet,none,497,0.08450704225352113,0.44466800804828976,35.0,632,0.0981012658227848,0.5490506329113924,25.0
cr0,d1,maxnet,b05,497,0.08450704225352113,0.44668008048289737,35.0,632,0.09968354430379747,0.555379746835443,25.0
cr0,d01,maxnet,none,497,0.08450704225352113,0.44466800804828976,35.0,632,0.0981012658227848,0.5490506329113924,25.0
cr0,d01,maxnet,b05,497,0.08450704225352113,0.44668008048289737,35.0,632,0.09968354430379747,0.555379746835443,25.0
cr0,d1,maxtot,none,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d1,maxtot,b02,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d1,maxnet,b02,497,0.08249496981891348,0.44668008048289737,35.0,632,0.09968354430379747,0.5506329113924051,25.0
cr0,d1,maxtot,b05,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d01,maxtot,none,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d01,maxtot,b02,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d01,maxnet,b02,497,0.08249496981891348,0.44668008048289737,35.0,632,0.09968354430379747,0.5506329113924051,25.0
cr0,d01,maxtot,b05,497,0.08249496981891348,0.39436619718309857,40.0,632,0.11867088607594936,0.46360759493670883,30.0
cr0,d1,maxnet_ge,none,497,0.07645875251509054,0.47484909456740443,30.0,632,0.09335443037974683,0.5854430379746836,25.0
cr0,d1,maxnet_ge,b02,497,0.07645875251509054,0.4788732394366197,30.0,632,0.09335443037974683,0.5838607594936709,25.0
cr0,d1,maxnet_ge,b05,497,0.07645875251509054,0.47484909456740443,30.0,632,0.09335443037974683,0.5854430379746836,25.0
cr0,d01,maxnet_ge,none,497,0.07645875251509054,0.47484909456740443,30.0,632,0.09335443037974683,0.5854430379746836,25.0
cr0,d01,maxnet_ge,b02,497,0.07645875251509054,0.4788732394366197,30.0,632,0.09335443037974683,0.5838607594936709,25.0
cr0,d01,maxnet_ge,b05,497,0.07645875251509054,0.47484909456740443,30.0,632,0.09335443037974683,0.5854430379746836,25.0
cr0,d1,maxcg_ge,none,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d1,maxcg_ge,b02,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d1,maxcg_ge,b05,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d01,maxcg_ge,none,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d01,maxcg_ge,b02,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d01,maxcg_ge,b05,497,0.056338028169014086,0.41851106639839036,35.0,632,0.10126582278481013,0.4936708860759494,30.0
cr0,d1,maxtot_ge,none,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
cr0,d1,maxtot_ge,b02,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
cr0,d1,maxtot_ge,b05,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
cr0,d01,maxtot_ge,none,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
cr0,d01,maxtot_ge,b02,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
cr0,d01,maxtot_ge,b05,497,0.05432595573440644,0.4124748490945674,35.0,632,0.0981012658227848,0.4889240506329114,30.0
gw0,d1,maxcg,none,497,0.08651911468812877,0.39235412474849096,40.0,632,0.12183544303797468,0.47151898734177217,30.0
