formula,dte,band,excl,prec_fit,jacc_fit,n_fit,prec_holdout,jacc_holdout,n_holdout
tot_gob,dte_le30,band10,exclCPH,0.4640000000000006,0.31099964706775873,550,0.44098101265822864,0.28960265476730035,632
tot_gob,dte_le30,band15,exclCPH,0.4640000000000006,0.31099964706775873,550,0.4400316455696211,0.2887893547637546,632
tot_gob,dte_le30,band20,exclCPH,0.4640000000000006,0.31099964706775873,550,0.4400316455696211,0.2887893547637546,632
tot_gob,dte_le30,nobandcap,exclCPH,0.4638181818181824,0.31084813191624355,550,0.4400316455696211,0.2887893547637546,632
tot_gob,dte_le45,nobandcap,exclCPH,0.4583636363636374,0.3065533322105236,550,0.4276898734177229,0.2789185815599585,632
tot_gob,dte_le45,band20,exclCPH,0.4583636363636374,0.3065533322105236,550,0.4276898734177229,0.2789185815599585,632
tot_gob,dte_le45,band15,exclCPH,0.4583636363636374,0.3065533322105236,550,0.4278481012658241,0.27905043810004293,632
tot_gob,dte_le45,band10,exclCPH,0.458000000000001,0.30626812721943625,550,0.4300632911392417,0.280906402004592,632
tot_gob,dte_le14,band15,exclCPH,0.4578181818181817,0.30817031781428084,550,0.4449367088607602,0.2928796125549767,632
tot_gob,dte_le14,band20,exclCPH,0.4578181818181817,0.30817031781428084,550,0.4449367088607602,0.2928796125549767,632
tot_gob,dte_le14,band10,exclCPH,0.4576363636363635,0.30803662797470865,550,0.4449367088607602,0.2928796125549767,632
tot_gob,dte_le14,nobandcap,exclCPH,0.4576363636363635,0.3080188026627657,550,0.4449367088607602,0.2928796125549767,632
tot_gob,wexp30,band10,exclCPH,0.45618181818181897,0.304694423067629,550,0.42863924050633034,0.2792351066393866,632
tot_gob,wexp30,band15,exclCPH,0.4560000000000008,0.3045429079161138,550,0.42737341772152027,0.2781891186239272,632
tot_gob,wexp30,band20,exclCPH,0.4560000000000008,0.3045429079161138,550,0.427215189873419,0.2780727746179704,632
tot_gob,wexp30,nobandcap,exclCPH,0.4527272727272736,0.3017171329780394,550,0.427215189873419,0.2780727746179704,632
net_gob,dte_le14,band20,exclCPH,0.44999999999999973,0.3037547763553957,550,0.47246835443038,0.31865937025487606,632
net_gob,dte_le14,nobandcap,exclCPH,0.44999999999999973,0.3037547763553957,550,0.47246835443038,0.31865937025487606,632
net_gob,dte_le14,band15,exclCPH,0.44999999999999973,0.3037547763553957,550,0.47246835443038,0.31865937025487606,632
tot_gob,dte_le60,band10,exclCPH,0.44981818181818317,0.2996506648744199,550,0.4193037974683558,0.2718663688164416,632
net_gob,dte_le14,band10,exclCPH,0.4498181818181816,0.3036249062255256,550,0.47278481012658247,0.3188553180543822,632
tot_gob,dte_le60,band20,exclCPH,0.44945454545454677,0.2992450247628974,550,0.4142405063291153,0.26786874211752776,632
tot_gob,dte_le60,band15,exclCPH,0.44945454545454677,0.2992450247628974,550,0.4148734177215203,0.2683522160978372,632
tot_gob,dte_le60,nobandcap,exclCPH,0.44890909090909226,0.2988083046202949,550,0.4142405063291153,0.26786874211752776,632
net_gob,dte_le30,band10,exclCPH,0.4458181818181821,0.29859923092824875,550,0.45917721518987403,0.3086657932275565,632
net_gob,wexp30,band10,exclCPH,0.4449090909090911,0.29777166496136387,550,0.45189873417721604,0.3013695100343224,632
net_gob,dte_le30,band15,exclCPH,0.4443636363636366,0.29732524863259463,550,0.4580696202531651,0.30788553997591156,632
net_gob,dte_le30,band20,exclCPH,0.4443636363636366,0.29732524863259463,550,0.4580696202531651,0.30788553997591156,632
net_gob,dte_le30,nobandcap,exclCPH,0.4440000000000003,0.2970222183295643,550,0.4580696202531651,0.30788553997591156,632
tot_gob,dte_le90,band10,exclCPH,0.44345454545454704,0.29364268077046046,550,0.4025316455696219,0.2580290747297061,632
net_gob,wexp30,band20,exclCPH,0.4432727272727275,0.29641831758634474,550,0.4506329113924059,0.3004644178175557,632
net_gob,wexp30,band15,exclCPH,0.4432727272727275,0.29641831758634474,550,0.45094936708860833,0.3007469675463079,632
tot_gob,dte_le90,band20,exclCPH,0.4425454545454562,0.29285964028153766,550,0.39588607594936875,0.25290086033046655,632
tot_gob,dte_le90,band15,exclCPH,0.4425454545454562,0.29285964028153766,550,0.39620253164557134,0.2531206212306072,632
tot_gob,dte_le90,nobandcap,exclCPH,0.4410909090909108,0.29164369935971435,550,0.39572784810126754,0.2527974434362827,632
tot_gob,wexp10,band20,exclCPH,0.44072727272727313,0.29302226403549214,550,0.4278481012658243,0.27887997667336023,632
tot_gob,wexp10,band15,exclCPH,0.44072727272727313,0.29302226403549214,550,0.4278481012658243,0.27887997667336023,632
tot_gob,wexp10,band10,exclCPH,0.4405454545454549,0.29288857419591996,550,0.4278481012658243,0.27887997667336023,632
net_gob,wexp30,nobandcap,exclCPH,0.4405454545454548,0.2940574105195553,550,0.4504746835443046,0.30034807381159884,632
tot_gob,wexp10,nobandcap,exclCPH,0.43909090909090953,0.29173417304151883,550,0.42768987341772297,0.2787636326674034,632
net_gob,wexp10,band10,exclCPH,0.43854545454545435,0.2946647040609892,550,0.4514240506329114,0.3004095317981655,632
net_gob,wexp10,band15,exclCPH,0.43799999999999983,0.29415743355371876,550,0.4514240506329114,0.3004095317981655,632
net_gob,wexp10,band20,exclCPH,0.43799999999999983,0.29415743355371876,550,0.4514240506329114,0.3004095317981655,632
net_gob,wexp10,nobandcap,exclCPH,0.43636363636363623,0.29296885604935174,550,0.4512658227848102,0.3002776752580811,632
