tradeDate,strike,mq_gex,yhat,ratio,is_fit
2021-09-28,4500.0,37057220.50858644,45342749.9306274,0.8172689253581336,True
2021-09-29,4500.0,44674698.98649034,45593346.03179294,0.9798512913559357,True
2021-09-30,4500.0,49475068.324887045,46556720.91849432,1.0626836974086256,True
2021-10-01,4500.0,50449638.19146071,72228893.57730547,0.6984689324842729,True
2021-10-04,4500.0,51875241.64334506,56050428.24946224,0.9255101747388123,True
2021-10-05,4500.0,55633140.97017336,76493679.06384519,0.7272906944865255,True
2021-10-06,4500.0,57315180.2699139,80690342.19108509,0.7103102888594052,True
2021-10-08,4500.0,55526642.862154834,120957355.12311551,0.4590596645043823,True
2021-10-11,4500.0,55808252.609557614,101585268.07404613,0.5493734836519665,True
2021-10-12,4500.0,57024335.62879659,89322474.74945445,0.638409714786198,True
2021-10-13,4500.0,51613938.22715019,98894817.94906974,0.5219074092813545,True
2021-10-14,4500.0,48223595.67471451,143090312.90341565,0.33701509694276016,True
2021-10-15,4500.0,41343988.63484832,172421519.85626838,0.23978438810487762,True
2021-10-18,4500.0,41003111.313738704,181004075.65135267,0.22653142569407264,True
2021-10-19,4600.0,26504194.50368452,69860795.16746691,0.3793858120301945,True
2021-10-20,4500.0,61170985.09668548,167853875.10706818,0.3644299844592007,True
2021-10-21,4500.0,60020446.87985097,146147031.55221963,0.4106853642005389,True
2021-10-22,4600.0,58537865.47198249,99075393.0046559,0.5908416176480026,True
2021-10-25,4600.0,60489912.12182832,124837455.9976824,0.4845493817412565,True
2021-10-26,4600.0,60741283.21210567,154623739.47918963,0.39283284324061163,True
2021-10-27,4500.0,53630751.995593496,96459801.04365708,0.5559906968014641,True
2021-10-28,4600.0,57595882.70514656,145162684.17138416,0.39676782662097126,True
2021-10-29,4700.0,60320896.01395874,96161720.77004513,0.6272859463299975,True
2021-11-01,4700.0,63096266.33149399,107535224.61112201,0.5867497516248099,True
2021-11-02,4700.0,68443254.66298002,135677909.52852607,0.5044539299051474,True
2021-11-03,4700.0,81174134.22978102,181519236.00923732,0.447193013888898,True
2021-11-04,4700.0,86770077.48339412,213005551.29844534,0.40736063898080865,True
2021-11-05,4700.0,95740386.06532368,239603344.67992434,0.39957867112923273,True
2021-11-09,4700.0,62606691.99852267,184599376.14236376,0.3391489901365655,True
2021-11-10,4700.0,57558748.654278286,131447693.32176785,0.4378832918230183,True
2021-11-11,4700.0,61994010.56015957,132137430.60002375,0.4691631302247255,True
2021-11-12,4700.0,79953628.52018563,129889671.44534265,0.6155503176696385,True
2021-11-15,4700.0,91927340.78377315,138970055.90923253,0.6614902770407961,True
2021-11-16,4750.0,70178063.89623798,137070368.81324098,0.5119856647635925,True
2021-11-17,4750.0,52376249.37040041,108299541.1267345,0.48362392698514367,True
2021-11-18,4725.0,65518913.02754662,227955284.51730052,0.28742002259909927,True
