year,n,cr_exact,ps_exact,hvl_medAE,regime_agree,gex10_prec_xpred
2021,66,0.6515151515151515,0.5606060606060606,30.0,0.8939393939393939,0.3530303030303031
2022,251,0.8127490039840638,0.7051792828685259,20.0,0.9282868525896414,0.5075697211155379
2023,234,0.8620689655172413,0.8318965517241379,10.0,0.9655172413793104,0.5274678111587983
2024,249,0.927710843373494,0.8755020080321285,10.0,0.9678714859437751,0.5405622489959839
2025,250,0.884,0.824,10.0,0.956,0.58
2026,133,0.9774436090225563,0.9473684210526315,10.0,0.9774436090225563,0.5962406015037595
