dte,grid,side,band,meas,n_fit,exact_fit,w25_fit,medae_fit,bias_fit,n_hold,exact_hold,w25_hold,medae_hold,bias_hold,level
ex0,m25,gt,b20,net,549,0.6593806921675774,0.6739526411657559,0.0,0.0,632,0.7911392405063291,0.8117088607594937,0.0,0.0,cr
all,m100,ge,b20,net,549,0.6575591985428051,0.6575591985428051,0.0,0.0,632,0.7816455696202531,0.7848101265822784,0.0,0.0,cr
all,m100,gt,b20,net,549,0.6575591985428051,0.6575591985428051,0.0,0.0,632,0.7816455696202531,0.7848101265822784,0.0,0.0,cr
ex0,m100,ge,b20,net,549,0.6575591985428051,0.6575591985428051,0.0,0.0,632,0.7816455696202531,0.7848101265822784,0.0,0.0,cr
ex0,m100,gt,b20,net,549,0.6575591985428051,0.6575591985428051,0.0,0.0,632,0.7816455696202531,0.7848101265822784,0.0,0.0,cr
all,m50,none,b15,net,549,0.6357012750455373,0.6429872495446266,0.0,0.0,632,0.7705696202531646,0.7753164556962026,0.0,0.0,cr
all,m100,none,b15,net,549,0.6357012750455373,0.6375227686703097,0.0,0.0,632,0.7610759493670886,0.7626582278481012,0.0,0.0,cr
ex0,m50,none,b15,net,549,0.6357012750455373,0.6429872495446266,0.0,0.0,632,0.7705696202531646,0.7753164556962026,0.0,0.0,cr
ex0,m100,none,b15,net,549,0.6357012750455373,0.6375227686703097,0.0,0.0,632,0.7610759493670886,0.7626582278481012,0.0,0.0,cr
all,any,none,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.6914556962025317,0.7246835443037974,0.0,0.0,cr
all,any,ge,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.7373417721518988,0.7658227848101266,0.0,0.0,cr
all,any,gt,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.7373417721518988,0.7674050632911392,0.0,0.0,cr
all,m50,ge,b15,net,549,0.6320582877959927,0.639344262295082,0.0,0.0,632,0.805379746835443,0.810126582278481,0.0,0.0,cr
all,m50,gt,b15,net,549,0.6320582877959927,0.639344262295082,0.0,0.0,632,0.805379746835443,0.810126582278481,0.0,0.0,cr
ex0,any,none,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.6914556962025317,0.7246835443037974,0.0,0.0,cr
ex0,any,ge,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.7373417721518988,0.7658227848101266,0.0,0.0,cr
ex0,any,gt,b15,net,549,0.6320582877959927,0.6466302367941712,0.0,0.0,632,0.7373417721518988,0.7674050632911392,0.0,0.0,cr
ex0,m50,ge,b15,net,549,0.6320582877959927,0.639344262295082,0.0,0.0,632,0.805379746835443,0.810126582278481,0.0,0.0,cr
ex0,m50,gt,b15,net,549,0.6320582877959927,0.639344262295082,0.0,0.0,632,0.805379746835443,0.810126582278481,0.0,0.0,cr
all,m25,ge,b15,net,549,0.6229508196721312,0.6375227686703097,0.0,0.0,632,0.7768987341772152,0.7958860759493671,0.0,0.0,cr
all,m25,gt,b15,net,549,0.6229508196721312,0.6375227686703097,0.0,0.0,632,0.7768987341772152,0.7958860759493671,0.0,0.0,cr
ex0,m25,ge,b15,net,549,0.6229508196721312,0.6375227686703097,0.0,0.0,632,0.7768987341772152,0.7958860759493671,0.0,0.0,cr
ex0,m25,gt,b15,net,549,0.6229508196721312,0.6375227686703097,0.0,0.0,632,0.7768987341772152,0.7958860759493671,0.0,0.0,cr
all,m25,none,b15,net,549,0.6211293260473588,0.6357012750455373,0.0,0.0,632,0.7278481012658228,0.7563291139240507,0.0,0.0,cr
ex0,m25,none,b15,net,549,0.6211293260473588,0.6357012750455373,0.0,0.0,632,0.7278481012658228,0.7563291139240507,0.0,0.0,cr
all,m100,ge,b15,net,549,0.6193078324225865,0.6193078324225865,0.0,0.0,632,0.7674050632911392,0.7689873417721519,0.0,0.0,cr
all,m100,gt,b15,net,549,0.6193078324225865,0.6193078324225865,0.0,0.0,632,0.7674050632911392,0.7689873417721519,0.0,0.0,cr
ex0,m100,ge,b15,net,549,0.6193078324225865,0.6193078324225865,0.0,0.0,632,0.7674050632911392,0.7689873417721519,0.0,0.0,cr
ex0,m100,gt,b15,net,549,0.6193078324225865,0.6193078324225865,0.0,0.0,632,0.7674050632911392,0.7689873417721519,0.0,0.0,cr
all,any,none,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.6724683544303798,0.7056962025316456,0.0,0.0,cr
all,any,ge,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.7183544303797469,0.7468354430379747,0.0,0.0,cr
all,any,gt,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.7183544303797469,0.7484177215189873,0.0,0.0,cr
ex0,any,none,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.6724683544303798,0.7056962025316456,0.0,0.0,cr
ex0,any,ge,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.7183544303797469,0.7468354430379747,0.0,0.0,cr
ex0,any,gt,b10,net,549,0.604735883424408,0.6193078324225865,0.0,0.0,632,0.7183544303797469,0.7484177215189873,0.0,0.0,cr
all,m50,none,b10,net,549,0.6010928961748634,0.6083788706739527,0.0,0.0,632,0.75,0.754746835443038,0.0,0.0,cr
all,m100,none,b10,net,549,0.6010928961748634,0.6029143897996357,0.0,0.0,632,0.7389240506329114,0.7420886075949367,0.0,0.0,cr
ex0,m50,none,b10,net,549,0.6010928961748634,0.6083788706739527,0.0,0.0,632,0.75,0.754746835443038,0.0,0.0,cr
ex0,m100,none,b10,net,549,0.6010928961748634,0.6029143897996357,0.0,0.0,632,0.7389240506329114,0.7420886075949367,0.0,0.0,cr
all,m50,ge,b10,net,549,0.5974499089253188,0.604735883424408,0.0,0.0,632,0.7848101265822784,0.7895569620253164,0.0,0.0,cr
all,m50,gt,b10,net,549,0.5974499089253188,0.604735883424408,0.0,0.0,632,0.7848101265822784,0.7895569620253164,0.0,0.0,cr
ex0,m50,ge,b10,net,549,0.5974499089253188,0.604735883424408,0.0,0.0,632,0.7848101265822784,0.7895569620253164,0.0,0.0,cr
ex0,m50,gt,b10,net,549,0.5974499089253188,0.604735883424408,0.0,0.0,632,0.7848101265822784,0.7895569620253164,0.0,0.0,cr
all,m25,ge,b10,net,549,0.5883424408014571,0.604735883424408,0.0,0.0,632,0.7563291139240507,0.7753164556962026,0.0,0.0,cr
all,m25,gt,b10,net,549,0.5883424408014571,0.604735883424408,0.0,0.0,632,0.7563291139240507,0.7753164556962026,0.0,0.0,cr
ex0,m25,ge,b10,net,549,0.5883424408014571,0.604735883424408,0.0,0.0,632,0.7563291139240507,0.7753164556962026,0.0,0.0,cr
ex0,m25,gt,b10,net,549,0.5883424408014571,0.604735883424408,0.0,0.0,632,0.7563291139240507,0.7753164556962026,0.0,0.0,cr
all,m25,none,b10,net,549,0.5865209471766849,0.6029143897996357,0.0,0.0,632,0.7072784810126582,0.7357594936708861,0.0,0.0,cr
ex0,m25,none,b10,net,549,0.5865209471766849,0.6029143897996357,0.0,0.0,632,0.7072784810126582,0.7357594936708861,0.0,0.0,cr
all,m100,ge,b10,net,549,0.5846994535519126,0.5846994535519126,0.0,0.0,632,0.745253164556962,0.7484177215189873,0.0,0.0,cr
all,m100,gt,b10,net,549,0.5846994535519126,0.5846994535519126,0.0,0.0,632,0.745253164556962,0.7484177215189873,0.0,0.0,cr
ex0,m100,ge,b10,net,549,0.5846994535519126,0.5846994535519126,0.0,0.0,632,0.745253164556962,0.7484177215189873,0.0,0.0,cr
