eod_date,strike,mq,cand,ratio,spot,sign_match
2021-09-27,4550.0,33216255.742569298,60.74725168966688,546794.3786536666,4447.37,True
2021-09-27,4450.0,10325376.764929488,47.05590314860456,219427.87352994812,4447.37,True
2021-09-27,4575.0,20084436.42582989,53.93918669644336,372353.34190076357,4447.37,True
2021-09-27,4350.0,-11230104.02294466,-51.87365270895704,216489.55561221845,4447.37,True
2021-09-27,4400.0,-13026867.51392566,-79.57464268785765,163706.26463288462,4447.37,True
2021-09-27,4600.0,35634659.33318092,33.52918719879108,1062795.2035313805,4447.37,True
2021-09-27,4700.0,19517322.471934088,7.265065614102445,2686461.968636375,4447.37,True
2021-09-27,4150.0,-11946725.297809746,-16.414077593463418,727834.0942269758,4447.37,True
2021-09-27,4650.0,14075179.081715442,10.55917421629215,1332981.0450516401,4447.37,True
2021-09-27,4250.0,-11762840.673799464,-45.6746401404915,257535.48659864464,4447.37,True
2021-09-28,4450.0,7438913.102996035,17.86156017612666,416476.11012943374,4360.37,True
2021-09-28,4200.0,-30177521.157069147,-93.6317094003316,322300.2266042392,4360.37,True
2021-09-28,4400.0,-10237819.317487018,-92.179272539448,111064.22339258273,4360.37,True
2021-09-28,4525.0,7951415.637514111,20.151957772370224,394572.8612242365,4360.37,True
2021-09-28,4150.0,-16207405.247351771,-33.095740555319935,489712.72361350834,4360.37,True
2021-09-28,4000.0,-23958725.948106825,-32.17104456227409,744729.5005211744,4360.37,True
2021-09-28,4600.0,25413973.110533368,9.727411499932149,2612614.1688064327,4360.37,True
2021-09-28,4100.0,-15760118.37252563,-39.91204588091932,394871.22307754314,4360.37,True
2021-09-28,4700.0,13729819.72488093,1.4827965160493024,9259409.215137662,4360.37,True
2021-09-28,4650.0,9827202.22802204,2.792362331460674,3519314.8529838067,4360.37,True
2021-09-29,4300.0,-26099859.655896246,-107.25648659045306,243340.61729576925,4366.15,True
2021-09-29,4450.0,7859549.5492538,14.91943909577094,526799.2649590739,4366.15,True
2021-09-29,4400.0,-11262038.486292196,-105.97823833831808,106267.46266851496,4366.15,True
2021-09-29,4350.0,-16474359.80957583,-115.30196447868366,142880.13117609554,4366.15,True
2021-09-29,4525.0,7975545.1961140195,22.543216103514396,353789.14700953715,4366.15,True
2021-09-29,4600.0,23961360.068211257,11.251569525812261,2129601.564763158,4366.15,True
2021-09-29,4700.0,15698875.40698891,2.168464836673951,7239626.458996799,4366.15,True
2021-09-29,4100.0,-17213137.33881663,-26.71146240982005,644410.1440319677,4366.15,True
2021-09-29,4550.0,19812508.14141166,26.09657605735825,759199.5247907351,4366.15,True
2021-09-29,4150.0,-16966027.3225027,-23.992393052527348,707141.9380867265,4366.15,True
2021-09-30,4300.0,-22406125.25359592,-190.93607008631807,117348.83431646306,4324.03,True
2021-09-30,4400.0,-16545614.178492188,-27.215932912056786,607938.5274778659,4324.03,True
2021-09-30,4350.0,-21821698.06482282,-86.92106814752333,251051.885692279,4324.03,True
2021-09-30,4250.0,-13076830.592039742,-114.76212173051756,113947.27105818529,4324.03,True
2021-09-30,4425.0,-3559950.3873036727,-4.8764632360050975,730027.1149424392,4324.03,True
2021-09-30,4450.0,11408582.938842207,13.97320690110844,816461.319121898,4324.03,True
2021-09-30,4525.0,7271596.132285496,13.541606102469814,536981.808307011,4324.03,True
2021-09-30,4100.0,-17971930.77526364,-42.660331014651064,421279.6841424284,4324.03,True
2021-09-30,4475.0,5466852.079329309,13.681145402981201,399590.2330033018,4324.03,True
2021-09-30,4150.0,-16100579.626743509,-40.35134004240276,399009.7877746908,4324.03,True
2021-10-01,4300.0,-29033958.62087195,-97.61362004357535,297437.5769273899,4359.43,True
2021-10-01,4450.0,10832780.660246477,40.789018510608,265580.8120862039,4359.43,True
2021-10-01,4400.0,-12518503.756708227,-31.319165263061677,399707.4523398218,4359.43,True
2021-10-01,4350.0,-17855701.88853943,-152.38623728323728,117173.97979550733,4359.43,True
2021-10-01,4475.0,6275649.771015435,20.707694893470034,303058.82925648085,4359.43,True
2021-10-01,4600.0,23794375.29019409,10.432261506295163,2280845.363762766,4359.43,True
2021-10-01,4100.0,-20121265.777441274,-34.63967348457813,580873.4249876641,4359.43,True
2021-10-01,4525.0,7748048.913990636,20.61484644391021,375848.00522632425,4359.43,True
2021-10-01,4550.0,20300551.02051898,40.632886385021266,499608.8839999929,4359.43,True
2021-10-01,4150.0,-18688968.13920007,-30.652765250060046,609699.2550831432,4359.43,True
2021-10-04,4300.0,-23941832.796540283,-149.8052235150244,159819.74616618815,4304.49,True
2021-10-04,4400.0,-15426734.936673904,-12.93908234196715,1192258.8116344386,4304.49,True
2021-10-04,4250.0,-15537756.290156951,-114.59791897759403,135584.97770971622,4304.49,True
2021-10-04,4340.0,-10871742.744678332,-16.138212084479164,673664.6344568845,4304.49,True
2021-10-04,4360.0,-7492932.395699797,-12.414791721117581,603548.7798763717,4304.49,True
2021-10-04,4450.0,11056918.065402422,22.56085793825332,490092.9785411546,4304.49,True
2021-10-04,4100.0,-18972702.8009812,-53.274345599438234,356132.06671057193,4304.49,True
2021-10-04,4475.0,6217348.469587203,13.913101202895632,446870.06720638473,4304.49,True
