level,lo,hi,grid,band,side,alpha,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,2,9999,m25,none,none,0.98,549,0.7377049180327869,0.7449908925318761,0.0,632,0.8908227848101266,0.8955696202531646,0.0
cr,2,9999,m25,b30,none,0.98,549,0.7377049180327869,0.7449908925318761,0.0,632,0.8908227848101266,0.8955696202531646,0.0
cr,2,9999,m50,none,none,0.98,549,0.7358834244080146,0.7431693989071039,0.0,632,0.8908227848101266,0.8955696202531646,0.0
cr,2,9999,m25,none,none,0.95,549,0.7158469945355191,0.7231329690346083,0.0,632,0.8623417721518988,0.8670886075949367,0.0
cr,2,9999,m25,b30,none,0.95,549,0.7158469945355191,0.7231329690346083,0.0,632,0.8623417721518988,0.8670886075949367,0.0
cr,2,9999,m50,none,none,0.95,549,0.7140255009107468,0.7213114754098361,0.0,632,0.8623417721518988,0.8670886075949367,0.0
cr,2,9999,m25,none,none,0.9,549,0.6648451730418944,0.6739526411657559,0.0,632,0.7958860759493671,0.7990506329113924,0.0
cr,2,9999,m25,b30,none,0.9,549,0.6648451730418944,0.6739526411657559,0.0,632,0.7958860759493671,0.7990506329113924,0.0
cr,2,9999,m50,none,none,0.9,549,0.6648451730418944,0.6739526411657559,0.0,632,0.7958860759493671,0.7990506329113924,0.0
cr,2,9999,m25,none,none,0.85,549,0.6193078324225865,0.6284153005464481,0.0,632,0.7373417721518988,0.740506329113924,0.0
cr,2,9999,m25,b30,none,0.85,549,0.6193078324225865,0.6284153005464481,0.0,632,0.7373417721518988,0.740506329113924,0.0
cr,2,9999,m50,none,none,0.85,549,0.6174863387978142,0.6284153005464481,0.0,632,0.7373417721518988,0.740506329113924,0.0
ps,2,365,m100,b20,none,0.98,549,0.726775956284153,0.726775956284153,0.0,632,0.8069620253164557,0.8117088607594937,0.0
ps,2,365,m100,b30,none,0.98,549,0.726775956284153,0.726775956284153,0.0,632,0.8069620253164557,0.8117088607594937,0.0
ps,2,365,m25,b20,none,0.98,549,0.7213114754098361,0.7213114754098361,0.0,632,0.8401898734177216,0.8401898734177216,0.0
ps,2,365,m100,b20,none,0.95,549,0.7158469945355191,0.7158469945355191,0.0,632,0.7816455696202531,0.7863924050632911,0.0
ps,2,365,m100,b30,none,0.95,549,0.7158469945355191,0.7158469945355191,0.0,632,0.7816455696202531,0.7863924050632911,0.0
ps,2,365,m25,b20,none,0.95,549,0.7049180327868853,0.7049180327868853,0.0,632,0.8085443037974683,0.8085443037974683,0.0
ps,2,365,m100,b20,none,0.9,549,0.6666666666666666,0.6666666666666666,0.0,632,0.6867088607594937,0.6914556962025317,0.0
ps,2,365,m100,b30,none,0.9,549,0.6666666666666666,0.6666666666666666,0.0,632,0.6867088607594937,0.6914556962025317,0.0
ps,2,365,m25,b20,none,0.9,549,0.6429872495446266,0.6429872495446266,0.0,632,0.7072784810126582,0.7072784810126582,0.0
ps,2,365,m100,b20,none,0.85,549,0.6193078324225865,0.6193078324225865,0.0,632,0.625,0.629746835443038,0.0
ps,2,365,m100,b30,none,0.85,549,0.6193078324225865,0.6193078324225865,0.0,632,0.625,0.629746835443038,0.0
ps,2,365,m25,b20,none,0.85,549,0.5883424408014571,0.5901639344262295,0.0,632,0.6360759493670886,0.6392405063291139,0.0
