spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d7|peak_net,548,548,60.0,45.0,0.029197080291970802,0.07481751824817519,0.583941605839416,632,632,65.0,55.0,0.011075949367088608,0.05063291139240506,0.5253164556962026
isqrt|negnearzero_w5,548,548,62.5,-40.0,0.03467153284671533,0.08394160583941605,0.7773722627737226,632,632,192.5,-145.0,0.023734177215189875,0.05379746835443038,0.7262658227848101
d30|negnearzero_w5,548,548,65.0,-45.0,0.023722627737226276,0.058394160583941604,0.7901459854014599,632,632,185.0,-120.0,0.011075949367088608,0.03481012658227848,0.7294303797468354
d7|trough_net,548,548,70.0,-50.0,0.020072992700729927,0.06751824817518248,0.6040145985401459,632,632,45.0,-25.0,0.04272151898734177,0.11392405063291139,0.7436708860759493
d7|cumhi_maxswing,548,312,75.0,-40.0,0.022435897435897436,0.05448717948717949,0.6730769230769231,632,278,60.0,-35.0,0.02877697841726619,0.06474820143884892,0.7122302158273381
d30|peak_totgamma,548,548,75.0,0.0,0.05656934306569343,0.10218978102189781,0.5693430656934306,632,632,65.0,35.0,0.02689873417721519,0.11867088607594936,0.5411392405063291
isqrt|peak_totgamma,548,548,75.0,5.0,0.043795620437956206,0.08941605839416059,0.5656934306569343,632,632,65.0,35.0,0.02531645569620253,0.09968354430379747,0.5284810126582279
d7|peak_totgamma,548,548,75.0,5.0,0.029197080291970802,0.06751824817518248,0.5346715328467153,632,632,65.0,30.0,0.02531645569620253,0.08544303797468354,0.5221518987341772
d7|cumhi_nearspot,548,312,77.5,-40.0,0.022435897435897436,0.05448717948717949,0.6698717948717948,632,278,60.0,-35.0,0.02877697841726619,0.06474820143884892,0.7086330935251799
d60|peak_totgamma,548,548,80.0,0.0,0.06751824817518248,0.11678832116788321,0.5693430656934306,632,632,70.0,35.0,0.0189873417721519,0.11392405063291139,0.5411392405063291
ex1|peak_totgamma,548,548,80.0,0.0,0.10218978102189781,0.16423357664233576,0.6368613138686131,632,632,105.0,5.0,0.023734177215189875,0.09018987341772151,0.569620253164557
d90|peak_totgamma,548,548,80.0,5.0,0.08029197080291971,0.12956204379562045,0.5857664233576643,632,632,75.0,30.0,0.0189873417721519,0.10443037974683544,0.5537974683544303
d45|peak_totgamma,548,548,80.0,0.0,0.06386861313868614,0.11131386861313869,0.5766423357664233,632,632,67.5,35.0,0.022151898734177215,0.11392405063291139,0.5427215189873418
d7|cumhi_lowest,548,312,80.0,-40.0,0.022435897435897436,0.05448717948717949,0.6634615384615384,632,278,60.0,-35.0,0.02877697841726619,0.06474820143884892,0.7050359712230215
all|peak_totgamma,548,548,80.0,0.0,0.09306569343065693,0.14233576642335766,0.6076642335766423,632,632,95.0,30.0,0.01740506329113924,0.0949367088607595,0.5458860759493671
d7|cumlo_maxswing,548,365,85.0,35.0,0.00821917808219178,0.038356164383561646,0.5972602739726027,632,445,65.0,50.0,0.01348314606741573,0.029213483146067417,0.6764044943820224
d7|cumlo_highest,548,365,85.0,35.0,0.00821917808219178,0.038356164383561646,0.589041095890411,632,445,65.0,50.0,0.01348314606741573,0.02696629213483146,0.6674157303370787
isqrt|peak_net,548,548,85.0,70.0,0.012773722627737226,0.06204379562043796,0.5784671532846716,632,632,95.0,85.0,0.00949367088607595,0.03164556962025317,0.5284810126582279
