entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-07-08 09:00:00,2021-07-08 11:00:00,5085.75,5120.25,34.25,2,0.0,166.25
2021-07-13 14:00:00,2021-07-14 08:00:00,5161.0,5175.0,13.75,2,-0.5,63.75
2021-07-14 10:00:00,2021-07-14 11:00:00,5154.75,5169.75,14.75,1,0.0,68.75
2021-07-15 12:00:00,2021-07-15 14:00:00,5132.5,5152.5,19.75,2,0.0,93.75
2021-07-16 12:00:00,2021-07-19 14:00:00,5136.5,5054.5,-82.25,10,-111.25,-416.25
2021-07-27 11:00:00,2021-07-27 13:00:00,5172.25,5184.5,12.0,2,-5.0,55.0
2021-07-30 10:00:00,2021-07-30 12:00:00,5188.0,5192.5,4.25,2,0.0,16.25
2021-08-02 14:00:00,2021-08-03 10:00:00,5179.75,5201.25,21.25,4,-12.0,101.25
2021-08-04 14:00:00,2021-08-05 08:00:00,5193.5,5211.25,17.5,2,0.0,82.5
2021-08-16 08:00:00,2021-08-16 11:00:00,5237.25,5252.25,14.75,3,-2.75,68.75
2021-08-17 10:00:00,2021-08-17 13:00:00,5233.75,5233.75,-0.25,3,-20.5,-6.25
2021-08-26 08:00:00,2021-08-27 08:00:00,5284.75,5280.75,-4.25,8,-19.25,-26.25
2021-08-31 08:00:00,2021-08-31 10:00:00,5314.25,5326.5,12.0,2,0.0,55.0
2021-09-07 08:00:00,2021-09-07 12:00:00,5320.75,5326.25,5.25,4,-5.0,21.25
2021-10-07 15:00:00,2021-10-08 09:00:00,5200.5,5201.0,0.25,2,-3.5,-3.75
2021-10-08 10:00:00,2021-10-08 13:00:00,5196.75,5200.75,3.75,3,-3.0,13.75
2021-10-08 15:00:00,2021-10-11 08:00:00,5188.25,5207.5,19.0,1,0.0,90.0
2021-10-27 09:00:00,2021-10-27 11:00:00,5371.25,5376.0,4.5,2,0.0,17.5
2021-10-27 14:00:00,2021-10-28 08:00:00,5353.0,5381.5,28.25,2,0.0,136.25
2021-11-09 08:00:00,2021-11-09 13:00:00,5483.25,5485.25,1.75,5,-7.75,3.75
2021-11-10 12:00:00,2021-11-11 08:00:00,5455.75,5463.5,7.5,4,-14.5,32.5
2021-11-17 08:00:00,2021-11-17 10:00:00,5489.5,5504.5,14.75,2,0.0,68.75
2021-12-09 13:00:00,2021-12-10 08:00:00,5487.0,5496.75,9.5,3,-13.25,42.5
2021-12-13 10:00:00,2021-12-13 13:00:00,5484.75,5493.0,8.0,3,0.0,35.0
2021-12-13 14:00:00,2021-12-14 13:00:00,5477.25,5435.0,-42.5,7,-60.75,-217.5
2021-12-16 13:00:00,2021-12-17 12:00:00,5469.5,5462.0,-7.75,7,-39.5,-43.75
2021-12-31 08:00:00,2021-12-31 11:00:00,5583.25,5587.25,3.75,3,-4.0,13.75
2021-12-31 14:00:00,2022-01-03 09:00:00,5575.75,5586.75,10.75,3,-1.0,48.75
2022-01-04 12:00:00,2022-01-04 13:00:00,5582.0,5598.75,16.5,1,0.0,77.5
2022-01-05 11:00:00,2022-01-06 10:00:00,5584.25,5516.0,-68.5,7,-89.75,-347.5
2022-02-03 08:00:00,2022-02-03 15:00:00,5323.5,5316.5,-7.25,7,-35.5,-41.25
2022-02-04 09:00:00,2022-02-04 11:00:00,5267.25,5306.0,38.5,2,0.0,187.5
2022-02-07 11:00:00,2022-02-07 12:00:00,5296.75,5315.0,18.0,1,0.0,85.0
2022-02-08 08:00:00,2022-02-08 09:00:00,5284.75,5300.0,15.0,1,0.0,70.0
2022-02-10 13:00:00,2022-02-14 10:00:00,5319.25,5221.75,-97.75,13,-120.5,-493.75
2022-03-23 08:00:00,2022-03-24 08:00:00,5293.0,5287.5,-5.75,8,-22.75,-33.75
2022-03-30 12:00:00,2022-03-30 15:00:00,5420.0,5424.25,4.0,3,-7.5,15.0
