entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-07-27 10:00:00,2021-07-28 08:00:00,5172.25,5197.5,25.0,3,0.0,120.0
2021-08-16 08:00:00,2021-08-16 12:00:00,5234.5,5264.25,29.5,2,0.0,142.5
2021-08-17 10:00:00,2021-08-18 08:00:00,5213.25,5240.75,27.25,3,0.0,131.25
2021-08-26 08:00:00,2021-08-27 08:00:00,5272.0,5299.5,27.25,4,-4.75,131.25
2021-09-07 14:00:00,2021-09-08 14:00:00,5315.5,5311.25,-4.5,4,-18.25,-27.5
2021-09-09 14:00:00,2021-09-13 14:00:00,5291.5,5273.0,-18.75,8,-40.0,-98.75
2021-10-27 14:00:00,2021-10-28 08:00:00,5356.25,5388.5,32.0,1,0.0,155.0
2021-11-10 12:00:00,2021-11-11 10:00:00,5441.25,5457.75,16.25,3,0.0,76.25
2021-11-22 14:00:00,2021-11-23 14:00:00,5492.5,5488.25,-4.5,4,-28.0,-27.5
2021-12-09 14:00:00,2021-12-10 08:00:00,5473.75,5492.5,18.5,1,0.0,87.5
2021-12-13 14:00:00,2021-12-14 14:00:00,5478.5,5441.25,-37.5,4,-62.0,-192.5
2022-01-05 10:00:00,2022-01-10 12:00:00,5584.25,5453.0,-131.5,13,-183.25,-662.5
2022-03-23 14:00:00,2022-03-24 08:00:00,5271.0,5296.0,24.75,1,0.0,118.75
2022-03-31 10:00:00,2022-04-01 14:00:00,5400.0,5355.5,-44.75,6,-67.0,-228.75
2022-04-06 08:00:00,2022-04-07 12:00:00,5282.75,5325.25,42.25,6,-7.5,206.25
2022-04-11 08:00:00,2022-04-12 08:00:00,5256.0,5258.75,2.5,4,-25.25,7.5
2022-06-01 10:00:00,2022-06-01 12:00:00,4905.75,4937.25,31.25,1,0.0,151.25
2022-06-09 08:00:00,2022-06-15 08:00:00,4918.0,4597.75,-320.5,16,-371.0,-1607.5
2022-07-25 12:00:00,2022-07-25 14:00:00,4774.25,4795.75,21.25,1,0.0,101.25
