entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-06-23 14:45:00,2021-06-24 08:30:00,5031.25,5054.5,23.0,2,0.0,110.0
2021-06-25 12:00:00,2021-06-25 12:45:00,5065.25,5067.25,1.75,3,0.0,3.75
2021-06-28 11:45:00,2021-06-28 12:30:00,5066.5,5067.5,0.75,3,-2.0,-1.25
2021-06-29 10:30:00,2021-06-29 11:15:00,5084.5,5085.25,0.5,3,0.0,-2.5
2021-06-29 11:30:00,2021-06-29 11:45:00,5083.0,5084.75,1.5,1,0.0,2.5
2021-06-29 12:15:00,2021-06-29 13:00:00,5082.5,5084.25,1.5,3,0.0,2.5
2021-06-29 13:15:00,2021-06-29 14:00:00,5081.5,5081.25,-0.5,3,-4.0,-7.5
2021-06-30 11:15:00,2021-06-30 11:30:00,5083.0,5086.25,3.0,1,0.0,10.0
2021-07-05 11:45:00,2021-07-06 10:45:00,5141.0,5116.5,-24.75,10,-26.25,-128.75
2021-07-07 09:15:00,2021-07-07 10:00:00,5131.0,5134.75,3.5,3,-9.5,12.5
2021-07-13 12:00:00,2021-07-13 13:15:00,5173.5,5169.0,-4.75,5,-6.5,-28.75
2021-07-13 13:30:00,2021-07-13 13:45:00,5162.75,5167.5,4.5,1,0.0,17.5
2021-07-13 14:00:00,2021-07-13 14:30:00,5161.0,5166.25,5.0,2,0.0,20.0
2021-07-14 10:15:00,2021-07-14 11:00:00,5164.0,5165.0,0.75,3,-9.25,-1.25
2021-07-20 14:45:00,2021-07-21 08:30:00,5114.25,5134.75,20.25,2,0.0,96.25
2021-07-22 11:00:00,2021-07-22 11:30:00,5143.5,5150.0,6.25,2,0.0,26.25
2021-07-23 14:00:00,2021-07-23 14:15:00,5196.25,5200.5,4.0,1,0.0,15.0
2021-07-27 08:30:00,2021-07-27 11:30:00,5190.5,5177.5,-13.25,12,-21.75,-71.25
2021-07-29 13:15:00,2021-07-29 14:30:00,5217.0,5214.5,-2.75,5,-3.75,-18.75
2021-07-29 14:45:00,2021-07-30 09:00:00,5211.25,5203.0,-8.5,4,-16.0,-47.5
2021-08-02 10:30:00,2021-08-02 11:30:00,5202.5,5194.25,-8.5,4,-12.75,-47.5
2021-08-04 08:30:00,2021-08-04 10:45:00,5200.25,5197.75,-2.75,9,-6.5,-18.75
2021-08-04 14:00:00,2021-08-05 08:30:00,5198.5,5207.75,9.0,5,-5.0,40.0
2021-08-05 11:30:00,2021-08-05 12:15:00,5208.75,5210.5,1.5,3,-1.0,2.5
2021-08-06 13:30:00,2021-08-06 14:15:00,5227.0,5228.25,1.0,3,-3.25,0.0
2021-08-10 09:30:00,2021-08-10 10:15:00,5224.0,5229.25,5.0,3,-0.5,20.0
2021-08-10 13:00:00,2021-08-10 13:30:00,5228.25,5231.25,2.75,2,0.0,8.75
2021-08-10 14:30:00,2021-08-11 08:30:00,5227.5,5239.5,11.75,3,-0.5,53.75
2021-08-11 10:30:00,2021-08-11 11:00:00,5230.5,5232.5,1.75,2,0.0,3.75
2021-08-20 13:15:00,2021-08-20 13:45:00,5229.5,5231.25,1.5,2,0.0,2.5
2021-08-23 14:30:00,2021-08-24 08:30:00,5279.5,5282.75,3.0,3,-3.75,10.0
2021-08-24 11:15:00,2021-08-24 11:30:00,5279.5,5281.75,2.0,1,0.0,5.0
2021-08-24 14:30:00,2021-08-25 08:45:00,5283.75,5286.0,2.0,4,-2.75,5.0
2021-08-25 12:45:00,2021-08-25 13:00:00,5293.75,5295.25,1.25,1,0.0,1.25
2021-08-25 14:00:00,2021-08-25 14:30:00,5291.5,5296.5,4.75,2,0.0,18.75
2021-08-26 08:30:00,2021-08-26 10:15:00,5287.5,5277.75,-10.0,7,-15.5,-55.0
2021-08-27 15:00:00,2021-08-30 08:30:00,5303.75,5311.25,7.25,1,0.0,31.25
2021-08-30 13:30:00,2021-08-30 13:45:00,5329.5,5332.0,2.25,1,0.0,6.25
2021-08-30 14:30:00,2021-08-31 09:00:00,5327.5,5322.25,-5.5,5,-13.25,-32.5
2021-08-31 14:00:00,2021-08-31 14:30:00,5317.0,5320.5,3.25,2,-0.75,11.25
