group,n,win%,PF,tot_pts,$/trade
RIDE      IS 21-22,895,38.2,1.11,263.0,14.7
SCRATCH   IS 21-22,898,36.1,1.04,85.5,4.8
BE_TOUCH  IS 21-22,898,33.9,1.04,92.5,5.2
BE_THRU   IS 21-22,898,33.9,1.03,73.0,4.1
RIDE      OOS 23-26,1844,37.1,1.13,673.5,18.3
SCRATCH   OOS 23-26,1850,35.8,1.15,713.5,19.3
BE_TOUCH  OOS 23-26,1850,34.1,1.14,652.8,17.6
BE_THRU   OOS 23-26,1850,34.1,1.14,644.8,17.4
RIDE      full,2739,37.5,1.13,936.5,17.1
SCRATCH   full,2748,35.9,1.12,799.0,14.5
BE_TOUCH  full,2748,34.0,1.11,745.2,13.6
BE_THRU   full,2748,34.0,1.11,717.8,13.1
