year,base_n,base_pts,base_$/tr,filt_n,filt_pts,filt_$/tr
2021,250,-46.8,-9.4,170,-51.0,-15.0
2022,648,132.2,10.2,468,111.2,11.9
2023,339,116.0,17.1,223,92.8,20.8
2024,480,-168.5,-17.6,289,-10.8,-1.9
2025,742,530.5,35.7,519,610.5,58.8
2026,289,235.5,40.7,177,134.0,37.9
ALL,2748,799.0,14.5,1846,886.8,24.0
