group,n,win%,PF,tot_pts,$/trade
"below LOY, 21-24",727,35.4,1.0,-4.2,-0.3
"LOY..25%, 21-24",236,33.5,1.04,18.2,3.9
"25..50%, 21-24",179,33.0,1.15,62.8,17.5
"50..75%, 21-24",182,33.5,0.91,-39.2,-10.8
"75%..HOY, 21-24",135,38.5,1.16,43.8,16.2
"above HOY, 21-24",258,34.5,0.92,-48.2,-9.4
"no levels, 21-24",0,,inf,0.0,
"below LOY, 25-26",451,34.1,1.02,24.5,2.7
"LOY..25%, 25-26",145,37.9,1.54,197.2,68.0
"25..50%, 25-26",126,36.5,1.2,74.0,29.4
"50..75%, 25-26",81,45.7,2.27,275.2,169.9
"75%..HOY, 25-26",50,50.0,1.31,44.2,44.2
"above HOY, 25-26",178,40.4,1.28,150.8,42.3
"no levels, 25-26",0,,inf,0.0,
