year,SAR_n,SAR_pts,SAR_PF,noSAR_n,noSAR_pts,noSAR_PF
2021,228,-21.8,0.959,149,-24.2,0.949
2022,583,335.0,1.214,400,363.8,1.251
2023,305,116.0,1.195,236,228.8,1.428
2024,390,-115.5,0.887,275,-79.5,0.916
2025,674,541.2,1.262,425,122.8,1.063
2026,240,210.0,1.266,173,58.2,1.078
