split,n,win%,PF,$/tr,tot_$
TRAIN T1(quiet),183,39.3,1.25,39.7,7262.0
TRAIN T2(mid),183,30.6,0.84,-30.9,-5662.0
TRAIN T3(loud),183,39.3,1.5,84.0,15375.0
TEST T1(quiet),369,34.4,1.04,7.5,2750.0
TEST T2(mid),337,34.1,1.04,6.7,2250.0
TEST T3(loud),428,36.7,1.14,27.1,11612.0
