group,n,win%,PF,tot_pts,$/trade
"long, 21-24",928,33.5,0.93,-142.2,-7.7
"short, 21-24",789,36.2,1.1,175.2,11.1
"long, 25-26",532,36.1,1.26,393.5,37.0
"short, 25-26",499,39.5,1.26,372.5,37.3
