slice,grp,n,win_rate
ALL,climax,129,0.295
ALL,plain,1184,0.265
long,climax,54,0.352
long,plain,575,0.24
short,climax,75,0.253
short,plain,609,0.289
2026-02,climax,15,0.267
2026-02,plain,184,0.245
2026-03,climax,35,0.257
2026-03,plain,222,0.288
2026-04,climax,21,0.286
2026-04,plain,165,0.303
2026-05,climax,26,0.308
2026-05,plain,168,0.232
2026-06,climax,23,0.435
2026-06,plain,146,0.247
2026-07,climax,7,0.143
2026-07,plain,190,0.263
2026-08,climax,2,0.0
2026-08,plain,109,0.275
