group,n,win%,PF,tot_pts,$/trade
8:xx,320,30.6,0.79,-164.0,-25.6
9:xx,532,36.5,1.28,362.8,34.1
10:xx,405,36.0,0.98,-15.5,-1.9
11:xx,344,33.7,1.0,3.5,0.5
12:xx,335,37.9,1.41,352.8,52.6
13:xx,346,33.8,0.98,-22.2,-3.2
14:xx,384,40.1,1.33,259.0,33.7
15:xx,82,41.5,1.1,22.8,13.9
