date,split,dir,te,label,bars_to_resolve,leg_depth_adr,session_min,tempo_mean,tempo_accel,effdir_mean,effdir_slope
2021-07-06,discovery,-1,20,continuation,5.0,0.7339449541284404,49.057192992783335,,0.5172094430647642,0.4245238095238095,-0.002756132756132773
2021-07-06,discovery,-1,53,reversal,11.0,0.7045871559633028,156.02623732188334,,0.03884210219680817,0.10587778449620555,0.12156406193487528
2021-07-06,discovery,1,67,continuation,5.0,0.7192660550458716,222.78842017985002,,-0.6877828378656534,0.28125506072874495,0.1124219002687902
2021-07-06,discovery,1,77,continuation,8.0,0.7045871559633028,302.7562120839833,,0.33764236974620365,0.34762959262959264,-0.04480862571771656
2021-07-07,discovery,-1,24,continuation,5.0,0.7193798449612403,60.99677302838334,,-0.050233738274450435,0.16422688422688422,0.11719408537590352
2021-07-08,discovery,-1,15,reversal,5.0,0.7469553450608931,14.788947770383334,,-0.5099851897299281,0.3674098613804496,0.09175226734050265
2021-07-08,discovery,-1,40,reversal,5.0,0.7036535859269283,51.81390781625,,-0.09118311248035971,0.3002821769733535,0.06863041642453407
2021-07-08,discovery,-1,113,reversal,16.0,0.7253044654939107,298.04922523425,,0.19668118393011924,0.19452221797810032,0.01743155388877319
2021-07-08,discovery,-1,135,reversal,2.0,0.7036535859269283,380.1689799552167,,0.8139152734039898,0.12236117253919107,0.019242215759243612
2021-07-08,discovery,1,142,unresolved,,0.7469553450608931,389.6465379944833,,1.6594589389532723,0.21647631779984722,0.09737706836637318
2021-07-14,discovery,-1,40,reversal,12.0,0.716297786720322,133.08288034871666,,0.2687453274899947,0.3006187461489319,0.008822110408797728
2021-07-16,discovery,-1,24,continuation,52.0,0.7384615384615385,51.26199674258333,,0.3867700941678174,0.3551659125188537,0.015726952785776314
2021-07-19,discovery,-1,26,continuation,18.0,0.7017543859649122,23.66798040595,,-0.19402383734493656,0.28863291088893456,0.059372944649563365
2021-07-19,discovery,1,195,unresolved,,0.7830101569713758,389.9818253933166,,2.653651625820163,0.4619801341589267,-0.005375973355849509
2021-07-20,discovery,1,22,continuation,13.0,0.7629046369203849,25.18608165285,,-0.005651804682346384,0.4593500276364727,-0.02156066723841661
2021-07-23,discovery,1,33,unresolved,,0.7125506072874493,120.03669679871668,,-0.15105458271545347,0.5598160173160174,0.010210547028728827
2021-07-27,discovery,1,105,unresolved,,0.7331711273317113,325.48647245411667,,-2.608409036439614,0.3963005050505051,-0.026899708036071654
2021-08-02,discovery,-1,41,continuation,35.0,0.7020785219399538,149.89789568778332,0.16346838618095466,0.6133342601680476,0.4313985109093805,0.07430633376285543
2021-08-03,discovery,1,54,continuation,16.0,0.8514412416851441,132.45034777741665,0.6162434813747566,0.5438751472673853,0.4559459157076603,0.07859919079684369
2021-08-16,discovery,-1,26,reversal,14.0,0.75,56.285029175383336,0.3848961710305435,0.08363739333831077,0.22442975668981863,0.0975632196347085
2021-08-16,discovery,1,51,continuation,6.0,0.71875,171.06837943081666,0.04250833439178325,-0.636173519958787,0.1594227994227994,-0.03660501115046567
2021-08-16,discovery,1,59,continuation,4.0,0.78125,244.35044603471667,0.08003754783852104,0.016474731189374925,0.4472660672660672,0.07583527583527576
2021-08-17,discovery,-1,18,reversal,9.0,0.8,25.19098013815,0.32865460984543937,-0.10967433009751826,0.2942475171886937,0.1181994119962034
2021-08-17,discovery,-1,75,continuation,4.0,0.7483870967741936,189.15579716161668,1.3012065413590121,0.16068439276427204,0.22794559070100867,0.06342753346975127
2021-08-17,discovery,1,100,reversal,8.0,0.8,270.72717088334997,0.8404542703674445,-0.108769537840963,0.116231529340225,0.10186086772252777
2021-08-18,discovery,-1,60,continuation,3.0,0.8068181818181818,282.74581031175,0.9032173183679063,1.5679371344873028,0.018890291588060337,0.0982288709303276
2021-08-18,discovery,1,71,reversal,7.0,0.7159090909090909,300.12039497648334,1.7587439400994977,0.1173558301953852,0.18023504273504276,0.12299274799274801
2021-08-18,discovery,-1,90,continuation,8.0,0.7045454545454546,361.91170737355,0.8914015070154256,0.5661529352772123,0.40874331550802145,0.06847566574839298
2021-08-18,discovery,-1,99,continuation,6.0,0.7386363636363636,378.6150721519167,0.7984686218864663,0.3434018261150893,0.22686507936507933,0.06772727272727269
2021-08-19,discovery,-1,47,reversal,9.0,0.7248322147651006,64.88847732368333,0.8841733020842575,0.13011234641623526,0.31578915236809973,0.0663466942414311
2021-08-19,discovery,1,57,continuation,17.0,0.7069351230425056,87.27222134728332,0.6366372373510305,-0.09442028874184816,0.19100621600621598,0.19052153233971414
2021-08-19,discovery,1,78,reversal,19.0,0.7337807606263982,145.90539633491665,0.8033228593109831,-0.11754715868433907,0.36460317460317454,-0.0036291486291486048
2021-08-19,discovery,1,130,continuation,9.0,0.7069351230425056,328.3881886879166,1.2880780732432675,0.0030324474847862604,0.2724539796849327,0.08159120142058623
2021-08-27,discovery,1,28,continuation,49.0,0.7259658580413297,46.84321833161666,0.8824456028134973,-0.062447232016761056,0.3291727716727716,0.024331779331779317
2021-08-30,discovery,1,29,unresolved,,0.7039413382218148,104.10184450975,-0.06030198990133286,-0.4415468911974576,0.35512806637806643,-0.07872414622414618
2021-09-08,discovery,-1,27,continuation,11.0,0.7263556116015133,66.31195936395001,0.46739536963858963,0.48869022849119936,0.4893989915313444,0.08082240348283126
2021-09-09,discovery,-1,11,continuation,5.0,0.7117794486215538,116.09973970391667,-1.226455129848096,-0.5993814202329508,0.07996319705331686,0.1358030154084315
2021-09-09,discovery,-1,17,continuation,4.0,0.7017543859649122,231.82177158565,-0.8256946687866078,0.1542760671204344,0.33675585102016653,-0.028861962680446402
2021-09-10,discovery,1,61,reversal,11.0,0.7754601226993865,184.3628391231167,0.3578230783765172,-0.8598072035137212,0.2933417017279247,0.06965790115170915
2021-09-10,discovery,-1,85,continuation,6.0,0.7656441717791411,366.17159584288333,0.538898677217329,0.7262462075726464,0.39457168943438964,-0.009016949888595402
2021-09-13,discovery,-1,14,continuation,16.0,0.7114788004136504,15.311970581016668,0.4167325457872103,-0.6771734175257449,0.35586038961038957,0.026207201889020114
2021-09-13,discovery,-1,65,reversal,27.0,0.7114788004136504,105.22859651571666,0.8142518451255155,0.6552147469833738,0.34698879551820727,0.05943083060730121
2021-09-13,discovery,1,126,continuation,12.0,0.7114788004136504,361.4414372275833,0.9254247699255844,-0.19740678465468786,0.3529696186166774,-0.037696604049545224
2021-09-14,discovery,-1,20,continuation,31.0,0.7861692447679709,29.76950668758333,0.5226547877677152,0.6639758185700844,0.4150598938098938,0.0236903416448871
2021-09-15,discovery,1,79,unresolved,,0.707395498392283,232.7059855834833,0.8961812642810729,-0.8804747705893265,0.2013943001443001,0.061583038173947266
2021-09-16,discovery,-1,26,continuation,25.0,0.7411764705882353,32.99596578368333,0.7479584542023335,-0.12579916417324677,0.299209074379353,0.021910320553720504
2021-09-16,discovery,1,100,unresolved,,0.7,338.4031224918833,0.5166340048996265,0.7406232517109226,0.289770523594053,0.1525122589828472
2021-09-20,discovery,-1,107,continuation,18.0,0.7165775401069518,169.19873025931665,1.2397803760224417,0.047309005912886004,0.28712787816048685,-0.04848033791709683
2021-09-20,discovery,1,186,continuation,12.0,0.7486631016042781,366.18323097565,1.2500487789421897,-0.0492251433505535,0.52805355635077,-0.012132567685621464
2021-09-23,discovery,1,24,continuation,46.0,0.7075471698113207,33.33380958885,0.49949858980774575,-0.23301415818188032,0.15281321335669165,0.009137392398261975
2021-09-30,discovery,-1,76,continuation,13.0,0.7139240506329114,138.55891804108333,1.221438618854439,0.340796328509382,0.3397416770498612,-0.04256273469828457
2021-09-30,discovery,-1,190,unresolved,,0.739240506329114,386.7894406923833,0.8335305090885156,0.4133020062467785,0.26986655011655014,0.039003567139930743
2021-10-01,discovery,1,99,continuation,34.0,0.7410207939508506,133.03517839058333,0.8383151149005057,-0.19812746012529292,0.22154528478057892,0.12337662337662333
2021-10-01,discovery,1,149,continuation,8.0,0.7107750472589792,309.4868376145167,0.6237739377599633,-0.3252194326156541,0.20292113201555922,-0.04807802964149715
2021-10-04,discovery,-1,49,continuation,18.0,0.7032967032967034,64.92999939501667,0.979494752322881,0.8865734252172044,0.3795441813088872,0.05029083809832471
2021-10-11,discovery,-1,67,continuation,34.0,0.7047718930256948,256.5402487685167,0.7195040787872954,0.6089295041886209,0.3019982834502958,0.03363664105853807
2021-10-14,discovery,1,58,unresolved,,0.7026706231454006,210.68591796815,0.11711406960618953,0.29270805292294666,0.09426044969523233,-0.057383481691782076
2021-10-18,discovery,1,33,continuation,34.0,0.738284066330209,94.68590789515,-0.1831227644178611,-0.2116870909595452,0.2292099946836789,0.05530156428721021
2021-10-25,discovery,1,48,unresolved,,0.7056567593480345,198.89413390235,-0.024508683668242638,-0.49688986320974426,0.22957223332223334,-0.015011108420199324
2021-10-27,discovery,-1,82,continuation,16.0,0.7226890756302521,343.00631580341667,0.16223519986216473,0.8738696213758101,0.46918816477640013,0.041423772306125255
2021-10-29,discovery,1,14,continuation,27.0,0.7195767195767195,24.03630401795,-0.2130476410308252,-0.8233315774501824,0.2792045454545454,-0.051159320477502296
2021-11-05,discovery,-1,64,continuation,3.0,0.7591836734693878,232.56287073698334,0.604790842020331,0.38879321152033075,0.2838725490196078,0.014244314805812142
2021-11-09,discovery,-1,16,continuation,2.0,0.7318087318087318,27.32619253815,0.18162744719987592,0.34825531087681316,0.3673234906610866,0.020868320498639015
2021-11-12,discovery,1,33,continuation,12.0,0.7607607607607607,103.63909672261666,0.16314503608073266,0.09643092796508768,0.4600635724784331,-0.02436825331843626
2021-11-18,discovery,-1,20,reversal,26.0,0.7114788004136504,41.76515681921667,0.2164146032436043,0.10086277956059142,0.3431526806526807,0.05729144592780952
2021-11-18,discovery,1,56,continuation,41.0,0.7114788004136504,137.17650628091667,0.33216766433643147,-0.47755131220221125,0.28670492550927335,-0.014142013015530808
2021-11-19,discovery,-1,69,unresolved,,0.7504835589941973,249.53291570605,0.6112160481638005,0.696191780868411,0.3394516362550418,0.030031731254641467
2021-11-22,discovery,1,19,reversal,29.0,0.7006109979633401,30.677139108050003,0.27608756906044174,0.042983764441964833,0.3487619617224881,0.01953133217909468
2021-11-22,discovery,-1,52,continuation,3.0,0.7983706720977597,139.03742342781666,0.4978852456639887,0.24880265948497815,0.32588933941875114,0.07536413279728785
2021-11-22,discovery,-1,111,continuation,4.0,0.7820773930753564,374.16219515128336,0.3406953563077163,0.9259485808149437,0.5705754582534768,0.07077069530629904
2021-11-23,discovery,1,16,reversal,12.0,0.7666989351403679,18.324767684583332,0.1451518690365962,-0.2564029903262135,0.3431257158808646,0.03850929284754961
2021-11-23,discovery,-1,31,continuation,16.0,0.7666989351403679,38.73532788991667,0.6235283778912671,0.20305405795798226,0.40712566844919784,-0.007917409387997617
2021-11-29,discovery,1,95,unresolved,,0.7417548226509023,165.66504987731665,0.42331791296066895,-0.3590231042446166,0.3695873570873571,0.033622185894913156
2021-11-30,discovery,-1,79,continuation,11.0,0.7403846153846154,83.42189917995,1.5849596161739463,0.8001053700283616,0.49311564290094373,0.032162024969939945
2021-12-01,discovery,-1,202,continuation,36.0,0.7246525990735976,350.93147297188335,1.5474238226598385,0.7474900027559297,0.234357022836125,0.07083971727160579
2021-12-01,discovery,-1,248,unresolved,,0.737004632012352,388.91213329288337,0.7774083271443918,0.4088221150577791,0.5651110533773073,0.016494170161493554
2021-12-02,discovery,1,35,reversal,51.0,0.7112588284171167,23.329066247416666,0.9430776901180679,-0.27464841188387634,0.3570093109268301,-0.0013272283401323322
2021-12-15,discovery,1,107,continuation,69.0,0.7021517553793885,275.89966350111666,2.8395344881016986,0.22952734127713992,0.4343170731991569,-0.030808635625263356
2021-12-15,discovery,1,187,continuation,24.0,0.797281993204983,346.7268095753167,1.5849211276921968,0.32525138019554856,0.39405318537671474,0.07464623611682433
2021-12-17,discovery,1,88,continuation,8.0,0.7781569965870307,75.49007817548333,1.093669566276254,0.46926157558978243,0.2231663843402974,0.01771455948531045
2021-12-17,discovery,-1,132,reversal,28.0,0.7872582480091013,136.13592346605,1.1279434828536228,0.34380396943856795,0.44381203983569717,0.023210621678303598
2021-12-21,discovery,1,89,continuation,22.0,0.7204580947423217,159.29013549248333,0.3557340104807607,-0.05102618822252625,0.15905525846702318,0.036584896584896526
2021-12-27,discovery,1,59,unresolved,,0.7132530120481928,292.00260538995,-0.43952431881557147,-0.052388448736708115,0.34464646464646465,0.031796755433119085
2022-01-03,discovery,-1,16,reversal,28.0,0.726144297905353,18.213188865883335,0.44249240582674654,0.46132050586086093,0.41956178081178075,0.11762488073094135
2022-01-04,discovery,-1,52,continuation,43.0,0.7322497861420018,89.78797428101667,0.9131731438675892,0.582892385061129,0.3431605975723623,0.07484961661432249
2022-01-04,discovery,1,120,unresolved,,0.718562874251497,347.2659084673833,0.21267509004240917,0.20741572108627615,0.25530514119523406,0.08485785237685045
2022-01-05,discovery,-1,136,continuation,17.0,0.7246891651865008,313.97494793095,1.7434117949896628,-0.2167833368720018,0.3324542592956915,-0.002880129248415707
2022-01-07,discovery,1,93,reversal,71.0,0.7045123726346434,139.7969686609833,0.6420699909486487,0.3953478852860699,0.1524061124061124,0.07900551749036601
2022-01-11,discovery,1,96,continuation,13.0,0.7149532710280374,105.37271841574999,1.0324688119245549,0.14957670577217685,0.3871620195661117,0.031524896091276004
2022-01-20,discovery,-1,168,continuation,13.0,0.7029995775242923,351.10458135644996,0.9641286590171305,0.015467394008847002,0.21866885884788698,-0.014418942807689647
2022-01-25,discovery,1,257,continuation,24.0,0.700838769804287,284.6571223087833,1.082945886303812,0.01383118532211558,0.08371241406510284,0.11982472263557138
2022-01-28,discovery,1,268,unresolved,,0.7073891625615764,379.83457192158335,0.3559021877795766,1.1224685915027828,0.4420246248419623,0.05889518535170097
2022-02-04,discovery,1,175,unresolved,,0.7021719726271943,308.05742758255,0.40266984886743795,0.24582548858850473,0.22431786159279765,0.025030271518762554
2022-02-10,discovery,1,38,continuation,33.0,0.7091932457786116,31.407206918783334,0.12448039499712449,0.36837149973143424,0.15735004374710257,0.023315076189407702
2022-02-11,discovery,-1,157,continuation,13.0,0.7306791569086651,249.39302945261667,1.547309771383294,0.6469617738947018,0.3619049228886958,0.06710519665894919
2022-02-14,discovery,-1,176,reversal,73.0,0.7012220817530552,264.4022429444166,1.6263341088314065,0.5525777221095605,0.3414009589481726,0.0015498052780630826
2022-02-17,discovery,-1,134,unresolved,,0.7092860475968269,342.21907796901667,0.10416383090610046,0.2392655857488375,0.30433595390117124,0.01580899557184142
2022-02-18,discovery,-1,67,continuation,67.0,0.7090420769919427,93.84604436858334,0.4780342018929167,2.0312821638311696,0.2450878251435527,0.06414412281904541
2022-02-18,discovery,1,162,reversal,37.0,0.7054610564010743,300.0424708705167,0.35469290518309265,0.20625354964503417,0.487709741239153,-0.01902467111023261
2022-02-22,discovery,1,216,reversal,38.0,0.7425256581883088,332.41928281785,0.8958848385876029,0.10271827931915656,0.3228411022528669,0.007036134130608282
2022-02-24,discovery,1,267,continuation,38.0,0.7026816945200155,309.4338582069833,1.0849906854575926,0.14600386637200868,0.36843519225872157,0.006333850344545559
