year,outcome,n,r2_base,r2_base_plus_tempo,delta_r2,pcorr_todadj,pcorr_accel,raw_corr_logtempo
ALL,fwd_abs,194219,0.15549493724602137,0.15638574497113478,0.0008908077251134072,0.029224182259770002,0.002491145405790895,0.19605691262483407
ALL,fwd_range,194219,0.6976311945300224,0.7050590983227807,0.007427903792758261,0.1388436369648691,0.007170990376886755,0.42593206458424887
ALL,fwd_signed,194219,0.0006602531177337667,0.0007320153671303009,7.17622493965342e-05,-0.007511506279651775,-0.0003979303660958013,0.005522312438566405
2021,fwd_abs,9558,0.05836182986353533,0.0645556954714398,0.00619386560790447,0.08085125206408571,0.052159304058451816,0.20107298940431348
2021,fwd_range,9558,0.5723116995450651,0.6293160320055338,0.057004332460468654,0.347465823821539,0.11060071059723829,0.5986586148680552
2021,fwd_signed,9558,0.0003915791993218676,0.0029542421203285762,0.0025626629210067087,0.03905371852672314,-0.00355115075173999,0.008135454713079346
2022,fwd_abs,47728,0.08061536993664298,0.08334719610466057,0.0027318261680175926,0.04441811021919644,-0.00587422815691035,0.11581250060098255
2022,fwd_range,47728,0.574852319796569,0.6096061282028364,0.034753808406267406,0.2564896396043958,0.015058328211298298,0.35869509432746516
2022,fwd_signed,47728,0.0004898738341664322,0.0008100311802847759,0.0003201573461183438,-0.017579400321258765,-0.011517530287929224,0.002113823075885037
2023,fwd_abs,35370,0.06731985502660831,0.06883904036209976,0.0015191853354914464,0.028531421234138456,-0.003622995409010482,0.12837906210150665
2023,fwd_range,35370,0.5952752815295175,0.6060192815917694,0.010744000062251957,0.12523260861724406,0.0002657843019796867,0.38921473661439926
2023,fwd_signed,35370,0.0003118798963234193,0.0013921203920768122,0.0010802404957533929,-0.024870919156169673,0.0005576821842574559,-0.018830802728236964
2024,fwd_abs,32684,0.06271314637588365,0.06503275920709128,0.002319612831207629,0.03518207448707044,-0.0084987148285231,0.15753864311046856
2024,fwd_range,32684,0.5625746664495913,0.5851837552570078,0.022609088807416522,0.20226011854096082,0.03158022803467322,0.45239648662057225
2024,fwd_signed,32684,0.00021904633489155945,0.0018295427378358653,0.0016104964029443058,-0.02427360435532544,0.01215649633928033,-0.02063135171062005
2025,fwd_abs,42730,0.26443523667210234,0.26539138852301913,0.0009561518509167977,0.03600844185308995,0.016509771144481884,0.25594483518150407
2025,fwd_range,42730,0.8083267572370538,0.8120996971503236,0.0037729399132697683,0.13598723652527378,0.03840913798146466,0.4615073969658161
2025,fwd_signed,42730,0.0039131092212350005,0.004032251962126976,0.00011914274089197541,-6.826598356159191e-05,-0.00949287278063395,0.016921014102557017
2026,fwd_abs,26149,0.06538936845967858,0.06704861193685252,0.001659243477173944,0.04211036304117173,0.024889971072894458,0.14419510402541527
2026,fwd_range,26149,0.5714315761194335,0.5858386986089107,0.014407122489477175,0.17196594162865242,0.04425113828935426,0.38865945999339646
2026,fwd_signed,26149,0.000423543719453523,0.0008920804197612986,0.0004685367003077756,0.019598083557260688,0.018637244875238067,0.035325585939169464
