split,n,win%,PF,$/tr,tot_$
ALL,1515,31.1,1.0,-0.3,-450.0
springs (LONG),774,30.1,0.97,-2.5,-1900.0
upthrusts (SHORT),741,32.1,1.03,2.0,1450.0
TRAIN 21-22,455,29.9,0.96,-3.4,-1538.0
TEST 23-26,1060,31.6,1.01,1.0,1088.0
