scope,arm,n,win%,PF,tot_pts,exp_$,exp_$net,maxDD_$
1yr,CONTROL,521,36.7,1.08,121.8,11.7,7.2,-9850.0
1yr,SCRATCH,522,40.8,1.12,177.0,17.0,12.5,-6462.0
1yr,REVERSE,593,40.3,1.11,175.0,14.8,10.3,-6450.0
full,CONTROL,2739,36.2,1.13,936.5,17.1,12.6,-14350.0
full,SCRATCH,2748,38.8,1.12,799.0,14.5,10.0,-12438.0
full,REVERSE,3205,37.7,1.08,609.2,9.5,5.0,-13612.0
