date,r1h,tempo1h,nclimax1h,rest_range,adr,prev_close,op,last_t,gap_adr,r1h_adr,rest_adr,year
2021-06-30,8.25,28.077912981235077,0.0,12.5,25.40625,5084.75,5077.0,15:14:59.000918,0.3050430504305043,0.3247232472324723,0.4920049200492005,2021
2021-07-01,8.75,24.142363328053897,0.0,18.0,22.9375,5091.25,5093.5,15:14:59.571333,0.09809264305177112,0.3814713896457766,0.784741144414169,2021
2021-07-02,6.5,19.093758104721523,0.0,24.0,18.5,5107.5,5121.75,15:14:59.570880,0.7702702702702703,0.35135135135135137,1.2972972972972974,2021
2021-07-06,21.5,43.63956511990476,0.0,40.75,17.03125,5139.5,5142.75,15:14:59.379670,0.1908256880733945,1.2623853211009175,2.3926605504587157,2021
2021-07-07,16.75,51.191850795960214,0.0,33.0,20.15625,5129.75,5141.75,15:14:59.911634,0.5953488372093023,0.8310077519379845,1.6372093023255814,2021
2021-07-08,21.0,80.367154398713,8.0,39.0,23.09375,5149.25,5092.0,15:14:59.144087,2.479025710419486,0.9093369418132612,1.6887686062246279,2021
2021-07-09,21.0,47.61406013223563,0.0,19.5,26.40625,5108.25,5130.5,15:14:59.289071,0.842603550295858,0.7952662721893491,0.7384615384615385,2021
2021-07-12,16.75,43.51042053836546,0.0,13.25,28.65625,5159.0,5158.75,15:14:59.559256,0.008724100327153763,0.5845147219193021,0.4623773173391494,2021
2021-07-13,10.5,42.24595723456383,0.0,25.25,29.96875,5176.0,5167.0,15:14:59.647678,0.30031282586027114,0.35036496350364965,0.8425443169968717,2021
2021-07-14,12.25,40.85667111424281,1.0,24.0,31.0625,5160.5,5178.75,15:14:59.931363,0.5875251509054326,0.39436619718309857,0.772635814889336,2021
2021-07-15,15.75,61.280859046385785,0.0,26.5,32.46875,5167.75,5152.75,15:14:59.733232,0.4619826756496631,0.4850818094321463,0.8161693936477382,2021
2021-07-16,29.25,62.70366677210452,2.0,33.25,32.5,5147.5,5164.75,15:14:59.868853,0.5307692307692308,0.9,1.023076923076923,2021
2021-07-19,40.75,86.17498786266471,19.0,34.5,33.84375,5114.25,5066.25,15:14:59.945101,1.4182825484764543,1.2040627885503232,1.0193905817174516,2021
2021-07-20,46.75,68.54214616262799,0.0,35.75,35.71875,5054.0,5060.75,15:14:58.526311,0.1889763779527559,1.3088363954505686,1.0008748906386702,2021
2021-07-21,16.0,33.530733856703094,0.0,20.5,39.9375,5119.0,5127.5,15:14:59.022915,0.21283255086071987,0.40062597809076683,0.513302034428795,2021
2021-07-22,11.25,35.993880227581265,0.0,21.75,38.9375,5152.0,5151.5,15:14:59.847117,0.012841091492776886,0.28892455858747995,0.5585874799357945,2021
2021-07-23,8.75,25.886750514276343,0.0,29.5,38.59375,5162.5,5179.25,15:14:59.804861,0.4340080971659919,0.22672064777327935,0.7643724696356275,2021
2021-07-26,10.0,29.377054982145115,0.0,17.75,39.90625,5200.5,5197.5,15:14:59.912342,0.07517619420516837,0.2505873140172279,0.4447924823805795,2021
2021-07-27,18.75,57.071115031090066,2.0,30.75,38.53125,5215.5,5203.0,15:14:59.907661,0.32441200324412,0.48661800486618007,0.7980535279805353,2021
2021-07-28,17.5,39.06475854700515,0.0,30.25,39.90625,5185.5,5200.75,15:14:59.591703,0.38214565387627253,0.4385277995301488,0.7580266249021144,2021
2021-07-29,13.0,30.69924349104362,0.0,18.25,37.25,5191.0,5202.25,15:14:59.966541,0.30201342281879195,0.348993288590604,0.4899328859060403,2021
2021-07-30,21.25,47.375582323889745,1.0,14.5,33.75,5205.25,5183.5,15:14:59.784081,0.6444444444444445,0.6296296296296297,0.42962962962962964,2021
2021-08-02,12.5,43.98953317695828,0.0,32.5,27.0625,5194.25,5207.5,15:14:59.931414,0.4896073903002309,0.4618937644341801,1.2009237875288683,2021
2021-08-03,25.75,57.52632149801215,0.0,43.0,28.1875,5183.0,5188.0,15:14:59.531381,0.17738359201773837,0.9135254988913526,1.5254988913525498,2021
2021-08-04,11.5,45.407580416391255,0.0,15.5,31.9375,5209.0,5201.25,15:14:59.515151,0.24266144814090018,0.36007827788649704,0.48532289628180036,2021
2021-08-05,10.75,20.81597343992738,0.0,15.0,29.59375,5195.75,5205.5,15:14:59.555751,0.32946145723336856,0.3632523759239704,0.5068637803590285,2021
2021-08-06,11.5,33.998305720051086,0.0,10.25,29.8125,5219.75,5224.5,15:14:59.649504,0.15932914046121593,0.3857442348008386,0.3438155136268344,2021
2021-08-09,15.25,31.739479508693215,0.0,11.25,26.34375,5229.75,5228.0,15:14:59.525613,0.066429418742586,0.5788849347568209,0.42704626334519574,2021
2021-08-10,12.25,27.562866612828305,0.0,14.75,24.46875,5225.75,5229.25,15:14:59.992179,0.14303959131545338,0.5006385696040868,0.6028097062579821,2021
2021-08-11,6.5,27.202512196512394,0.0,11.5,23.96875,5227.0,5241.25,15:14:59.871007,0.5945241199478487,0.2711864406779661,0.47979139504563234,2021
2021-08-12,8.5,29.95207605780802,0.0,19.25,22.6875,5239.5,5234.5,15:14:59.021698,0.22038567493112948,0.3746556473829201,0.8484848484848485,2021
2021-08-13,7.75,23.845530718283346,0.0,7.5,21.34375,5253.25,5259.0,15:14:59.498478,0.26939970717423134,0.363103953147877,0.3513909224011713,2021
2021-08-16,18.25,55.4062852767413,0.0,44.0,16.0,5261.0,5248.75,15:14:58.568932,0.765625,1.140625,2.75,2021
2021-08-17,15.75,67.45216932900412,3.0,41.75,19.375,5273.5,5245.25,15:14:59.924624,1.4580645161290322,0.8129032258064516,2.1548387096774193,2021
2021-08-18,19.5,39.03746122038658,0.0,57.75,22.0,5237.75,5232.5,15:14:59.906157,0.23863636363636365,0.8863636363636364,2.625,2021
2021-08-19,39.0,77.85743145707026,8.0,37.0,27.9375,5194.0,5165.25,15:14:59.198215,1.029082774049217,1.395973154362416,1.3243847874720358,2021
2021-08-20,33.0,57.97606015825174,2.0,17.5,32.3125,5203.75,5205.0,15:14:59.935961,0.03868471953578337,1.0212765957446808,0.5415860735009671,2021
2021-08-23,21.25,36.47440342978502,1.0,15.25,35.375,5233.75,5254.5,15:14:59.527213,0.5865724381625441,0.6007067137809188,0.43109540636042404,2021
2021-08-24,9.5,32.079391629974126,0.0,9.25,37.75,5278.25,5282.25,15:14:58.567061,0.10596026490066225,0.25165562913907286,0.24503311258278146,2021
2021-08-25,7.75,22.048020152894356,0.0,14.0,35.875,5281.0,5284.5,15:14:59.173086,0.0975609756097561,0.21602787456445993,0.3902439024390244,2021
2021-08-26,22.75,48.58414597501831,5.0,19.25,36.90625,5292.75,5289.0,15:14:59.803658,0.10160880609652836,0.6164267569856055,0.5215918712955123,2021
2021-08-27,28.5,67.30848013403688,7.0,17.75,34.78125,5267.25,5274.0,15:14:59.810178,0.1940700808625337,0.8194070080862533,0.5103324348607368,2021
2021-08-30,14.75,31.464477232106766,0.0,10.5,34.09375,5303.75,5312.75,15:14:59.934710,0.26397800183318054,0.43263061411549036,0.307974335472044,2021
2021-08-31,13.5,52.66184732311901,1.0,13.0,29.71875,5326.5,5324.5,15:14:59.139202,0.06729758149316509,0.45425867507886436,0.4374342797055731,2021
2021-09-01,8.75,43.78004552840582,1.0,15.75,25.4375,5325.75,5329.0,15:14:58.519469,0.12776412776412777,0.343980343980344,0.6191646191646192,2021
