slice,grp,n,P_rev
ALL,climax,2379,0.368
ALL,control,9147,0.332
highs,climax,960,0.355
highs,control,4997,0.323
lows,climax,1419,0.376
lows,control,4150,0.342
2021,climax,228,0.452
2021,control,418,0.349
2022,climax,640,0.334
2022,control,2119,0.316
2023,climax,387,0.377
2023,control,1718,0.329
2024,climax,413,0.361
2024,control,1611,0.337
2025,climax,487,0.372
2025,control,1943,0.338
2026,climax,224,0.366
2026,control,1338,0.339
last250d,climax,357,0.37
last250d,control,1899,0.339
