date,year,short,risk,risk_adr,tpct_max,hour,first,with_trend,near_pdhl,gap_day,prior_expand,RR2,RR3,RR2_BE1,RR3_BE1
2021-09-30,2021,False,6.75,0.13714285714285715,96.55172413793103,3,False,False,False,False,False,2,2,3,3
2021-09-30,2021,False,1.75,0.035555555555555556,97.0893970893971,6,False,False,False,False,True,1,1,1,1
2021-09-30,2021,False,2.0,0.040634920634920635,99.0,6,False,False,False,False,True,2,2,2,2
2021-09-30,2021,True,1.5,0.030476190476190476,99.0,6,False,False,False,False,False,1,1,1,1
2021-10-01,2021,True,3.5,0.07079646017699115,99.0,0,True,False,True,False,False,1,1,1,1
2021-10-01,2021,True,3.75,0.07585335018963338,99.0,0,False,False,False,False,False,1,1,1,1
2021-10-01,2021,False,4.0,0.08091024020227561,96.79144385026738,0,False,False,True,False,False,1,1,1,1
2021-10-01,2021,True,2.75,0.05562579013906448,98.97260273972603,1,False,False,False,False,False,1,1,1,1
2021-10-04,2021,False,3.25,0.060324825986078884,98.9159891598916,1,True,False,False,False,True,1,1,1,1
2021-10-04,2021,False,6.0,0.11136890951276102,99.0,1,False,False,False,False,False,1,1,3,3
2021-10-04,2021,False,1.25,0.02320185614849188,99.0,1,False,False,True,False,False,1,1,1,1
2021-10-04,2021,False,5.75,0.10672853828306264,98.10126582278481,1,False,False,True,False,False,2,1,2,3
2021-10-04,2021,True,4.5,0.08352668213457076,98.11320754716981,2,False,False,False,False,False,2,2,2,2
2021-10-05,2021,False,5.75,0.10043668122270742,95.84199584199584,0,True,,False,False,False,1,1,1,1
2021-10-06,2021,True,4.75,0.08163265306122448,97.10144927536231,0,True,False,False,True,False,1,1,1,1
2021-10-06,2021,False,4.0,0.06874328678839957,97.30941704035874,4,False,False,False,True,False,2,2,2,2
2021-10-22,2021,False,3.0,0.09177820267686425,99.0,1,True,False,False,False,False,1,1,3,3
2021-10-27,2021,False,1.5,0.050473186119873815,98.8,5,True,False,False,False,False,2,2,2,2
2021-11-03,2021,True,7.5,0.242914979757085,99.0,4,True,False,True,False,False,1,1,1,1
2021-11-05,2021,False,4.0,0.1334723670490094,98.11320754716981,3,True,False,True,True,True,2,2,3,3
2021-11-09,2021,False,3.75,0.1275239107332625,99.0,0,True,False,False,False,False,1,1,3,3
2021-11-09,2021,False,4.5,0.153028692879915,98.33679833679834,0,False,False,False,False,True,2,2,3,3
2021-11-10,2021,False,1.75,0.057318321392016376,97.8902953586498,3,True,False,False,True,False,2,2,2,2
