group,n,win%,PF,tot_pts,$/trade
"Basic, 21-24",1234,33.7,1.0,7.8,0.3
"Basic, 25-26",714,36.6,1.21,442.0,31.0
"SAR, 21-24",483,37.5,1.02,25.2,2.6
"SAR, 25-26",317,40.4,1.39,324.0,51.1
"Basic hour-8, 21-24",151,25.8,0.58,-154.5,-51.2
"Basic beyondPD, 21-24",686,34.5,0.98,-29.2,-2.1
"Basic hour-8, 25-26",79,30.4,0.69,-76.0,-48.1
"Basic beyondPD, 25-26",429,34.0,1.0,6.2,0.7
"SAR hour-8, 21-24",57,38.6,1.06,6.5,5.7
"SAR beyondPD, 21-24",298,36.6,0.97,-17.8,-3.0
"SAR hour-8, 25-26",33,39.4,1.88,60.0,90.9
"SAR beyondPD, 25-26",199,39.7,1.32,168.8,42.4
