group,n,win%,PF,tot_pts,$/trade
Basic      IS 21-22,632,35.0,1.02,28.5,2.3
EB Reversal IS 21-22,266,38.7,1.09,57.0,10.7
scratched  IS 21-22,119,16.8,0.06,-210.0,-88.2
Basic      OOS 23-26,1316,34.7,1.13,421.2,16.0
EB Reversal OOS 23-26,534,38.6,1.23,292.2,27.4
scratched  OOS 23-26,238,13.0,0.06,-423.8,-89.0
Basic      full,1948,34.8,1.09,449.8,11.5
EB Reversal full,800,38.6,1.18,349.2,21.8
scratched  full,357,14.3,0.06,-633.8,-88.8
