year,n,share_ge95,share_ge80,median_pct,median_tps
2021,15453,0.018,0.09,22.0,12.662
2022,55258,0.059,0.244,61.0,21.556
2023,42870,0.04,0.152,43.0,16.993
2024,40244,0.044,0.159,39.0,15.992
2025,50236,0.101,0.298,60.0,21.383
2026,31436,0.066,0.213,51.0,19.113
