selecting_for,train,SAR_cum_pts,SAR_cum_PF,noSAR_cum_pts,noSAR_cum_PF,PF_gap
2023,21..2022,313.2,1.149,339.5,1.176,-0.027
2024,21..2023,429.2,1.16,568.2,1.231,-0.071
2025,21..2024,313.8,1.084,488.8,1.144,-0.06
2026,21..2025,855.0,1.148,611.5,1.114,0.034
