group,n,win%,PF,tot_pts,$/trade
2021,250,34.0,0.91,-46.8,-9.4
2022,648,36.9,1.08,132.2,10.2
2023,339,35.7,1.2,116.0,17.1
2024,480,31.7,0.85,-168.5,-17.6
2025,742,36.9,1.25,530.5,35.7
2026,289,39.8,1.28,235.5,40.7
ALL,2748,35.9,1.12,799.0,14.5
