group,n,win%,PF,tot_pts,$/trade
"shallow (<0.03 ABR), 21-24",573,34.0,0.94,-80.0,-7.0
"middle, 21-24",572,34.8,0.97,-38.0,-3.3
"deep (>0.30 ABR), 21-24",572,35.5,1.13,151.0,13.2
"shallow (<0.03 ABR), 25-26",340,38.5,1.31,308.8,45.4
"middle, 25-26",353,36.3,1.16,164.0,23.2
"deep (>0.30 ABR), 25-26",338,38.5,1.32,293.2,43.4
