metric,bucket,n,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
tempo,9,7167,4.023082,4.85925,5.354327,5.746765,6.034461,6.320792,6.561334,6.780076,6.997756,7.177748,7.382433,7.563289,7.771912,7.919902,8.069641,8.22959,8.399288,8.566594,8.74992,8.916422,9.074538,9.234885,9.393928,9.520084,9.684233,9.816704,9.980309,10.105976,10.245168,10.395949,10.584012,10.724627,10.869059,11.031079,11.192288,11.325814,11.461339,11.619473,11.756302,11.925894,12.091308,12.285813,12.456533,12.6068,12.760593,12.951052,13.134277,13.302983,13.466481,13.64026,13.818471,14.026826,14.244473,14.439709,14.674807,14.880917,15.03416,15.256678,15.498974,15.681756,15.896362,16.123469,16.349277,16.602149,16.826845,17.141599,17.424626,17.70311,17.989869,18.320446,18.622829,18.939516,19.326337,19.641785,20.047155,20.469002,20.814298,21.22774,21.6971,22.136528,22.6605,23.17347,23.790647,24.249287,25.021498,25.785183,26.576487,27.54275,28.419638,29.526035,30.824178,32.14315,33.763088,35.601688,38.267957,41.717843,48.492734,56.890628,78.931505
tempo,10,6953,3.55948,4.288487,4.759772,5.118726,5.437323,5.727398,5.956601,6.201347,6.474276,6.667537,6.839412,7.00651,7.168822,7.367911,7.506035,7.664784,7.793846,7.941203,8.108923,8.257013,8.392412,8.553499,8.744253,8.88036,9.045001,9.175881,9.315091,9.446314,9.592213,9.758684,9.881747,10.027472,10.201167,10.346419,10.510058,10.670353,10.810721,10.947245,11.079548,11.219805,11.346225,11.529492,11.676519,11.839992,11.999394,12.202935,12.400171,12.550684,12.749502,12.921152,13.072955,13.253336,13.441331,13.598263,13.797446,13.977575,14.167618,14.37501,14.615007,14.83954,15.05392,15.331776,15.542623,15.756355,16.007032,16.270303,16.516726,16.798314,17.07242,17.433931,17.758266,18.045346,18.436926,18.780917,19.147939,19.501371,19.878445,20.195714,20.619594,21.043915,21.463462,21.929048,22.618606,23.291977,24.046087,24.978106,25.726964,26.606409,27.625893,28.736829,30.040687,31.307314,33.502264,35.912907,38.255001,41.525246,46.30724,53.919777,73.275318
tempo,11,6265,3.394655,3.999595,4.432119,4.850879,5.117372,5.377859,5.585995,5.826457,6.00646,6.179843,6.384291,6.531301,6.711094,6.875355,7.020432,7.187077,7.344474,7.490818,7.623883,7.775984,7.915856,8.069643,8.169442,8.282231,8.383304,8.521913,8.660574,8.793589,8.946795,9.091397,9.241768,9.387252,9.517517,9.666239,9.810572,9.940102,10.085216,10.236146,10.364266,10.502676,10.6707,10.862116,10.997788,11.14418,11.261243,11.426685,11.590308,11.728569,11.867591,12.006685,12.163649,12.373932,12.57937,12.781917,12.977426,13.172626,13.407384,13.579732,13.758447,13.952356,14.172143,14.422564,14.643901,14.865278,15.119317,15.364216,15.624915,15.905686,16.205462,16.480726,16.738211,17.061091,17.380727,17.646646,17.990572,18.37302,18.781399,19.108205,19.552028,20.112536,20.604322,21.17913,21.741805,22.3557,22.983038,23.762733,24.751869,25.522157,26.337446,27.530535,28.578142,30.134992,31.886537,33.750231,36.793299,40.106849,45.531789,55.499521,69.691141
tempo,12,6186,3.192313,3.886494,4.250483,4.532486,4.78351,5.081247,5.30223,5.504945,5.726008,5.892494,6.021575,6.175416,6.330691,6.490203,6.641173,6.758157,6.887001,7.001394,7.165651,7.317029,7.47481,7.600715,7.714479,7.845892,7.971172,8.072007,8.189376,8.310261,8.449598,8.613832,8.749866,8.888071,9.010269,9.175016,9.307427,9.449563,9.577764,9.721028,9.858135,10.028684,10.190285,10.332784,10.488699,10.672985,10.795017,10.930095,11.067383,11.238484,11.376148,11.55612,11.730342,11.942755,12.124385,12.31788,12.490494,12.690027,12.893204,13.113114,13.338135,13.539397,13.742617,13.98958,14.224121,14.442952,14.704359,14.951047,15.236375,15.484643,15.825061,16.147932,16.445698,16.723149,16.969722,17.396435,17.771101,18.224155,18.613301,19.044152,19.485568,19.978645,20.543005,21.140438,21.691271,22.355284,22.952936,23.746038,24.599099,25.60494,26.705804,27.902178,29.594914,31.696974,34.38504,37.401963,41.505996,47.862037,55.984,68.735419,97.269448
tempo,13,5928,3.345267,4.004906,4.42709,4.715061,4.996014,5.209593,5.395635,5.581152,5.73629,5.905418,6.075951,6.212487,6.362386,6.482872,6.644821,6.795266,6.905734,7.043747,7.195907,7.327899,7.458971,7.593327,7.729459,7.824918,7.935255,8.05674,8.169569,8.292421,8.448738,8.571472,8.686223,8.814879,8.953275,9.112766,9.252654,9.379003,9.491709,9.596885,9.748393,9.906803,10.036822,10.201535,10.348994,10.495319,10.649045,10.832237,10.985379,11.116555,11.299096,11.477547,11.648675,11.809689,11.916547,12.126586,12.299866,12.463182,12.634982,12.853479,13.073564,13.337158,13.537325,13.731794,13.959727,14.248854,14.446373,14.67808,14.919308,15.197448,15.491975,15.79903,16.127961,16.518742,16.832891,17.234926,17.656657,18.044982,18.437767,18.819924,19.316691,19.797901,20.38045,20.956254,21.639336,22.388448,23.145466,23.929013,24.61043,25.477759,26.514279,27.76689,29.035314,30.926312,32.762363,34.627459,37.099819,41.027676,45.691892,55.105808,67.867895
tempo,14,6395,3.317734,3.942367,4.312653,4.631563,4.869496,5.140598,5.338842,5.542293,5.741938,5.923164,6.105402,6.267556,6.439595,6.592544,6.737923,6.925301,7.075023,7.233917,7.347872,7.514057,7.667173,7.793173,7.926859,8.065732,8.222013,8.386004,8.521098,8.642344,8.797936,8.933652,9.08925,9.235298,9.425839,9.540104,9.626285,9.755766,9.924699,10.050954,10.200048,10.3261,10.504123,10.64478,10.796577,10.941017,11.107475,11.285108,11.490266,11.705519,11.90413,12.114536,12.315156,12.47283,12.679356,12.868939,13.05702,13.282235,13.47588,13.717466,13.944778,14.137193,14.432668,14.70486,14.961883,15.194438,15.455576,15.799965,16.078661,16.346418,16.681877,16.967584,17.368745,17.762036,18.182285,18.601174,18.992937,19.49834,19.889636,20.442073,21.015941,21.50003,22.140167,22.720594,23.494614,24.250744,25.080358,25.935454,26.859896,28.045405,29.113988,30.387789,31.832387,33.492299,35.567424,37.518461,40.718438,45.063399,50.454918,59.036074,78.304133
tempo,15,5898,3.263334,3.940945,4.307418,4.627171,4.894951,5.138676,5.326666,5.480836,5.637768,5.794173,5.967192,6.130282,6.293653,6.411818,6.539838,6.656133,6.775749,6.958602,7.065166,7.208548,7.340646,7.459606,7.574561,7.700387,7.796798,7.913042,8.065174,8.192744,8.314472,8.416213,8.557291,8.671644,8.80465,8.958571,9.141431,9.293419,9.452665,9.617615,9.741779,9.90531,10.084958,10.216349,10.381913,10.554487,10.708263,10.89048,11.05309,11.19699,11.35589,11.552799,11.704659,11.929806,12.140411,12.305129,12.525363,12.730435,12.979292,13.204389,13.394949,13.653046,13.871723,14.115215,14.312532,14.527768,14.840436,15.173564,15.40319,15.654866,15.973202,16.296706,16.536417,16.874563,17.237427,17.531582,18.032604,18.400064,18.86621,19.306222,19.801199,20.327404,20.823014,21.591584,22.085197,22.738827,23.501259,24.368308,25.435759,26.783613,27.92673,29.417719,31.391367,33.531442,35.783497,38.583961,42.434434,47.808425,56.702276,71.335496,133.137975
tempo,16,6020,3.030178,3.682469,4.139523,4.37283,4.597084,4.826781,5.029154,5.245065,5.449926,5.574794,5.723973,5.875579,6.0355,6.171392,6.30496,6.445367,6.596561,6.750318,6.917145,7.058808,7.179008,7.311559,7.447081,7.593932,7.734643,7.859006,8.000029,8.106561,8.239092,8.343128,8.48302,8.631701,8.803136,8.933231,9.103102,9.256698,9.417533,9.57856,9.736837,9.875639,10.03878,10.204486,10.381852,10.544232,10.710993,10.885821,11.025968,11.187037,11.412432,11.593771,11.750616,11.932799,12.138461,12.32682,12.536119,12.752219,12.953701,13.147049,13.322508,13.540393,13.778331,13.968119,14.244375,14.50997,14.828102,15.151901,15.412018,15.752454,16.07498,16.390155,16.740653,17.028967,17.403819,17.880277,18.308199,18.733711,19.128743,19.671945,20.208028,20.800035,21.395369,22.034145,22.888079,23.794599,24.756556,25.86438,26.912733,28.391933,29.739537,31.28676,32.750845,35.343905,37.39623,39.376135,43.310404,49.19716,57.631474,71.587324,96.78123
tempo,17,5529,3.240468,3.841542,4.16864,4.425907,4.722518,4.970689,5.13376,5.313303,5.455965,5.617645,5.752506,5.943103,6.098709,6.221123,6.35159,6.464516,6.610352,6.745481,6.872294,7.001261,7.156272,7.280258,7.41784,7.517619,7.677151,7.813473,7.935241,8.051779,8.175186,8.296982,8.414334,8.524497,8.671574,8.820737,8.957018,9.09331,9.270259,9.380617,9.515451,9.65598,9.824591,9.974439,10.140758,10.270233,10.407105,10.569403,10.734105,10.895566,11.024594,11.198585,11.41817,11.623407,11.808447,11.969502,12.171385,12.34369,12.58096,12.790405,13.026321,13.227171,13.478287,13.704602,13.952111,14.272693,14.518444,14.779345,15.040636,15.307236,15.554031,15.913186,16.258256,16.585742,16.91002,17.272069,17.650569,17.939929,18.363404,18.883184,19.462107,20.006994,20.580845,21.068709,21.582609,22.073045,22.604759,23.539453,24.505921,25.430862,26.356575,27.357388,28.689939,30.317491,32.164694,34.137359,37.25838,39.876039,45.425122,56.991218,74.538299
tempo,18,7059,3.314466,3.957614,4.479277,4.849292,5.063814,5.308637,5.515867,5.76337,5.975143,6.192923,6.384839,6.58309,6.829872,6.998302,7.145448,7.334789,7.487421,7.694238,7.852983,8.008513,8.175822,8.342949,8.507246,8.708792,8.853068,9.010319,9.166422,9.312926,9.491502,9.672837,9.852915,10.027483,10.205974,10.352323,10.510385,10.674754,10.887794,11.07251,11.251827,11.431506,11.625619,11.792913,11.969736,12.198559,12.435941,12.620254,12.821059,13.027261,13.26921,13.524678,13.785368,14.085198,14.404857,14.685708,14.991918,15.242626,15.538285,15.881515,16.222436,16.542936,16.933786,17.276212,17.668183,18.003741,18.412781,18.941266,19.418069,19.921348,20.465355,21.016639,21.509503,21.996887,22.552756,23.27185,24.072037,24.727527,25.898,26.746201,27.786839,28.845911,30.038954,31.132588,32.313421,33.942279,35.406456,36.935971,39.033742,41.581346,43.815076,46.321532,48.948234,52.577139,56.528209,61.519708,67.166699,75.061926,84.016579,97.029894,125.355829
