group,n,win%,PF,tot_pts,$/trade
"above IB-high, 21-24",278,36.7,1.06,37.2,6.7
"inside IB, 21-24",469,35.0,0.98,-20.0,-2.1
"below IB-low, 21-24",567,35.4,1.12,144.8,12.8
"above IB-high, 25-26",177,44.1,1.54,302.5,85.5
"inside IB, 25-26",211,37.9,1.37,227.5,53.9
"below IB-low, 25-26",404,36.1,1.07,72.2,8.9
