i,short,en,stop,rk,tg,date,tpct1,tpct2,tempo_ratio,amp1,amp2,amp_sum,dur1,dur2,dur_ratio,vol_ratio,ibs1,ibs2,range1,range2,box_pts,box_abr,overlap,sb_poke_abr,rt_depth_abr,net6_abr,net20_abr,fade_run20,eff10,t10,ncx20,prev_state,sess_net_abr,pos_in_day_range,dayrange_abr,gap_abr,new20,new60,newsess,beyond_pd,room_abr,dist_lvl_abr,session_min,hour_ct,dow,side,n_prior_day,prev_res_day,res,pnl,R,win,year,wedge_same,wedge_any
42,True,7089.5,7091.5,2.0,7085.5,2026-02-03,97.29729729729728,97.29729729729728,1.052984263621467,164.23841059602648,51.76470588235294,216.0031164783794,29.714056152,28.21889859,0.949681808691764,0.9434928483136148,0.967741935483871,0.3636363636363636,7.75,2.75,10.25,1.9294117647058824,0.064516129032258,0.4235294117647059,-1.3647058823529412,0.8470588235294118,-5.129411764705883,False,0.1398963730569948,88.36153846153846,4,0,-5.8352941176470585,0.2142857142857142,9.223529411764703,0.9411764705882352,False,False,False,False,6.91764705882353,0.188235294117647,34.06218467828333,9,1,short,0,none,target,4.0,2.0,True,2026,False,True
150,False,7045.75,7043.0,2.75,7051.25,2026-02-03,96.04989604989603,95.01039501039502,0.8989790334397869,108.10810810810813,83.11688311688312,191.22499122499124,26.273664702,29.226115098,1.1123729951450303,0.9612212668889278,0.05,0.625,5.0,4.0,6.5,1.3506493506493509,0.55,0.2597402597402597,-0.5714285714285714,-2.961038961038961,-4.051948051948052,True,0.358695652173913,71.52557172557172,2,0,-15.532467532467532,0.0294985250737463,17.61038961038961,1.0389610389610389,True,True,True,True,1.4545454545454546,1.4545454545454546,162.78311811661666,11,1,long,1,target,target,5.5,2.0,True,2026,False,False
63,False,7051.25,7041.0,10.25,7071.75,2026-02-04,95.01039501039502,98.33679833679834,1.238041798017753,98.76543209876544,220.35928143712576,319.1247135358912,31.563758388,25.494905292,0.8077271717329051,0.9655623365300784,0.35,0.8695652173913043,5.0,11.5,11.75,2.251497005988024,1.0,0.0479041916167664,0.9101796407185628,1.916167664670659,3.688622754491018,False,0.2982456140350877,92.49480249480249,6,1,-1.7245508982035929,0.5920398009950248,9.62874251497006,1.437125748502994,False,False,False,False,0.2874251497005988,0.2874251497005988,41.19951058675,9,2,long,0,none,stop,-10.25,-1.0,False,2026,False,False
81,True,7055.75,7060.25,4.5,7046.75,2026-02-04,95.42619542619542,99.0,1.352918322528536,154.95495495495496,78.29787234042553,233.25282729538048,39.933356314,29.516457608,0.7391429204174356,1.115358361774744,1.0,0.2608695652173913,10.75,5.75,16.5,2.246808510638298,0.0232558139534883,0.7489361702127659,-1.1914893617021276,1.668085106382979,1.2595744680851064,True,0.1388888888888889,90.37817047817047,5,2,-0.6127659574468085,0.681592039800995,6.842553191489362,1.0212765957446808,True,False,False,False,0.2723404255319149,0.2723404255319149,53.45079048665,9,2,short,1,stop,eb_scr,-2.75,-0.6111111111111112,False,2026,False,False
101,True,7048.5,7057.75,9.25,7030.0,2026-02-04,97.92099792099792,98.12889812889811,1.0725401338877243,166.5158371040724,119.50207468879668,286.0179117928691,21.413350134,19.96508052,0.9323660424484236,0.9669838803651194,0.7608695652173914,0.0,11.5,9.0,16.75,2.224066390041494,0.3478260869565217,0.6639004149377593,-0.8630705394190872,1.8589211618257264,-0.9626556016597512,False,0.0132013201320132,86.25779625779626,3,0,-1.5601659751037344,0.5373134328358209,6.672199170124482,0.995850622406639,False,False,False,False,6.804979253112033,0.5643153526970954,69.04137401391667,9,2,short,2,eb_scr,stop,-9.25,-1.0,False,2026,False,False
191,False,6995.0,6990.25,4.75,7004.5,2026-02-04,99.0,99.0,0.8604984856711357,237.36263736263737,83.80952380952381,321.1721611721612,5.399829368,6.275234016,1.1621170945118648,0.8146348645465253,0.0555555555555555,0.8181818181818182,13.5,5.5,18.0,2.742857142857143,0.0925925925925925,0.6476190476190476,-2.019047619047619,-3.009523809523809,-3.809523809523809,True,0.3798449612403101,65.1014553014553,0,6,-9.942857142857145,0.0553846153846153,12.38095238095238,1.1428571428571428,True,True,True,True,0.3428571428571428,0.3428571428571428,177.08129684588332,11,2,long,3,stop,rev,-1.0,-0.2105263157894736,False,2026,False,False
192,True,6994.0,6996.25,2.25,6989.5,2026-02-04,99.0,99.0,0.3430006673563481,83.80952380952381,45.283018867924525,129.09254267744834,6.275234016,18.295107308,2.915446222619405,1.0851256099765043,0.8181818181818182,0.4166666666666667,5.5,3.0,5.75,0.8679245283018868,0.5454545454545454,-0.0377358490566037,0.2641509433962264,-3.018867924528302,-4.150943396226415,False,0.4795081967213114,69.36735966735966,1,0,-10.0,0.043076923076923,12.264150943396226,1.1320754716981132,False,False,False,True,,0.490566037735849,177.18588435051666,11,2,short,4,rev,stop,-2.25,-1.0,False,2026,False,False
193,False,6998.0,6990.25,7.75,7013.5,2026-02-04,99.0,96.67359667359668,0.681543096382134,45.283018867924525,125.6544502617801,170.93746912970462,18.295107308,26.843654356,1.4672586448433638,1.0294803464357096,0.4166666666666667,1.0,3.0,7.5,7.75,1.2984293193717278,1.0,0.3769633507853403,0.5026178010471204,-2.094240837696335,-3.895287958115184,True,0.3937007874015748,72.17401247401247,2,0,-10.429319371727749,0.0923076923076923,13.612565445026178,1.256544502617801,False,False,False,False,9.172774869109949,0.1256544502617801,177.49133118021666,11,2,long,5,stop,rev,0.0,0.0,False,2026,False,False
194,True,6998.0,7003.25,5.25,6987.5,2026-02-04,96.67359667359668,95.21829521829522,0.8678931585976989,125.6544502617801,98.03921568627452,223.69366594805464,26.843654356,30.929676182,1.1522155579792253,0.9741142209998382,1.0,0.2,7.5,6.25,12.75,2.0000000000000004,0.1666666666666666,0.7843137254901962,-0.5882352941176472,-2.11764705882353,-3.686274509803922,False,0.3170731707317073,75.87463617463618,3,0,-9.764705882352942,0.0923076923076923,12.745098039215687,1.1764705882352944,False,False,False,False,0.1176470588235294,0.1176470588235294,177.94050479768333,11,2,short,6,rev,stop,-5.25,-1.0,False,2026,True,True
269,True,6992.75,7004.5,11.75,6969.25,2026-02-04,97.92099792099792,98.75259875259876,1.147013469996962,127.65957446808513,209.62566844919783,337.28524291728297,40.004264466,34.876891608,0.8718293430352205,0.9995553579368608,0.7333333333333333,0.2040816326530612,7.5,12.25,14.25,2.4385026737967914,0.7666666666666667,-0.2994652406417112,1.497326203208556,-1.925133689839572,0.1711229946524064,True,0.048689138576779,83.67983367983368,0,2,-11.550802139037431,0.1959287531806615,16.81283422459893,1.2834224598930482,False,False,False,True,,0.7700534759358288,274.79698373575,13,2,short,7,stop,rev,-0.75,-0.0638297872340425,False,2026,False,False
270,False,6993.5,6990.0,3.5,7000.5,2026-02-04,98.75259875259876,99.0,1.1281985407008237,209.62566844919783,65.38461538461539,275.0102838338132,34.876891608,30.913788974,0.886368811804004,1.2938167259786475,0.2040816326530612,0.5882352941176471,12.25,4.25,12.5,1.9230769230769231,0.3469387755102041,-0.1153846153846153,-1.3461538461538465,-1.3461538461538465,0.0384615384615384,False,0.1106719367588932,86.03305613305614,1,0,-10.26923076923077,0.2035623409669211,15.115384615384617,1.1538461538461535,False,False,False,True,0.5769230769230769,0.5769230769230769,275.37893207198334,13,2,long,8,rev,eb_scr,-0.25,-0.0714285714285714,False,2026,False,False
299,True,7031.0,7039.25,8.25,7014.5,2026-02-04,96.25779625779626,95.84199584199584,0.9469851148402756,106.42201834862384,113.30472103004293,219.7267393786668,33.350631086,35.217693038,1.0559828072573942,1.0782510790016888,0.6896551724137931,0.2121212121212121,7.25,8.25,10.0,1.3733905579399142,0.7931034482758621,-0.2060085836909871,1.0300429184549356,1.201716738197425,3.776824034334764,True,0.2,74.93118503118504,2,0,-4.017167381974249,0.5852417302798982,13.493562231759658,1.0300429184549356,False,False,False,False,4.635193133047211,2.9871244635193133,318.92221698785,13,2,short,9,eb_scr,stop,-8.25,-1.0,False,2026,False,False
1,False,6955.5,6951.25,4.25,6964.0,2026-02-05,98.75259875259876,97.71309771309772,0.8841742243787475,67.86632390745501,43.34975369458128,111.2160776020363,17.371347676,19.646973636,1.1309988149706989,1.0714729645742698,0.0,0.7272727272727273,8.25,5.5,9.75,0.7684729064039408,0.5151515151515151,0.0985221674876847,-0.1970443349753694,,,False,,,0,-1,-0.7093596059113301,0.4210526315789473,0.7487684729064039,-5.497536945812808,False,False,False,True,1.41871921182266,1.41871921182266,0.4144278205833333,8,3,long,0,none,rev,0.5,0.1176470588235294,True,2026,False,False
3,True,6956.0,6960.25,4.25,6947.5,2026-02-05,97.5051975051975,96.67359667359668,0.9392699489892472,41.68734491315136,52.747252747252745,94.43459766040412,19.909026984,21.19627803,1.064656652835646,0.8628048780487805,0.6666666666666666,0.3333333333333333,5.25,6.0,6.5,0.5714285714285714,0.9523809523809524,0.0879120879120879,-0.0439560439560439,,,False,,,2,0,-0.7472527472527473,0.4736842105263157,0.8351648351648352,-6.131868131868132,False,False,False,True,,1.5384615384615383,1.0737470002833334,8,3,short,1,rev,target,8.5,2.0,True,2026,False,False
6,False,6950.75,6942.25,8.5,6967.75,2026-02-05,96.46569646569648,97.5051975051975,1.0858560749908113,72.98245614035088,127.62645914396887,200.60891528431972,21.360077018,19.671186182,0.9209323620613924,0.9728215767634856,0.0769230769230769,0.8048780487804879,6.5,10.25,10.5,1.3073929961089494,1.0,0.2801556420233463,0.1867704280155642,-0.2490272373540856,,False,,,5,0,-1.7120622568093384,0.4459459459459459,2.303501945525292,-8.684824902723735,True,True,True,True,2.832684824902724,2.832684824902724,2.1972526453833336,8,3,long,2,target,target,17.0,2.0,True,2026,True,True
14,True,6966.75,6969.75,3.0,6960.75,2026-02-05,98.54469854469856,95.42619542619542,0.8195844795769373,65.3061224489796,53.55648535564853,118.86260780462813,17.821448248,21.744492108,1.2201304745499717,1.0823016964695094,0.6,0.375,5.0,4.0,5.25,0.702928870292887,0.8,-0.0334728033472803,-0.2343096234309623,2.2426778242677825,,False,0.2491103202846975,95.2182952182952,8,2,0.301255230125523,0.8981481481481481,3.615062761506276,-9.338912133891212,True,True,True,True,,0.9037656903765692,5.315805679983333,8,3,short,3,target,target,6.0,2.0,True,2026,False,False
58,True,6961.0,6969.75,8.75,6943.5,2026-02-05,99.0,99.0,2.264838367060163,136.68341708542712,143.1578947368421,279.84131182226923,19.925965776,8.797963716,0.4415326120150614,0.8728246318607764,0.8823529411764706,0.0,8.5,8.5,13.25,2.231578947368421,0.4705882352941176,0.7578947368421053,-0.1263157894736842,-0.2526315789473684,-3.705263157894737,False,0.1685393258426966,93.2927234927235,5,6,-0.5894736842105263,0.371859296482412,8.378947368421052,-11.74736842105263,False,False,False,True,,2.1052631578947367,30.03709093065,9,3,short,4,target,target,17.5,2.0,True,2026,False,False
86,False,6926.25,6921.25,5.0,6936.25,2026-02-05,96.67359667359668,96.88149688149689,0.7315441051924584,57.83132530120482,111.39240506329114,169.22373036449596,26.546615778,36.288469266,1.3669715782029503,0.9325660852364682,0.25,0.8181818181818182,3.0,5.5,6.0,1.2151898734177216,0.9166666666666666,-0.050632911392405,0.5063291139240507,-1.5696202531645569,-4.405063291139241,True,0.3,87.4012474012474,2,1,-7.746835443037975,0.0671378091872791,14.329113924050631,-14.126582278481012,True,True,True,True,9.569620253164556,9.569620253164556,45.37911751705,9,3,long,5,target,target,10.0,2.0,True,2026,False,False
107,True,6920.5,6928.75,8.25,6904.0,2026-02-05,98.54469854469856,99.0,1.0705313827323897,127.58620689655172,111.30434782608695,238.89055472263868,31.41847884,29.348489308,0.9341155393759988,1.0764488286066585,0.8918918918918919,0.0,9.25,8.0,12.5,1.7391304347826086,0.5405405405405406,0.417391304347826,-0.5217391304347826,-1.9478260869565216,-2.226086956521739,False,0.1362126245847176,92.72744282744284,11,6,-6.121739130434783,0.0590163934426229,10.608695652173912,-9.704347826086956,False,False,False,True,,7.373913043478261,58.39625104581667,9,3,short,6,target,stop,-8.25,-1.0,False,2026,False,False
