tier,n,win%,PF,$/tr,tot_$
#3 low-vol (best?),1205,31.5,1.04,3.0,3662.0
#2 mid,304,29.3,0.86,-14.4,-4388.0
#1 high-vol (terminal?),6,33.3,1.12,45.8,275.0
