date,level,side,grp,label,szpct,session_min
2021-06-30,PDL,-1,PLAIN,reject,9.97920997920998,26.699064289149998
2021-06-30,PDH,1,PLAIN,reject,78.37837837837837,71.36538764821667
2021-06-30,PDH,1,PLAIN,break,68.3991683991684,378.0184043645833
2021-06-30,PDH,-1,DRIVE,break,99.0,389.9810493117833
2021-07-06,PDL,-1,DRIVE,reject,42.41164241164241,61.536168803883335
2021-07-06,PDL,1,DRIVE,reject,76.71517671517671,118.05426175334999
2021-07-07,PDH,1,PLAIN,reject,6.029106029106029,19.86236121045
2021-07-07,PDH,-1,PLAIN,unresolved,85.03118503118503,385.15761715845
2021-07-12,PDH,1,PLAIN,break,26.611226611226613,18.337326268216668
2021-07-12,PDH,-1,PLAIN,reject,52.80665280665281,122.16466309081667
2021-07-13,PDH,1,PLAIN,break,51.767151767151766,43.889268055916666
2021-07-13,PDH,-1,PLAIN,break,67.77546777546777,114.73326326001667
2021-07-14,PDL,-1,DRIVE,break,80.66528066528066,128.23556494315
2021-07-15,PDL,-1,PLAIN,break,2.9106029106029108,11.119415780516666
2021-07-15,PDL,1,DRIVE,break,7.484407484407485,15.75237290425
2021-07-15,PDL,-1,PLAIN,break,28.066528066528065,59.54903409495
2021-07-15,PDL,1,PLAIN,break,70.06237006237006,76.51758198041667
2021-07-15,PDL,-1,PLAIN,break,49.896049896049895,135.65101557225
2021-07-15,PDL,1,PLAIN,reject,43.24324324324324,147.92991856521667
2021-07-15,PDL,1,PLAIN,unresolved,76.2993762993763,361.67564012148335
2021-07-16,PDH,-1,PLAIN,break,74.63617463617463,23.587353211283336
2021-07-16,PDL,-1,DRIVE,reject,37.62993762993763,95.92304835358333
2021-07-16,PDL,-1,PLAIN,break,74.63617463617463,248.35002548235
2021-07-20,PDH,1,PLAIN,break,26.403326403326403,12.652249858416667
2021-07-22,PDH,-1,PLAIN,break,25.571725571725572,19.193963871016667
2021-07-22,PDH,1,PLAIN,break,13.513513513513514,27.30365573815
2021-07-22,PDH,-1,PLAIN,break,41.37214137214137,117.51188880501667
2021-07-22,PDH,1,PLAIN,reject,33.88773388773389,147.60228291538334
2021-07-22,PDH,-1,PLAIN,unresolved,53.014553014553016,360.73456507785
2021-07-26,PDH,1,PLAIN,break,70.27027027027027,101.25568317131666
2021-07-26,PDH,-1,PLAIN,unresolved,33.264033264033266,190.81526887028335
2021-07-26,PDH,1,PLAIN,break,51.351351351351354,279.19356243131665
2021-07-27,PDL,-1,PLAIN,break,44.28274428274428,13.261988966083333
2021-07-27,PDL,1,PLAIN,break,49.896049896049895,16.72131702195
2021-07-27,PDL,1,PLAIN,reject,41.58004158004158,60.40943312458333
2021-07-27,PDL,1,DRIVE,reject,92.51559251559252,390.00010829495
2021-07-28,PDH,1,PLAIN,reject,95.42619542619542,60.087179115316665
2021-07-28,PDH,1,DRIVE,reject,53.63825363825364,310.38920075605
2021-07-28,PDH,-1,PLAIN,break,21.413721413721415,357.77790181875
2021-07-29,PDH,1,PLAIN,break,40.12474012474012,17.03838823905
2021-07-29,PDH,-1,PLAIN,reject,46.36174636174636,30.746604623083332
2021-07-29,PDH,-1,ABSORB,unresolved,99.0,389.8958353840167
2021-07-30,PDL,1,PLAIN,reject,76.2993762993763,21.91790376208333
2021-08-02,PDH,-1,PLAIN,break,1.6632016632016633,19.41951506245
2021-08-02,PDH,1,PLAIN,break,45.945945945945944,72.78825973091666
2021-08-02,PDH,-1,PLAIN,break,38.25363825363825,93.87724877781667
2021-08-02,PDL,-1,PLAIN,break,89.81288981288981,359.13990819658335
2021-08-03,PDL,-1,PLAIN,break,14.137214137214137,18.25853559315
2021-08-03,PDL,1,PLAIN,break,61.95426195426195,48.15354316798334
2021-08-03,PDL,-1,PLAIN,reject,3.95010395010395,76.64859106601666
2021-08-03,PDL,1,PLAIN,break,53.63825363825364,106.16339848861666
2021-08-03,PDH,1,PLAIN,break,89.3970893970894,332.0584051450833
2021-08-05,PDH,1,PLAIN,break,22.66112266112266,27.854420876949998
2021-08-05,PDH,-1,PLAIN,reject,86.27858627858627,41.41779740061667
2021-08-06,PDH,-1,DRIVE,reject,40.74844074844075,20.613087607616666
2021-08-06,PDH,-1,PLAIN,reject,48.44074844074844,109.51592042965
2021-08-06,PDH,-1,PLAIN,reject,64.24116424116424,325.38928774401666
2021-08-09,PDL,1,PLAIN,break,13.097713097713097,27.53267508915
2021-08-09,PDH,1,PLAIN,reject,58.41995841995842,299.82395667745
2021-08-09,PDL,-1,PLAIN,reject,98.96049896049897,388.13479795225
2021-08-10,PDH,1,PLAIN,break,34.92723492723493,32.191713465216665
2021-08-10,PDH,-1,DRIVE,break,79.41787941787942,61.559806233416666
2021-08-10,PDH,1,PLAIN,break,51.767151767151766,109.81236250741668
2021-08-10,PDH,-1,PLAIN,break,81.91268191268192,255.30562159315002
2021-08-10,PDH,1,PLAIN,unresolved,96.88149688149689,389.91780543185
2021-08-11,PDH,-1,PLAIN,break,16.008316008316008,28.502719574683333
2021-08-11,PDH,1,PLAIN,break,88.56548856548856,202.35014565548332
2021-08-11,PDH,1,PLAIN,break,79.002079002079,387.0879141636833
2021-08-12,PDH,1,PLAIN,break,45.73804573804574,80.08372532665
2021-08-13,PDH,-1,PLAIN,reject,70.27027027027027,32.78071533325
2021-08-13,PDH,-1,PLAIN,reject,95.42619542619542,301.58947680925
2021-08-16,PDL,1,PLAIN,break,69.23076923076923,196.83748857151667
2021-08-16,PDH,1,PLAIN,break,79.83367983367984,269.9650972079167
2021-08-17,PDL,-1,DRIVE,break,55.3014553014553,142.92741971978333
2021-08-17,PDL,1,DRIVE,reject,39.5010395010395,181.52005927508333
2021-08-17,PDL,1,PLAIN,reject,41.16424116424116,274.51747805435
2021-08-17,PDL,-1,PLAIN,reject,35.55093555093555,367.48372304081664
2021-08-18,PDL,-1,DRIVE,reject,70.06237006237006,363.3970070182833
2021-08-19,PDL,1,DRIVE,reject,3.95010395010395,16.145538686316666
2021-08-19,PDL,-1,PLAIN,reject,30.977130977130976,44.98030820955
2021-08-19,PDL,1,DRIVE,break,81.70478170478171,83.77253812351667
2021-08-19,PDL,-1,PLAIN,reject,5.8212058212058215,116.84568103641666
2021-08-19,PDL,-1,DRIVE,break,12.058212058212058,268.39371841081663
2021-08-19,PDL,1,DRIVE,break,13.92931392931393,311.41835532475
2021-08-20,PDH,1,PLAIN,break,83.99168399168398,13.697273980316668
2021-08-24,PDH,1,PLAIN,unresolved,48.648648648648646,30.486570707183333
2021-08-24,PDH,-1,PLAIN,break,42.82744282744283,120.18119936248333
2021-08-24,PDH,1,PLAIN,unresolved,22.86902286902287,159.90324414835
2021-08-24,PDH,-1,PLAIN,break,94.38669438669439,386.3034577741166
2021-08-25,PDH,1,PLAIN,break,30.977130977130976,31.092586815216666
2021-08-25,PDH,-1,PLAIN,reject,74.63617463617463,302.59945800258333
2021-08-26,PDL,-1,PLAIN,break,86.9022869022869,52.615101154483334
2021-08-26,PDL,1,DRIVE,reject,4.781704781704781,64.67458066438333
2021-08-26,PDL,1,PLAIN,reject,83.99168399168398,102.89272985988333
2021-08-26,PDL,1,PLAIN,reject,31.185031185031185,205.80324890715002
2021-08-26,PDL,-1,PLAIN,break,43.24324324324324,233.90414596611666
2021-08-27,PDH,1,DRIVE,break,43.03534303534303,32.632815562716665
2021-08-27,PDH,-1,PLAIN,reject,51.975051975051976,57.000645958216666
2021-08-31,PDL,-1,PLAIN,reject,13.305613305613306,22.213174813549998
2021-09-01,PDH,1,PLAIN,reject,31.185031185031185,19.96805214025
2021-09-01,PDH,-1,PLAIN,break,24.532224532224532,23.160610235183334
2021-09-01,PDH,1,PLAIN,break,50.103950103950105,105.10665353018334
2021-09-01,PDH,-1,PLAIN,break,90.02079002079002,288.35327522768335
2021-09-02,PDH,-1,PLAIN,reject,17.463617463617464,24.69371786825
2021-09-02,PDH,1,PLAIN,break,73.38877338877339,96.24548049611667
2021-09-02,PDH,-1,PLAIN,break,39.5010395010395,161.12863501995
2021-09-02,PDH,1,PLAIN,break,82.53638253638253,384.8480511835167
2021-09-03,PDL,-1,PLAIN,break,4.98960498960499,9.63850733885
2021-09-03,PDL,1,PLAIN,break,65.9043659043659,24.476480707283333
2021-09-07,PDL,-1,PLAIN,break,65.48856548856548,13.731593834949999
2021-09-07,PDL,1,PLAIN,reject,13.721413721413722,63.67063959901667
2021-09-07,PDL,-1,PLAIN,break,78.58627858627858,129.31305010331667
2021-09-07,PDL,1,PLAIN,break,49.48024948024948,178.70588006555
2021-09-07,PDL,-1,PLAIN,reject,79.20997920997921,298.8637073788167
2021-09-08,PDL,1,PLAIN,break,2.9106029106029108,20.31508598965
2021-09-08,PDL,-1,PLAIN,break,18.503118503118504,52.92022757501666
2021-09-08,PDL,1,PLAIN,reject,58.21205821205821,165.19089357028332
2021-09-08,PDL,1,PLAIN,break,1.8711018711018712,277.81465449435
2021-09-08,PDL,-1,PLAIN,break,54.67775467775468,337.57386876618335
2021-09-09,PDL,-1,PLAIN,reject,1.0,246.87801397915
