config,period,n,PF,$/tr,maxDD_$,bas_n,bas_PF,bas_$,rev_n,rev_PF,rev_$,scr_n,scr_$
C CLOSE skipAll3,IS 21-06-18..22-12-31,480,0.99,-1.2,-6912.0,292,1.06,9.6,124,1.18,25.4,64,-101.8
C CLOSE skipAll3,OOS 23-01-01..26-09-10,917,1.04,6.1,-11062.0,550,1.14,21.7,242,1.19,29.0,125,-106.7
C CLOSE skipAll3,FULL 21-06-18..26-09-10,1397,1.02,3.6,-11062.0,842,1.11,17.5,366,1.19,27.8,189,-105.0
C SE1 skipOpen,IS 21-06-18..22-12-31,520,1.09,14.8,-6650.0,318,1.16,26.6,138,1.34,51.8,64,-123.6
C SE1 skipOpen,OOS 23-01-01..26-09-10,989,1.09,16.2,-12800.0,620,1.23,40.8,253,1.11,19.8,116,-122.7
C SE1 skipOpen,FULL 21-06-18..26-09-10,1509,1.09,15.7,-12800.0,938,1.21,36.0,391,1.18,31.1,180,-123.1
C SE1 skipLunch,IS 21-06-18..22-12-31,472,1.03,5.8,-9900.0,293,1.11,18.8,121,1.21,33.5,58,-117.9
C SE1 skipLunch,OOS 23-01-01..26-09-10,895,1.06,9.9,-10688.0,563,1.2,35.3,221,1.05,8.7,111,-116.3
C SE1 skipLunch,FULL 21-06-18..26-09-10,1367,1.05,8.5,-14588.0,856,1.17,29.7,342,1.1,17.4,169,-116.9
C SE1 skipEOD,IS 21-06-18..22-12-31,523,1.05,8.0,-11225.0,328,1.11,19.0,131,1.29,45.7,64,-125.2
C SE1 skipEOD,OOS 23-01-01..26-09-10,1014,1.09,16.0,-16538.0,643,1.2,37.6,249,1.17,30.5,122,-126.9
C SE1 skipEOD,FULL 21-06-18..26-09-10,1537,1.08,13.3,-20275.0,971,1.17,31.3,380,1.2,35.7,186,-126.3
C SE1 skipAll3,IS 21-06-18..22-12-31,360,1.08,13.0,-7212.0,230,1.15,25.5,90,1.24,41.8,40,-124.1
C SE1 skipAll3,OOS 23-01-01..26-09-10,678,0.99,-2.4,-15525.0,422,1.16,28.6,177,0.9,-19.1,79,-130.2
C SE1 skipAll3,FULL 21-06-18..26-09-10,1038,1.02,2.9,-15525.0,652,1.15,27.5,267,1.01,1.5,119,-128.2
