group,n,win%,PF,tot_pts,$/trade
"above VAH-Y, 21-24",407,35.1,1.0,-2.8,-0.3
"inside VA-Y, 21-24",393,34.4,0.94,-54.5,-6.9
"below VAL-Y, 21-24",917,34.8,1.05,90.2,4.9
"above VAH-Y, 25-26",229,39.7,1.16,113.0,24.7
"inside VA-Y, 25-26",225,41.3,1.9,539.5,119.9
"below VAL-Y, 25-26",577,35.5,1.07,113.5,9.8
"flip TOWARD POC-Y, 21-24",868,33.1,0.94,-116.0,-6.7
"flip AWAY from POC-Y, 21-24",849,36.5,1.08,149.0,8.8
"flip TOWARD POC-Y, 25-26",522,37.4,1.21,311.2,29.8
"flip AWAY from POC-Y, 25-26",509,38.1,1.32,454.8,44.7
