rule,2021,2022,2023,2024,2025,2026
IBS2,-24.0,364.0,229.0,-80.0,123.0,58.0
IBS2+SAR,-22.0,335.0,116.0,-116.0,541.0,210.0
COL1,37.0,156.0,228.0,-133.0,100.0,145.0
COL1+SAR,-51.0,278.0,147.0,-225.0,535.0,218.0
COL2,58.0,123.0,259.0,-106.0,43.0,68.0
COL2+SAR,16.0,372.0,131.0,-252.0,297.0,102.0
