config,period,n,PF,$/tr,maxDD_$,bas_n,bas_PF,bas_$,rev_n,rev_PF,rev_$,scr_n,scr_$
D CLOSE skipOpen ebOFF,IS 21-06-18..22-12-31,687,1.15,22.4,-5488.0,480,1.13,20.1,207,1.2,27.6,0,
D CLOSE skipOpen ebOFF,OOS 23-01-01..26-09-10,1309,1.13,21.2,-13788.0,924,1.13,22.1,385,1.12,19.0,0,
D CLOSE skipOpen ebOFF,FULL 21-06-18..26-09-10,1996,1.14,21.6,-13788.0,1404,1.13,21.4,592,1.14,22.0,0,
D CLOSE skipOpen eb0.35,IS 21-06-18..22-12-31,691,1.11,15.3,-5462.0,422,1.16,23.5,193,1.39,50.7,76,-120.1
D CLOSE skipOpen eb0.35,OOS 23-01-01..26-09-10,1311,1.14,21.6,-11188.0,824,1.25,38.9,346,1.23,35.6,141,-114.4
D CLOSE skipOpen eb0.35,FULL 21-06-18..26-09-10,2002,1.13,19.4,-11188.0,1246,1.22,33.7,539,1.28,41.0,217,-116.4
D SE1 skipOpen ebOFF,IS 21-06-18..22-12-31,519,1.12,19.8,-5138.0,368,1.08,13.4,151,1.22,35.3,0,
D SE1 skipOpen ebOFF,OOS 23-01-01..26-09-10,987,1.1,18.2,-11838.0,703,1.14,25.6,284,1.0,-0.1,0,
D SE1 skipOpen ebOFF,FULL 21-06-18..26-09-10,1506,1.1,18.7,-11838.0,1071,1.12,21.4,435,1.07,12.2,0,
D SE1 skipOpen eb0.35,IS 21-06-18..22-12-31,520,1.06,10.4,-8275.0,330,1.08,14.4,141,1.36,54.8,49,-144.6
D SE1 skipOpen eb0.35,OOS 23-01-01..26-09-10,989,1.08,14.7,-13962.0,639,1.2,35.9,257,1.09,15.8,93,-134.1
D SE1 skipOpen eb0.35,FULL 21-06-18..26-09-10,1509,1.08,13.2,-13962.0,969,1.16,28.5,398,1.17,29.6,142,-137.8
