year,n,avg_price,avg_risk_pts,win%,avgR,PF_R,$/trade,$/tr_fixedrisk
2021,250,5307.0,4.75,34.0,-0.011,0.98,-9.4,-3.2
2022,648,4874.0,5.91,36.9,0.0457,1.1,10.2,13.3
2023,339,4980.0,4.06,35.7,0.0669,1.15,17.1,19.5
2024,480,5877.0,5.08,31.7,-0.0494,0.9,-17.6,-14.4
2025,742,6369.0,6.93,36.9,0.0613,1.13,35.7,17.8
2026,289,7138.0,6.95,39.8,0.1637,1.38,40.7,47.6
ALL,2748,5743.0,5.82,35.9,0.0432,1.09,14.5,12.6
