period,variant,signals,fills,fill%,win%,PF,avg_risk_pts,tot_pts,$/trade,maxDD_$
21-22,CLOSE,,759,,37.2,1.06,6.25,128.8,8.5,-9000.0
21-22,SE_BOX,,517,,37.3,1.04,9.01,72.0,7.0,-6512.0
21-22,SE_SB,,611,,39.4,1.12,7.63,208.5,17.1,-5450.0
23-26,CLOSE,,1478,,35.7,1.17,6.86,716.2,24.2,-13925.0
23-26,SE_BOX,,965,,36.0,1.13,9.85,426.2,22.1,-11112.0
23-26,SE_SB,,1156,,38.3,1.24,8.34,850.0,36.8,-10600.0
full,CLOSE,2381.0,2237,94.0,36.2,1.13,6.65,845.0,18.9,-13925.0
full,SE_BOX,2381.0,1482,62.0,36.4,1.1,9.56,498.2,16.8,-11112.0
full,SE_SB,2381.0,1767,74.0,38.7,1.2,8.09,1058.5,30.0,-10600.0
