contrast,split,feature,mean_rev,mean_cont,cohens_d
1,discovery,tempo_mean,0.6402988006730073,0.5812641578437195,0.09610462514231613
1,discovery,tempo_accel,0.21329234243508446,0.2556903169899991,-0.08464855575183582
1,discovery,effdir_mean,0.2922307711364421,0.3114007312279656,-0.15377210014430484
1,discovery,effdir_slope,0.037573567188708856,0.03567123521196284,0.036421035905323834
1,discovery,leg_depth_adr,0.7302575181033244,0.7329088683067929,-0.08508126816670158
1,discovery,session_min,168.41071288328308,188.4502110670317,-0.17183192790079155
1,discovery,"P_rev|tempo_hi,eff_falling",0.36470588235294116,85.0,
1,discovery,"P_rev|tempo_hi,eff_rising",0.36486486486486486,74.0,
1,discovery,"P_rev|tempo_lo,eff_falling",0.35,80.0,
1,discovery,"P_rev|tempo_lo,eff_rising",0.34065934065934067,91.0,
1,validation,tempo_mean,0.8792682301378574,0.8047069496404048,0.10923769439660043
1,validation,tempo_accel,0.02052551393252287,0.2107461378361042,-0.2865860925422333
1,validation,effdir_mean,0.29693021726727664,0.3216328382334486,-0.20633802199518786
1,validation,effdir_slope,0.03195870854071145,0.03336193763005444,-0.02524041674959064
1,validation,leg_depth_adr,0.7502689198634401,0.730601164656599,0.18232495460111306
1,validation,session_min,178.50823356600554,128.14618686570384,0.4725755340127955
1,validation,"P_rev|tempo_hi,eff_falling",0.4583333333333333,48.0,
1,validation,"P_rev|tempo_hi,eff_rising",0.48717948717948717,39.0,
1,validation,"P_rev|tempo_lo,eff_falling",0.4444444444444444,18.0,
1,validation,"P_rev|tempo_lo,eff_rising",0.35714285714285715,14.0,
1,oos,tempo_mean,0.3262536127133836,0.6337263346236414,-0.45155136351248143
1,oos,tempo_accel,0.0831002070034125,0.2565144589451629,-0.19978663270328678
1,oos,effdir_mean,0.30938872755991736,0.34302186889243885,-0.24754539233938036
1,oos,effdir_slope,0.020792677414337102,0.03377729438365692,-0.27831006672323416
1,oos,leg_depth_adr,0.7450639104040261,0.7336600342413829,0.26444239934974517
1,oos,session_min,129.3638057516408,147.5810120460511,-0.15837265649951573
1,oos,"P_rev|tempo_hi,eff_falling",0.2,25.0,
1,oos,"P_rev|tempo_hi,eff_rising",0.3333333333333333,12.0,
1,oos,"P_rev|tempo_lo,eff_falling",0.7368421052631579,19.0,
1,oos,"P_rev|tempo_lo,eff_rising",0.2857142857142857,21.0,
2,discovery,pb_tempo,0.5180579849867378,0.4637823787401813,0.08881368981402397
2,discovery,tempo_ratio,0.014015467340517132,0.06810940431586306,-0.1365163110119236
2,discovery,pb_opp_eff,0.2325330865008319,0.264147643726216,-0.14786629828255896
2,discovery,size_ratio,0.40862378028146706,0.6918334668746701,-1.1484429488332222
2,discovery,pb_bars,6.482880755608028,12.718875502008032,-0.8271735623898261
2,validation,pb_tempo,0.8462416751399983,0.6394138682597602,0.27731735274963465
2,validation,tempo_ratio,0.1019859206783182,0.09076764088852252,0.025519914983896393
2,validation,pb_opp_eff,0.2444644983174634,0.2551956215296684,-0.04948430100418194
2,validation,size_ratio,0.4206265551284327,0.6850679730570133,-1.0965088699558216
2,validation,pb_bars,6.462908011869437,15.162162162162161,-1.001101295222711
2,oos,pb_tempo,0.47098378819569925,0.33734333700376806,0.2097517185685442
2,oos,tempo_ratio,0.14213212825591454,0.11634786416384313,0.044298668228995496
2,oos,pb_opp_eff,0.24271421346678415,0.3189691338002904,-0.39270002990408587
2,oos,size_ratio,0.41540763166546013,0.6243090366739524,-0.9928887722969004
2,oos,pb_bars,5.995098039215686,10.982142857142858,-0.7960395594808525
