group,n,win%,PF,tot_pts,$/trade
"SB tempo > p97.9, 21-24",858,37.1,1.04,81.5,4.7
"same, 25-26",477,38.6,1.18,248.5,26.0
"SB tempo below, 21-24",859,32.5,0.98,-48.5,-2.8
"same, 25-26",554,37.0,1.33,517.5,46.7
