rule,book,date,baseline_pnl,vix_prior,next_ret
loss<-1000_stand1d,ic,2024-11-18,122.0,16.14,0.4
loss<-1000_stand1d,ic,2024-12-19,222.0,27.62,1.09
loss<-1000_stand1d,ic,2024-12-23,292.0,18.36,1.1
loss<-1000_stand1d,ic,2024-12-30,344.0,15.95,-0.43
loss<-1000_stand1d,ic,2025-01-08,552.0,17.82,-1.54
loss<-1000_stand1d,ic,2025-02-24,552.0,18.21,-0.47
loss<-1000_stand1d,ic,2025-02-28,-2808.0,21.13,-1.76
loss<-1000_stand1d,ic,2025-03-04,-171.0,22.78,1.12
loss<-1000_stand1d,ic,2025-03-11,827.0,27.86,0.49
loss<-1000_stand1d,ic,2025-03-27,467.0,18.33,-1.97
loss<-1000_stand1d,ic,2025-03-31,-41.0,21.65,0.38
loss<-1000_stand1d,ic,2025-04-07,364.0,45.31,-1.57
loss<-1000_stand1d,ic,2025-04-09,-3250.0,52.33,-3.46
loss<-1000_stand1d,ic,2025-04-17,407.0,32.64,-2.36
loss<-1000_stand1d,ic,2025-04-22,-1116.0,33.82,1.67
loss<-1000_stand1d,ic,2025-04-25,592.0,26.47,0.06
loss<-1000_stand1d,ic,2025-08-25,72.0,14.22,0.41
loss<-1000_stand1d,ic,2025-10-13,-426.0,21.66,-0.16
loss<-1000_stand1d,ic,2025-10-23,122.0,18.6,0.79
loss<-1000_stand1d,ic,2025-11-14,19.0,20.0,-0.92
loss<-1000_stand1d,ic,2025-11-21,-486.0,26.42,1.55
loss<-1000_stand1d,ic,2025-12-15,422.0,15.74,-0.24
loss<-1000_stand1d,ic,2025-12-18,-381.0,17.62,0.88
loss<-1000_stand1d,ic,2026-01-22,372.0,16.9,0.03
loss<-1000_stand1d,ic,2026-01-30,407.0,16.88,0.54
loss<-1000_stand1d,ic,2026-02-04,467.0,18.0,-1.23
loss<-1000_stand1d,ic,2026-02-09,302.0,17.76,-0.33
loss<-1000_stand1d,ic,2026-02-13,597.0,20.82,0.1
loss<-1000_stand1d,ic,2026-03-23,-41.0,26.78,-0.37
loss<-1000_stand1d,ic,2026-04-01,182.0,25.25,0.11
loss<-1000_stand1d,ic,2026-04-20,162.0,17.48,-0.63
loss<-1000_stand1d,ic,2026-06-08,687.0,21.51,-0.26
loss<-1000_stand1d,ic,2026-06-10,-256.0,19.87,1.75
loss<-1000_stand1d,ic,2026-06-12,777.0,19.44,1.65
loss<-1000_stand1d,ic,2026-06-18,1292.0,18.44,-0.37
loss<-1000_stand1d,ic,2026-07-30,-481.0,20.66,0.7
loss<-1000_stand1d,ic,2026-08-04,-1785.0,15.86,-0.17
loss<-1000_stand1d,ic,2026-08-26,37.0,15.45,0.72
loss<-1000_stand2d,ic,2022-05-19,228.0,30.96,0.01
loss<-1000_stand2d,ic,2022-05-20,-1560.0,29.35,1.86
loss<-1000_stand2d,ic,2022-05-27,-1025.0,27.5,-0.63
loss<-1000_stand2d,ic,2022-05-31,1067.0,25.72,-0.75
loss<-1000_stand2d,ic,2022-06-03,-261.0,24.72,0.31
loss<-1000_stand2d,ic,2022-06-06,767.0,24.79,0.95
loss<-1000_stand2d,ic,2022-06-10,-525.0,26.09,-3.88
loss<-1000_stand2d,ic,2022-06-13,-765.0,27.75,-0.38
loss<-1000_stand2d,ic,2022-06-27,397.0,27.23,-2.01
loss<-1000_stand2d,ic,2022-06-28,-1815.0,26.95,-0.07
loss<-1000_stand2d,ic,2022-07-20,327.0,24.5,0.99
loss<-1000_stand2d,ic,2022-07-21,397.0,23.88,-0.93
loss<-1000_stand2d,ic,2022-07-28,372.0,23.24,1.42
loss<-1000_stand2d,ic,2022-07-29,-406.0,22.33,-0.28
loss<-1000_stand2d,ic,2022-09-08,672.0,24.64,1.53
loss<-1000_stand2d,ic,2022-09-09,-306.0,23.61,1.06
loss<-1000_stand2d,ic,2022-09-30,732.0,31.84,2.59
loss<-1000_stand2d,ic,2022-10-03,-1310.0,31.62,3.06
loss<-1000_stand2d,ic,2022-10-10,342.0,31.36,-0.65
loss<-1000_stand2d,ic,2022-10-11,302.0,32.45,-0.33
loss<-1000_stand2d,ic,2022-10-14,-1215.0,31.94,2.65
loss<-1000_stand2d,ic,2022-10-17,-191.0,32.02,1.14
loss<-1000_stand2d,ic,2022-10-24,472.0,29.69,1.63
loss<-1000_stand2d,ic,2022-10-25,392.0,29.85,-0.74
loss<-1000_stand2d,ic,2022-10-31,617.0,25.75,-0.41
loss<-1000_stand2d,ic,2022-11-01,687.0,25.88,-2.5
loss<-1000_stand2d,ic,2022-11-03,877.0,25.86,1.36
loss<-1000_stand2d,ic,2022-11-04,199.0,25.3,0.96
loss<-1000_stand2d,ic,2022-12-01,282.0,20.58,-0.12
loss<-1000_stand2d,ic,2022-12-02,987.0,19.84,-1.79
loss<-1000_stand2d,ic,2022-12-06,-1315.0,20.75,-0.19
loss<-1000_stand2d,ic,2022-12-07,382.0,22.17,0.75
loss<-1000_stand2d,ic,2022-12-19,267.0,22.62,0.1
loss<-1000_stand2d,ic,2022-12-20,367.0,22.42,1.49
loss<-1000_stand2d,ic,2022-12-23,602.0,21.97,-0.4
loss<-1000_stand2d,ic,2022-12-27,512.0,20.87,-1.2
loss<-1000_stand2d,ic,2023-01-09,-536.0,21.13,0.7
loss<-1000_stand2d,ic,2023-01-10,417.0,21.97,1.28
loss<-1000_stand2d,ic,2023-01-19,402.0,20.34,1.89
loss<-1000_stand2d,ic,2023-01-20,-1645.0,20.52,1.19
loss<-1000_stand2d,ic,2023-01-24,477.0,19.81,-0.02
loss<-1000_stand2d,ic,2023-01-25,-91.0,19.2,1.1
loss<-1000_stand2d,ic,2023-02-01,-1840.0,19.4,1.47
loss<-1000_stand2d,ic,2023-02-02,-241.0,17.87,-1.04
loss<-1000_stand2d,ic,2023-02-08,487.0,18.66,-0.88
loss<-1000_stand2d,ic,2023-02-09,-161.0,19.63,0.22
loss<-1000_stand2d,ic,2023-03-10,-1290.0,22.61,-0.15
loss<-1000_stand2d,ic,2023-03-13,1397.0,24.8,1.65
loss<-1000_stand2d,ic,2023-03-17,472.0,22.99,0.89
loss<-1000_stand2d,ic,2023-03-20,647.0,25.51,1.3
loss<-1000_stand2d,ic,2023-04-03,160.0,18.7,-0.58
loss<-1000_stand2d,ic,2023-04-04,42.0,18.55,-0.25
loss<-1000_stand2d,ic,2023-04-26,172.0,18.76,1.96
loss<-1000_stand2d,ic,2023-04-27,-1410.0,18.84,0.83
loss<-1000_stand2d,ic,2023-05-03,1182.0,17.78,-0.72
loss<-1000_stand2d,ic,2023-05-04,582.0,18.34,1.85
loss<-1000_stand2d,ic,2023-05-30,322.0,17.95,-0.61
loss<-1000_stand2d,ic,2023-05-31,272.0,17.46,0.99
loss<-1000_stand2d,ic,2023-06-16,542.0,14.5,-0.47
loss<-1000_stand2d,ic,2023-06-20,302.0,13.54,-0.52
loss<-1000_stand2d,ic,2023-06-28,142.0,13.74,0.45
loss<-1000_stand2d,ic,2023-06-29,257.0,13.43,1.23
loss<-1000_stand2d,ic,2023-08-25,827.0,17.2,0.63
loss<-1000_stand2d,ic,2023-08-28,277.0,15.68,1.45
loss<-1000_stand2d,ic,2023-08-30,332.0,14.45,-0.16
loss<-1000_stand2d,ic,2023-08-31,272.0,13.88,0.18
loss<-1000_stand2d,ic,2023-09-07,502.0,14.45,0.14
loss<-1000_stand2d,ic,2023-09-08,212.0,14.4,0.67
loss<-1000_stand2d,ic,2023-09-18,87.0,13.79,-0.22
loss<-1000_stand2d,ic,2023-09-19,157.0,14.0,-0.94
loss<-1000_stand2d,ic,2023-10-09,-231.0,17.45,0.52
loss<-1000_stand2d,ic,2023-10-10,177.0,17.7,0.43
loss<-1000_stand2d,ic,2023-10-13,472.0,16.69,1.06
loss<-1000_stand2d,ic,2023-10-16,-621.0,19.32,-0.01
loss<-1000_stand2d,ic,2023-11-13,212.0,14.17,1.91
loss<-1000_stand2d,ic,2023-11-14,-380.0,14.76,0.16
loss<-1000_stand2d,ic,2023-12-14,592.0,12.19,-0.01
loss<-1000_stand2d,ic,2023-12-15,212.0,12.48,0.45
loss<-1000_stand2d,ic,2023-12-21,344.0,13.67,0.17
loss<-1000_stand2d,ic,2023-12-22,292.0,13.65,0.42
loss<-1000_stand2d,ic,2024-01-09,467.0,13.08,0.57
loss<-1000_stand2d,ic,2024-01-10,92.0,12.76,-0.07
loss<-1000_stand2d,ic,2024-02-05,327.0,13.85,0.23
loss<-1000_stand2d,ic,2024-02-06,172.0,13.67,0.82
loss<-1000_stand2d,ic,2024-03-06,-36.0,14.46,1.03
loss<-1000_stand2d,ic,2024-03-07,-496.0,14.5,-0.65
loss<-1000_stand2d,ic,2024-04-05,-1600.0,16.35,-0.04
loss<-1000_stand2d,ic,2024-04-08,142.0,16.03,0.14
loss<-1000_stand2d,ic,2024-04-15,-1580.0,17.31,-0.21
loss<-1000_stand2d,ic,2024-04-16,557.0,19.23,-0.58
loss<-1000_stand2d,ic,2024-05-01,-246.0,15.65,0.91
loss<-1000_stand2d,ic,2024-05-02,329.0,15.39,1.26
loss<-1000_stand2d,ic,2024-05-24,257.0,12.77,0.02
loss<-1000_stand2d,ic,2024-05-28,127.0,11.93,-0.74
loss<-1000_stand2d,ic,2024-06-18,142.0,12.75,-0.25
loss<-1000_stand2d,ic,2024-06-20,172.0,12.3,-0.16
loss<-1000_stand2d,ic,2024-07-12,-1295.0,12.92,0.28
loss<-1000_stand2d,ic,2024-07-15,-586.0,12.46,0.64
loss<-1000_stand2d,ic,2024-07-19,417.0,15.93,1.08
loss<-1000_stand2d,ic,2024-07-22,-306.0,16.52,-0.16
loss<-1000_stand2d,ic,2024-07-31,274.0,17.69,-1.37
loss<-1000_stand2d,ic,2024-08-01,-2080.0,16.36,-1.84
loss<-1000_stand2d,ic,2024-08-06,382.0,38.57,-0.77
loss<-1000_stand2d,ic,2024-08-07,672.0,27.71,2.3
loss<-1000_stand2d,ic,2024-08-29,332.0,17.11,1.01
loss<-1000_stand2d,ic,2024-08-30,107.0,15.65,-2.12
loss<-1000_stand2d,ic,2024-09-04,382.0,20.72,-0.3
loss<-1000_stand2d,ic,2024-09-05,202.0,21.32,-1.73
loss<-1000_stand2d,ic,2024-09-09,472.0,22.38,0.45
loss<-1000_stand2d,ic,2024-09-10,222.0,19.45,1.07
loss<-1000_stand2d,ic,2024-09-12,492.0,17.69,0.54
loss<-1000_stand2d,ic,2024-09-13,377.0,17.07,0.13
loss<-1000_stand2d,ic,2024-10-02,262.0,19.26,-0.17
loss<-1000_stand2d,ic,2024-10-03,227.0,18.9,0.9
loss<-1000_stand2d,ic,2024-11-18,122.0,16.14,0.4
loss<-1000_stand2d,ic,2024-11-19,472.0,15.58,0.0
loss<-1000_stand2d,ic,2024-12-19,222.0,27.62,1.09
loss<-1000_stand2d,ic,2024-12-20,-2195.0,24.09,0.73
loss<-1000_stand2d,ic,2024-12-30,344.0,15.95,-0.43
loss<-1000_stand2d,ic,2024-12-31,692.0,17.4,-0.22
loss<-1000_stand2d,ic,2025-01-08,552.0,17.82,-1.54
loss<-1000_stand2d,ic,2025-01-13,697.0,19.54,0.11
loss<-1000_stand2d,ic,2025-02-24,552.0,18.21,-0.47
loss<-1000_stand2d,ic,2025-02-25,492.0,18.98,0.01
loss<-1000_stand2d,ic,2025-02-28,-2808.0,21.13,-1.76
loss<-1000_stand2d,ic,2025-03-03,-3025.0,19.63,-1.22
loss<-1000_stand2d,ic,2025-03-11,827.0,27.86,0.49
loss<-1000_stand2d,ic,2025-03-12,1107.0,26.92,-1.39
loss<-1000_stand2d,ic,2025-03-27,467.0,18.33,-1.97
loss<-1000_stand2d,ic,2025-03-28,-1870.0,18.69,0.55
loss<-1000_stand2d,ic,2025-04-07,364.0,45.31,-1.57
loss<-1000_stand2d,ic,2025-04-08,-1365.0,46.98,9.52
loss<-1000_stand2d,ic,2025-04-10,-920.0,33.62,1.81
loss<-1000_stand2d,ic,2025-04-11,1327.0,40.72,0.79
loss<-1000_stand2d,ic,2025-04-17,407.0,32.64,-2.36
loss<-1000_stand2d,ic,2025-04-21,-1320.0,29.65,2.51
loss<-1000_stand2d,ic,2025-04-23,424.0,30.57,2.03
loss<-1000_stand2d,ic,2025-04-24,-1290.0,28.45,0.74
loss<-1000_stand2d,ic,2025-08-25,72.0,14.22,0.41
loss<-1000_stand2d,ic,2025-08-26,47.0,14.79,0.24
loss<-1000_stand2d,ic,2025-10-13,-426.0,21.66,-0.16
loss<-1000_stand2d,ic,2025-10-14,-251.0,19.03,0.4
loss<-1000_stand2d,ic,2025-10-23,122.0,18.6,0.79
loss<-1000_stand2d,ic,2025-10-24,257.0,17.3,1.23
loss<-1000_stand2d,ic,2025-11-14,19.0,20.0,-0.92
loss<-1000_stand2d,ic,2025-11-17,-496.0,19.83,-0.83
loss<-1000_stand2d,ic,2025-11-21,-486.0,26.42,1.55
loss<-1000_stand2d,ic,2025-11-24,-716.0,23.43,0.91
loss<-1000_stand2d,ic,2025-12-15,422.0,15.74,-0.24
loss<-1000_stand2d,ic,2025-12-16,292.0,16.5,-1.16
loss<-1000_stand2d,ic,2025-12-18,-381.0,17.62,0.88
loss<-1000_stand2d,ic,2025-12-19,392.0,16.87,0.64
loss<-1000_stand2d,ic,2026-01-22,372.0,16.9,0.03
loss<-1000_stand2d,ic,2026-01-23,142.0,15.64,0.5
loss<-1000_stand2d,ic,2026-01-30,407.0,16.88,0.54
loss<-1000_stand2d,ic,2026-02-02,282.0,17.44,-0.84
loss<-1000_stand2d,ic,2026-02-04,467.0,18.0,-1.23
loss<-1000_stand2d,ic,2026-02-05,114.0,18.64,1.97
loss<-1000_stand2d,ic,2026-02-09,302.0,17.76,-0.33
loss<-1000_stand2d,ic,2026-02-10,67.0,17.36,-0.0
loss<-1000_stand2d,ic,2026-02-13,597.0,20.82,0.1
loss<-1000_stand2d,ic,2026-02-17,442.0,20.6,0.56
loss<-1000_stand2d,ic,2026-03-23,-41.0,26.78,-0.37
loss<-1000_stand2d,ic,2026-03-24,357.0,26.15,0.54
loss<-1000_stand2d,ic,2026-04-01,182.0,25.25,0.11
loss<-1000_stand2d,ic,2026-04-02,817.0,24.54,0.44
loss<-1000_stand2d,ic,2026-04-20,162.0,17.48,-0.63
loss<-1000_stand2d,ic,2026-04-21,72.0,18.87,1.05
loss<-1000_stand2d,ic,2026-06-08,687.0,21.51,-0.26
loss<-1000_stand2d,ic,2026-06-09,-2210.0,18.92,-1.62
loss<-1000_stand2d,ic,2026-06-12,777.0,19.44,1.65
loss<-1000_stand2d,ic,2026-06-15,-86.0,17.68,-0.57
loss<-1000_stand2d,ic,2026-06-18,1292.0,18.44,-0.37
loss<-1000_stand2d,ic,2026-06-22,147.0,16.4,-1.44
loss<-1000_stand2d,ic,2026-07-30,-481.0,20.66,0.7
loss<-1000_stand2d,ic,2026-07-31,447.0,17.09,1.48
loss<-1000_stand2d,ic,2026-08-04,-1785.0,15.86,-0.17
loss<-1000_stand2d,ic,2026-08-05,717.0,16.5,-0.18
loss<-1000_stand2d,ic,2026-08-26,37.0,15.45,0.72
loss<-1000_stand2d,ic,2026-08-27,147.0,15.21,-0.25
loss<-1000_stand3d,ic,2022-05-19,228.0,30.96,0.01
loss<-1000_stand3d,ic,2022-05-20,-1560.0,29.35,1.86
loss<-1000_stand3d,ic,2022-05-23,-256.0,29.43,-0.81
loss<-1000_stand3d,ic,2022-05-27,-1025.0,27.5,-0.63
loss<-1000_stand3d,ic,2022-05-31,1067.0,25.72,-0.75
loss<-1000_stand3d,ic,2022-06-01,547.0,26.19,1.84
loss<-1000_stand3d,ic,2022-06-03,-261.0,24.72,0.31
loss<-1000_stand3d,ic,2022-06-06,767.0,24.79,0.95
loss<-1000_stand3d,ic,2022-06-07,134.0,25.07,-1.08
loss<-1000_stand3d,ic,2022-06-10,-525.0,26.09,-3.88
loss<-1000_stand3d,ic,2022-06-13,-765.0,27.75,-0.38
loss<-1000_stand3d,ic,2022-06-14,587.0,34.02,1.46
loss<-1000_stand3d,ic,2022-06-27,397.0,27.23,-2.01
loss<-1000_stand3d,ic,2022-06-28,-1815.0,26.95,-0.07
loss<-1000_stand3d,ic,2022-06-29,417.0,28.36,-0.88
loss<-1000_stand3d,ic,2022-07-20,327.0,24.5,0.99
loss<-1000_stand3d,ic,2022-07-21,397.0,23.88,-0.93
loss<-1000_stand3d,ic,2022-07-22,292.0,23.11,0.13
loss<-1000_stand3d,ic,2022-07-28,372.0,23.24,1.42
loss<-1000_stand3d,ic,2022-07-29,-406.0,22.33,-0.28
loss<-1000_stand3d,ic,2022-08-01,457.0,21.33,-0.67
loss<-1000_stand3d,ic,2022-09-08,672.0,24.64,1.53
loss<-1000_stand3d,ic,2022-09-09,-306.0,23.61,1.06
loss<-1000_stand3d,ic,2022-09-12,517.0,22.79,-4.32
loss<-1000_stand3d,ic,2022-09-30,732.0,31.84,2.59
loss<-1000_stand3d,ic,2022-10-03,-1310.0,31.62,3.06
loss<-1000_stand3d,ic,2022-10-04,-126.0,30.1,-0.2
loss<-1000_stand3d,ic,2022-10-10,342.0,31.36,-0.65
loss<-1000_stand3d,ic,2022-10-11,302.0,32.45,-0.33
loss<-1000_stand3d,ic,2022-10-12,402.0,33.63,2.6
loss<-1000_stand3d,ic,2022-10-14,-1215.0,31.94,2.65
loss<-1000_stand3d,ic,2022-10-17,-191.0,32.02,1.14
loss<-1000_stand3d,ic,2022-10-18,1292.0,31.37,-0.67
loss<-1000_stand3d,ic,2022-10-24,472.0,29.69,1.63
loss<-1000_stand3d,ic,2022-10-25,392.0,29.85,-0.74
loss<-1000_stand3d,ic,2022-10-26,465.0,28.46,-0.61
loss<-1000_stand3d,ic,2022-10-31,617.0,25.75,-0.41
loss<-1000_stand3d,ic,2022-11-01,687.0,25.88,-2.5
loss<-1000_stand3d,ic,2022-11-02,-1290.0,25.81,-1.06
loss<-1000_stand3d,ic,2022-12-01,282.0,20.58,-0.12
loss<-1000_stand3d,ic,2022-12-02,987.0,19.84,-1.79
loss<-1000_stand3d,ic,2022-12-05,-1440.0,19.06,-1.44
loss<-1000_stand3d,ic,2022-12-07,382.0,22.17,0.75
loss<-1000_stand3d,ic,2022-12-08,287.0,22.68,-0.73
loss<-1000_stand3d,ic,2022-12-09,372.0,22.29,1.43
loss<-1000_stand3d,ic,2022-12-19,267.0,22.62,0.1
loss<-1000_stand3d,ic,2022-12-20,367.0,22.42,1.49
loss<-1000_stand3d,ic,2022-12-21,-516.0,21.48,-1.45
loss<-1000_stand3d,ic,2022-12-23,602.0,21.97,-0.4
loss<-1000_stand3d,ic,2022-12-27,512.0,20.87,-1.2
loss<-1000_stand3d,ic,2022-12-28,197.0,21.65,1.75
loss<-1000_stand3d,ic,2023-01-09,-536.0,21.13,0.7
loss<-1000_stand3d,ic,2023-01-10,417.0,21.97,1.28
loss<-1000_stand3d,ic,2023-01-11,282.0,20.58,0.34
loss<-1000_stand3d,ic,2023-01-19,402.0,20.34,1.89
loss<-1000_stand3d,ic,2023-01-20,-1645.0,20.52,1.19
loss<-1000_stand3d,ic,2023-01-23,-1595.0,19.85,-0.07
loss<-1000_stand3d,ic,2023-02-01,-1840.0,19.4,1.47
loss<-1000_stand3d,ic,2023-02-02,-241.0,17.87,-1.04
loss<-1000_stand3d,ic,2023-02-03,1142.0,18.73,-0.61
loss<-1000_stand3d,ic,2023-02-08,487.0,18.66,-0.88
loss<-1000_stand3d,ic,2023-02-09,-161.0,19.63,0.22
loss<-1000_stand3d,ic,2023-02-10,497.0,20.71,1.14
loss<-1000_stand3d,ic,2023-03-10,-1290.0,22.61,-0.15
loss<-1000_stand3d,ic,2023-03-13,1397.0,24.8,1.65
loss<-1000_stand3d,ic,2023-03-14,4.0,26.52,-0.7
loss<-1000_stand3d,ic,2023-03-17,472.0,22.99,0.89
loss<-1000_stand3d,ic,2023-03-20,647.0,25.51,1.3
loss<-1000_stand3d,ic,2023-03-21,472.0,24.15,-1.65
loss<-1000_stand3d,ic,2023-04-03,160.0,18.7,-0.58
loss<-1000_stand3d,ic,2023-04-04,42.0,18.55,-0.25
loss<-1000_stand3d,ic,2023-04-05,102.0,19.0,0.36
loss<-1000_stand3d,ic,2023-04-26,172.0,18.76,1.96
loss<-1000_stand3d,ic,2023-04-27,-1410.0,18.84,0.83
loss<-1000_stand3d,ic,2023-04-28,122.0,17.03,-0.04
loss<-1000_stand3d,ic,2023-05-03,1182.0,17.78,-0.72
loss<-1000_stand3d,ic,2023-05-04,582.0,18.34,1.85
loss<-1000_stand3d,ic,2023-05-05,-965.0,20.09,0.05
loss<-1000_stand3d,ic,2023-05-30,322.0,17.95,-0.61
loss<-1000_stand3d,ic,2023-05-31,272.0,17.46,0.99
loss<-1000_stand3d,ic,2023-06-01,-840.0,17.94,1.45
loss<-1000_stand3d,ic,2023-06-16,542.0,14.5,-0.47
loss<-1000_stand3d,ic,2023-06-20,302.0,13.54,-0.52
loss<-1000_stand3d,ic,2023-06-21,412.0,13.88,0.37
loss<-1000_stand3d,ic,2023-06-28,142.0,13.74,0.45
loss<-1000_stand3d,ic,2023-06-29,257.0,13.43,1.23
loss<-1000_stand3d,ic,2023-06-30,-241.0,13.54,0.12
loss<-1000_stand3d,ic,2023-08-25,827.0,17.2,0.63
loss<-1000_stand3d,ic,2023-08-28,277.0,15.68,1.45
loss<-1000_stand3d,ic,2023-08-29,-1995.0,15.08,0.38
loss<-1000_stand3d,ic,2023-09-07,502.0,14.45,0.14
loss<-1000_stand3d,ic,2023-09-08,212.0,14.4,0.67
loss<-1000_stand3d,ic,2023-09-11,482.0,13.84,-0.57
loss<-1000_stand3d,ic,2023-09-18,87.0,13.79,-0.22
loss<-1000_stand3d,ic,2023-09-19,157.0,14.0,-0.94
loss<-1000_stand3d,ic,2023-09-20,-281.0,14.11,-1.64
loss<-1000_stand3d,ic,2023-10-09,-231.0,17.45,0.52
loss<-1000_stand3d,ic,2023-10-10,177.0,17.7,0.43
loss<-1000_stand3d,ic,2023-10-11,327.0,17.03,-0.62
loss<-1000_stand3d,ic,2023-10-13,472.0,16.69,1.06
loss<-1000_stand3d,ic,2023-10-16,-621.0,19.32,-0.01
loss<-1000_stand3d,ic,2023-10-17,532.0,17.21,-1.34
loss<-1000_stand3d,ic,2023-11-13,212.0,14.17,1.91
loss<-1000_stand3d,ic,2023-11-14,-380.0,14.76,0.16
loss<-1000_stand3d,ic,2023-11-15,307.0,14.16,0.12
loss<-1000_stand3d,ic,2023-12-14,592.0,12.19,-0.01
loss<-1000_stand3d,ic,2023-12-15,212.0,12.48,0.45
loss<-1000_stand3d,ic,2023-12-18,122.0,12.28,0.59
loss<-1000_stand3d,ic,2023-12-21,344.0,13.67,0.17
loss<-1000_stand3d,ic,2023-12-22,292.0,13.65,0.42
loss<-1000_stand3d,ic,2023-12-26,47.0,13.03,0.14
loss<-1000_stand3d,ic,2024-01-09,467.0,13.08,0.57
loss<-1000_stand3d,ic,2024-01-10,92.0,12.76,-0.07
loss<-1000_stand3d,ic,2024-01-11,-276.0,12.69,0.08
loss<-1000_stand3d,ic,2024-02-05,327.0,13.85,0.23
loss<-1000_stand3d,ic,2024-02-06,172.0,13.67,0.82
loss<-1000_stand3d,ic,2024-02-07,-221.0,13.06,0.06
loss<-1000_stand3d,ic,2024-03-06,-36.0,14.46,1.03
loss<-1000_stand3d,ic,2024-03-07,-496.0,14.5,-0.65
