rule,book,date,baseline_pnl,vix_prior,next_ret
loss<-1000_stand1d,ic,2022-05-19,228.0,30.96,0.01
loss<-1000_stand1d,ic,2022-05-23,-256.0,29.43,-0.81
loss<-1000_stand1d,ic,2022-05-27,-1025.0,27.5,-0.63
loss<-1000_stand1d,ic,2022-06-03,-261.0,24.72,0.31
loss<-1000_stand1d,ic,2022-06-10,-525.0,26.09,-3.88
loss<-1000_stand1d,ic,2022-06-27,397.0,27.23,-2.01
loss<-1000_stand1d,ic,2022-06-29,417.0,28.36,-0.88
loss<-1000_stand1d,ic,2022-07-20,327.0,24.5,0.99
loss<-1000_stand1d,ic,2022-07-28,372.0,23.24,1.42
loss<-1000_stand1d,ic,2022-09-08,672.0,24.64,1.53
loss<-1000_stand1d,ic,2022-09-30,732.0,31.84,2.59
loss<-1000_stand1d,ic,2022-10-04,-126.0,30.1,-0.2
loss<-1000_stand1d,ic,2022-10-10,342.0,31.36,-0.65
loss<-1000_stand1d,ic,2022-10-14,-1215.0,31.94,2.65
loss<-1000_stand1d,ic,2022-10-24,472.0,29.69,1.63
loss<-1000_stand1d,ic,2022-10-31,617.0,25.75,-0.41
loss<-1000_stand1d,ic,2022-11-03,877.0,25.86,1.36
loss<-1000_stand1d,ic,2022-12-01,282.0,20.58,-0.12
loss<-1000_stand1d,ic,2022-12-06,-1315.0,20.75,-0.19
loss<-1000_stand1d,ic,2022-12-19,267.0,22.62,0.1
loss<-1000_stand1d,ic,2022-12-23,602.0,21.97,-0.4
loss<-1000_stand1d,ic,2023-01-09,-536.0,21.13,0.7
loss<-1000_stand1d,ic,2023-01-19,402.0,20.34,1.89
loss<-1000_stand1d,ic,2023-01-23,-1595.0,19.85,-0.07
loss<-1000_stand1d,ic,2023-02-01,-1840.0,19.4,1.47
loss<-1000_stand1d,ic,2023-02-08,487.0,18.66,-0.88
loss<-1000_stand1d,ic,2023-03-10,-1290.0,22.61,-0.15
loss<-1000_stand1d,ic,2023-03-17,472.0,22.99,0.89
loss<-1000_stand1d,ic,2023-04-03,160.0,18.7,-0.58
loss<-1000_stand1d,ic,2023-04-26,172.0,18.76,1.96
loss<-1000_stand1d,ic,2023-04-28,122.0,17.03,-0.04
loss<-1000_stand1d,ic,2023-05-03,1182.0,17.78,-0.72
loss<-1000_stand1d,ic,2023-05-30,322.0,17.95,-0.61
loss<-1000_stand1d,ic,2023-06-16,542.0,14.5,-0.47
loss<-1000_stand1d,ic,2023-06-28,142.0,13.74,0.45
loss<-1000_stand1d,ic,2023-08-25,827.0,17.2,0.63
loss<-1000_stand1d,ic,2023-08-30,332.0,14.45,-0.16
loss<-1000_stand1d,ic,2023-09-07,502.0,14.45,0.14
loss<-1000_stand1d,ic,2023-09-18,87.0,13.79,-0.22
loss<-1000_stand1d,ic,2023-10-09,-231.0,17.45,0.52
loss<-1000_stand1d,ic,2023-10-13,472.0,16.69,1.06
loss<-1000_stand1d,ic,2023-11-13,212.0,14.17,1.91
loss<-1000_stand1d,ic,2023-12-14,592.0,12.19,-0.01
loss<-1000_stand1d,ic,2023-12-21,344.0,13.67,0.17
loss<-1000_stand1d,ic,2024-01-09,467.0,13.08,0.57
loss<-1000_stand1d,ic,2024-02-05,327.0,13.85,0.23
loss<-1000_stand1d,ic,2024-03-06,-36.0,14.46,1.03
loss<-1000_stand1d,ic,2024-04-05,-1600.0,16.35,-0.04
loss<-1000_stand1d,ic,2024-04-15,-1580.0,17.31,-0.21
loss<-1000_stand1d,ic,2024-05-01,-246.0,15.65,0.91
loss<-1000_stand1d,ic,2024-05-24,257.0,12.77,0.02
loss<-1000_stand1d,ic,2024-06-18,142.0,12.75,-0.25
loss<-1000_stand1d,ic,2024-07-12,-1295.0,12.92,0.28
loss<-1000_stand1d,ic,2024-07-19,417.0,15.93,1.08
loss<-1000_stand1d,ic,2024-07-31,274.0,17.69,-1.37
loss<-1000_stand1d,ic,2024-08-02,-500.0,18.59,-3.0
loss<-1000_stand1d,ic,2024-08-06,382.0,38.57,-0.77
loss<-1000_stand1d,ic,2024-08-29,332.0,17.11,1.01
loss<-1000_stand1d,ic,2024-09-04,382.0,20.72,-0.3
loss<-1000_stand1d,ic,2024-09-09,472.0,22.38,0.45
loss<-1000_stand1d,ic,2024-09-12,492.0,17.69,0.54
loss<-1000_stand1d,ic,2024-10-02,262.0,19.26,-0.17
