date,dow,event,gap_pct,prior_ret,prior_range,prior2_ret,vix_prior,vix_chg,em_pts,cr_eodic_c,cr_eodic_p,ic_pnl,fly_pnl,puts_band_pnl,next_ret
2024-04-25,Thu,,-1.02,0.02,0.84,1.2,15.97,0.28,51.0,0.0,11.7,114.0,370.0,0.0,1.02
2024-04-26,Fri,,0.72,-0.46,1.33,0.02,15.37,-0.6,48.9,5.2,0.5,-446.0,-138.0,93.0,0.32
2024-04-29,Mon,,0.28,1.02,0.81,-0.46,15.03,-0.34,48.3,0.6,0.15,122.0,-351.0,0.0,-1.57
2024-04-30,Tue,,-0.24,0.32,0.68,1.02,14.67,-0.36,47.3,0.05,1.75,-2607.0,192.0,-722.0,-0.34
2024-05-01,Wed,FOMC,-0.13,-1.57,1.5,0.32,15.65,0.98,49.6,2.7,3.2,-246.0,-1316.0,0.0,0.91
2024-05-02,Thu,,0.62,-0.34,1.65,-1.57,15.39,-0.26,48.7,6.95,0.25,329.0,52.0,0.0,1.26
