date,dow,event,gap_pct,prior_ret,prior_range,prior2_ret,vix_prior,vix_chg,em_pts,cr_eodic_c,cr_eodic_p,ic_pnl,fly_pnl,puts_band_pnl,next_ret
2025-04-04,Fri,NFP,-1.93,-4.84,2.01,0.67,30.02,8.51,102.1,0.35,12.0,-1140.0,360.0,0.0,-0.23
2025-04-07,Mon,,-2.37,-5.97,4.38,-4.84,45.31,15.29,144.8,0.4,12.3,364.0,-2473.0,0.0,-1.57
2025-04-08,Tue,,2.59,-0.23,8.13,-5.97,46.98,1.67,149.8,13.9,0.35,-1365.0,-2336.0,-1477.0,9.52
2025-04-09,Wed,,-0.35,-1.57,7.17,-0.23,52.33,5.35,164.3,3.9,4.9,-3250.0,-2286.0,147.0,-3.46
2025-04-10,Thu,CPI,-1.9,9.52,9.77,-1.57,33.62,-18.71,115.6,0.8,9.5,-920.0,-443.0,0.0,1.81
2025-04-11,Fri,,-0.24,-3.46,4.52,9.52,40.72,7.1,135.1,3.2,3.9,1327.0,-1266.0,0.0,0.79
