rule,book,n_skipped,train_delta,test_delta,total_delta,killer_days_avoided,winning_days_lost,winners_pnl_forfeited,skipped_pnl_sum,avg_skipped_pnl,allday_avg_pnl,selectivity,verdict
loss<-1000_stand1d,combined,140,1738.0,22194.0,23932.0,12,64,49671.0,-23932.0,-170.9,-194.9,24.0,ROBUST_CANDIDATE
loss<-1000_stand2d,combined,242,17544.0,32710.0,50254.0,21,106,75106.0,-50254.0,-207.7,-194.9,-12.7,ROBUST_CANDIDATE
loss<-1000_stand3d,combined,324,22333.0,36734.0,59067.0,26,147,99096.0,-59067.0,-182.3,-194.9,12.6,ROBUST_CANDIDATE
loss<-1500_stand1d,combined,82,-1894.0,13488.0,11594.0,6,36,30750.0,-11594.0,-141.4,-194.9,53.6,DEAD
loss<-1500_stand2d,combined,146,6997.0,27969.0,34966.0,15,61,51756.0,-34966.0,-239.5,-194.9,-44.5,ROBUST_CANDIDATE
loss<-1500_stand3d,combined,204,11397.0,29450.0,40847.0,20,89,70874.0,-40847.0,-200.2,-194.9,-5.3,ROBUST_CANDIDATE
loss<-2000_stand1d,combined,58,-211.0,11833.0,11622.0,6,25,22116.0,-11622.0,-200.4,-194.9,-5.4,DEAD
loss<-2000_stand2d,combined,106,6644.0,28381.0,35025.0,13,46,38617.0,-35025.0,-330.4,-194.9,-135.5,ROBUST_CANDIDATE
loss<-2000_stand3d,combined,150,10226.0,34086.0,44312.0,17,65,53065.0,-44312.0,-295.4,-194.9,-100.5,ROBUST_CANDIDATE
vixprior>25_standdown,combined,126,37972.0,27674.0,65646.0,20,39,28183.0,-65646.0,-521.0,-194.9,-326.1,ROBUST_CANDIDATE
vixprior>30_standdown,combined,37,8956.0,21139.0,30095.0,9,9,8841.0,-30095.0,-813.4,-194.9,-618.4,ROBUST_CANDIDATE
vixprior>35_standdown,combined,6,-1919.0,10356.0,8437.0,3,3,4239.0,-8437.0,-1406.2,-194.9,-1211.2,DEAD
loss<-1000_until_vixdown,combined,139,8156.0,26691.0,34847.0,16,65,51894.0,-34847.0,-250.7,-194.9,-55.7,ROBUST_CANDIDATE
loss<-1500_until_vixdown,combined,79,2516.0,26905.0,29421.0,10,34,31229.0,-29421.0,-372.4,-194.9,-177.5,ROBUST_CANDIDATE
loss<-2000_until_vixdown,combined,48,4419.0,24466.0,28885.0,8,18,19222.0,-28885.0,-601.8,-194.9,-406.8,ROBUST_CANDIDATE
cluster_2x_loss<-500,combined,74,21801.0,12081.0,33882.0,9,28,12474.0,-33882.0,-457.9,-194.9,-262.9,ROBUST_CANDIDATE
