book,rule,solo_train,solo_test,loro_marginal_train,loro_marginal_test
ic,breaker_-1000_MID,7398,10547,5124,1388
ic,ic_drop_call_leg_if_cr_c>2.0,4757,7658,6125,8083
ic,ic_drop_call_leg_if_cr_c>2.5,4208,7346,4923,7646
ic,skip_day_if_total_cr<1.0,4190,6728,1784,2042
ic,ic_drop_call_leg_if_cr_c>3.0,3799,6445,3904,6745
ic,fomc_close_1230_UPPERBOUND,12132,5627,10218,1610
ic,loss<-1500_until_vixdown,2127,2467,-1978,2580
puts_band,skip_day_if_total_cr<1.0,1165,5145,119,2831
puts_band,breaker_-1000_MID,3183,3966,2196,897
puts_band,fomc_close_1230_UPPERBOUND,2172,2943,2172,1626
puts_band,skip_day_if_cr_p<0.5,502,1586,443,1025
fly,band_c_0.5-2.5,62094,55425,18021,26932
fly,|prior_ret|>=1.0,60109,34610,20982,8667
fly,skip_vix>25,37188,23616,4659,1829
fly,fomc_close_1230_UPPERBOUND,10720,5971,3740,3693
fly,skip_callside_CPI,8213,2388,1360,1580
combined,skip_day_if_total_cr>3.0,70700,58677,19711,756
combined,loss<-1000_stand2d,17544,32710,-547,3525
combined,skip_vix/10dma>1.15,10943,31069,0,276
combined,|prior_ret|>=1.5,20171,28188,128,3024
combined,skip_accel2d>3,17378,28020,661,3588
combined,skip_vix>25,37972,27674,5982,1962
combined,skip_vix/5dma>1.10,16647,27128,-631,761
combined,loss<-1500_until_vixdown,2516,26905,1,2173
combined,fomc_close_1230_UPPERBOUND,19145,11040,0,1367
combined,skip_callside_CPI,9649,1042,951,932
