book,n_rules,rules,baseline_train,baseline_test,baseline_total,stack_train_delta,stack_test_delta,stack_total_delta,stacked_train,stacked_test,stacked_total,maxDD_baseline,maxDD_stacked,killers_baseline,killers_stacked,winners_lost,days_zeroed,n_rejected_at_greedy,n_pruned_post
ic,7,breaker_-1000_MID | ic_drop_call_leg_if_cr_c>2.0 | ic_drop_call_leg_if_cr_c>2.5 | skip_day_if_total_cr<1.0 | ic_drop_call_leg_if_cr_c>3.0 | fomc_close_1230_UPPERBOUND | loss<-1500_until_vixdown,-21720,-3203,-24923,32533,37904,70437,10813,34701,45514,32627,12332,60,37,357,350,29,2
puts_band,4,skip_day_if_total_cr<1.0 | breaker_-1000_MID | fomc_close_1230_UPPERBOUND | skip_day_if_cr_p<0.5,11781,3146,14927,5976,10010,15986,17757,13156,30913,8448,3308,12,4,208,236,2,0
fly,5,band_c_0.5-2.5 | |prior_ret|>=1.0 | skip_vix>25 | fomc_close_1230_UPPERBOUND | skip_callside_CPI,-125857,-74691,-200548,102685,77633,180318,-23172,2942,-20230,203172,28823,33,7,337,903,48,3
combined,10,skip_day_if_total_cr>3.0 | loss<-1000_stand2d | skip_vix/10dma>1.15 | |prior_ret|>=1.5 | skip_accel2d>3 | skip_vix>25 | skip_vix/5dma>1.10 | loss<-1500_until_vixdown | fomc_close_1230_UPPERBOUND | skip_callside_CPI,-135796,-74748,-210544,92083,81729,173812,-43713,6981,-36732,215453,59607,88,31,218,541,41,2
