date,open,high,low,close
2025-02-24,18.08,20.24,17.31,18.98
2025-02-25,19.09,21.48,18.85,19.43
2025-02-26,18.96,20.06,17.83,19.1
2025-02-27,18.25,21.47,17.67,21.13
2025-02-28,21.21,22.4,19.05,19.63
2025-03-03,19.83,24.31,19.25,22.78
2025-03-04,22.96,26.35,21.71,23.51
