date,book,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl
2025-04-07,ic,eodic_p,vix252,5074.08,144.8,4930.0,4905.0,12.3,stop,16.2,-396.52
2025-04-07,ic,eodic_c,vix252,5074.08,144.8,5220.0,5245.0,0.4,settle,0.0,36.74
2025-04-07,ic,openic_p,vix252,4953.79,144.8,4810.0,4785.0,3.3,settle,0.0,326.74
2025-04-07,ic,openic_c,vix252,4953.79,144.8,5100.0,5125.0,4.0,settle,0.0,396.74
2025-04-07,fly,eodfly_p,,5074.08,,5075.0,5050.0,18.4,stop,25.0,-666.52
2025-04-07,fly,eodfly_c,,5074.08,,5075.0,5100.0,3.2,stop,18.6,-1546.52
2025-04-07,fly,openfly_p,,4965.85,,4965.0,4940.0,10.9,settle,0.0,1086.74
2025-04-07,fly,openfly_c,,4965.85,,4965.0,4990.0,11.6,stop,25.0,-1346.52
